COUNTRY,DATE,TAVG
Marshall Islands,2026-01-01,28.5792525103892
Marshall Islands,2027-01-01,28.536103638158483
Marshall Islands,2028-01-01,28.52068447556733
Marshall Islands,2029-01-01,28.515174468869095
Marshall Islands,2030-01-01,28.513205479072464
Marshall Islands,2031-01-01,28.512501864534123
Marshall Islands,2032-01-01,28.512250429295904
Marshall Islands,2033-01-01,28.51216057941991
Marshall Islands,2034-01-01,28.512128471747676
Marshall Islands,2035-01-01,28.512116998135667
France,2026-01-01,14.221818553599023
France,2027-01-01,14.22323773067883
France,2028-01-01,14.223262346899666
France,2029-01-01,14.223262773878327
France,2030-01-01,14.22326278128445
France,2031-01-01,14.223262781412913
France,2032-01-01,14.22326278141514
France,2033-01-01,14.22326278141518
France,2034-01-01,14.22326278141518
France,2035-01-01,14.22326278141518
Iceland,2026-01-01,5.993728141081184
Iceland,2027-01-01,5.994545571859656
Iceland,2028-01-01,5.994439033577108
Iceland,2029-01-01,5.99445291904111
Iceland,2030-01-01,5.994451109305624
Iceland,2031-01-01,5.994451345174049
Iceland,2032-01-01,5.994451314432587
Iceland,2033-01-01,5.994451318439217
Iceland,2034-01-01,5.9944513179170205
Iceland,2035-01-01,5.99445131798508
Palau,2026-01-01,28.13836595933921
Palau,2027-01-01,28.091128824612365
Palau,2028-01-01,28.054925666856036
Palau,2029-01-01,28.027179093336944
Palau,2030-01-01,28.005913756560744
Palau,2031-01-01,27.989615724376907
Palau,2032-01-01,27.977124699388177
Palau,2033-01-01,27.96755141449653
Palau,2034-01-01,27.960214323769442
Palau,2035-01-01,27.954591081491916
China,2026-01-01,18.16919998685471
China,2027-01-01,18.06252576540047
China,2028-01-01,18.129779845819755
China,2029-01-01,18.08737868018309
China,2030-01-01,18.114111018743657
China,2031-01-01,18.097257285734514
China,2032-01-01,18.10788292986587
China,2033-01-01,18.1011838612889
China,2034-01-01,18.10540737181157
China,2035-01-01,18.102744607439153
Slovakia,2026-01-01,8.048338671456944
Slovakia,2027-01-01,8.027630896916884
Slovakia,2028-01-01,8.019330453655062
Slovakia,2029-01-01,8.01600332846305
Slovakia,2030-01-01,8.014669693415602
Slovakia,2031-01-01,8.014135123077205
Slovakia,2032-01-01,8.013920847479664
Slovakia,2033-01-01,8.013834957881226
Slovakia,2034-01-01,8.01380053014795
Slovakia,2035-01-01,8.0137867302369
United Kingdom,2026-01-01,9.73656473199125
United Kingdom,2027-01-01,9.738414082205276
United Kingdom,2028-01-01,9.738620550756409
United Kingdom,2029-01-01,9.738643601697373
United Kingdom,2030-01-01,9.738646175192834
United Kingdom,2031-01-01,9.738646462507738
United Kingdom,2032-01-01,9.738646494584676
United Kingdom,2033-01-01,9.738646498165869
United Kingdom,2034-01-01,9.738646498565688
United Kingdom,2035-01-01,9.738646498610326
American Samoa [United States],2026-01-01,28.15854910700999
American Samoa [United States],2027-01-01,28.159451878906992
American Samoa [United States],2028-01-01,28.159446117210614
American Samoa [United States],2029-01-01,28.159446153983076
American Samoa [United States],2030-01-01,28.159446153748387
American Samoa [United States],2031-01-01,28.159446153749887
American Samoa [United States],2032-01-01,28.159446153749876
American Samoa [United States],2033-01-01,28.159446153749876
American Samoa [United States],2034-01-01,28.159446153749876
American Samoa [United States],2035-01-01,28.159446153749876
Netherlands,2026-01-01,11.291256050371217
Netherlands,2027-01-01,11.256986306015982
Netherlands,2028-01-01,11.253182456970242
Netherlands,2029-01-01,11.252760240002038
Netherlands,2030-01-01,11.252713375059162
Netherlands,2031-01-01,11.252708173177107
Netherlands,2032-01-01,11.252707595782251
Netherlands,2033-01-01,11.252707531692982
Netherlands,2034-01-01,11.252707524579247
Netherlands,2035-01-01,11.252707523789642
Hungary,2026-01-01,12.64891803485706
Hungary,2027-01-01,12.64166457459439
Hungary,2028-01-01,12.640634608624309
Hungary,2029-01-01,12.640488357061454
Hungary,2030-01-01,12.640467589851411
Hungary,2031-01-01,12.640464640980271
Hungary,2032-01-01,12.640464222250891
Hungary,2033-01-01,12.640464162792785
Hungary,2034-01-01,12.640464154349942
Hungary,2035-01-01,12.640464153151088
Croatia,2026-01-01,13.571364538360834
Croatia,2027-01-01,13.58934064048985
Croatia,2028-01-01,13.593868663162944
Croatia,2029-01-01,13.595009232413213
Croatia,2030-01-01,13.595296531817077
Croatia,2031-01-01,13.595368900020446
Croatia,2032-01-01,13.595387128937
Croatia,2033-01-01,13.595391720641413
Croatia,2034-01-01,13.595392877251536
Croatia,2035-01-01,13.595393168591494
South Africa,2026-01-01,15.625468283697069
South Africa,2027-01-01,15.912031528839425
South Africa,2028-01-01,16.025225303552816
South Africa,2029-01-01,16.069937355258894
South Africa,2030-01-01,16.08759881740934
South Africa,2031-01-01,16.094575174641665
South Africa,2032-01-01,16.097330867223537
South Africa,2033-01-01,16.098419378226183
South Africa,2034-01-01,16.098849344983243
South Africa,2035-01-01,16.099019183792155
Svalbard [Norway],2026-01-01,-2.777332898440284
Svalbard [Norway],2027-01-01,-3.0771034361629894
Svalbard [Norway],2028-01-01,-3.3152548818970047
Svalbard [Norway],2029-01-01,-3.5044532985795187
Svalbard [Norway],2030-01-01,-3.654761186759
Svalbard [Norway],2031-01-01,-3.774172657769811
Svalbard [Norway],2032-01-01,-3.869038599814976
Svalbard [Norway],2033-01-01,-3.9444044493764627
Svalbard [Norway],2034-01-01,-4.004278532294655
Svalbard [Norway],2035-01-01,-4.051845246212872
Norway,2026-01-01,3.667941551127659
Norway,2027-01-01,3.5263748489286644
Norway,2028-01-01,3.4887076880857637
Norway,2029-01-01,3.4786854513314553
Norway,2030-01-01,3.4760187988067712
Norway,2031-01-01,3.47530927299315
Norway,2032-01-01,3.475120486911899
Norway,2033-01-01,3.475070255921299
Norway,2034-01-01,3.4750568907812425
Norway,2035-01-01,3.4750533346704313
Luxembourg,2026-01-01,10.732446877049371
Luxembourg,2027-01-01,10.744113454367135
Luxembourg,2028-01-01,10.745141104315126
Luxembourg,2029-01-01,10.745231624815426
Luxembourg,2030-01-01,10.745239598309698
Luxembourg,2031-01-01,10.74524030065459
Luxembourg,2032-01-01,10.745240362520608
Luxembourg,2033-01-01,10.745240367970073
Luxembourg,2034-01-01,10.745240368450089
Luxembourg,2035-01-01,10.745240368492372
Greenland [Denmark],2026-01-01,-9.340054693348598
Greenland [Denmark],2027-01-01,-9.019177919023361
Greenland [Denmark],2028-01-01,-8.922039034917495
Greenland [Denmark],2029-01-01,-8.89263222345482
Greenland [Denmark],2030-01-01,-8.883729912414694
Greenland [Denmark],2031-01-01,-8.881034919727174
Greenland [Denmark],2032-01-01,-8.880219065781716
Greenland [Denmark],2033-01-01,-8.879972082677309
Greenland [Denmark],2034-01-01,-8.879897313591245
Greenland [Denmark],2035-01-01,-8.87987467877886
Guam [United States],2026-01-01,27.52083998778728
Guam [United States],2027-01-01,27.600291472992943
Guam [United States],2028-01-01,27.652530294073415
Guam [United States],2029-01-01,27.686876970171582
Guam [United States],2030-01-01,27.709459680397284
Guam [United States],2031-01-01,27.724307661601646
Guam [United States],2032-01-01,27.73407011011388
Guam [United States],2033-01-01,27.740488854833604
Guam [United States],2034-01-01,27.744709136633332
Guam [United States],2035-01-01,27.747483943740768
Puerto Rico [United States],2026-01-01,27.819609068455073
Puerto Rico [United States],2027-01-01,27.813442097361893
Puerto Rico [United States],2028-01-01,27.812969014991367
Puerto Rico [United States],2029-01-01,27.812932723767375
Puerto Rico [United States],2030-01-01,27.81292993978509
Puerto Rico [United States],2031-01-01,27.81292972621948
Puerto Rico [United States],2032-01-01,27.812929709836375
Puerto Rico [United States],2033-01-01,27.81292970857959
Puerto Rico [United States],2034-01-01,27.81292970848318
Puerto Rico [United States],2035-01-01,27.81292970847578
Antarctica,2026-01-01,-10.598240794050366
Antarctica,2027-01-01,-10.59842576439052
Antarctica,2028-01-01,-10.598406315828091
Antarctica,2029-01-01,-10.598408360732048
Antarctica,2030-01-01,-10.598408145722214
Antarctica,2031-01-01,-10.598408168329255
Antarctica,2032-01-01,-10.598408165952256
Antarctica,2033-01-01,-10.598408166202184
Antarctica,2034-01-01,-10.598408166175906
Antarctica,2035-01-01,-10.598408166178668
Ukraine,2026-01-01,10.644039944718248
Ukraine,2027-01-01,10.615760105687999
Ukraine,2028-01-01,10.608212456779642
Ukraine,2029-01-01,10.606198053374342
Ukraine,2030-01-01,10.605660426210102
