STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
AG000060590,"EL GOLEA, AG",30.5667,2.8667,397.0,1892,,,,,15.0,E,8.0,E,0.0, ,7.0,E,,,,,,,-2.0,"E,0116, ",19.0," ,E,1213, ",,,-0.5,"E,1208",-1.0,"E,0213",,,,,,,65.7," ,E",,,,,13.9,E,AG000060590,Algeria,EL-GOLEA
AG000060590,"EL GOLEA, AG",30.5667,2.8667,397.0,1893,,,,,7.0,E,4.0,E,0.0, ,28.0,E,,,,,,,-5.0,"E,0119, ",10.0," ,E,0411, ",,,0.0,"E,1214",0.0,"E,0220",-4.0,"E,0209",,,,,25.4," ,E",,,,,13.4,E,AG000060590,Algeria,EL-GOLEA
AG000060590,"EL GOLEA, AG",30.5667,2.8667,397.0,1895,,,,,6.0,E,0.0,E,0.0, ,15.0,E,,,,,,,-4.8,"E,0110,+",2.2," ,E,0202, ",,,,,0.0,"E,0308",-2.6,"E,0130",,,,,6.6," ,E",,,,,13.7,E,AG000060590,Algeria,EL-GOLEA
AG000060590,"EL GOLEA, AG",30.5667,2.8667,397.0,1896,,,,,7.0,E,4.0,E,0.0, ,16.0,E,,,,,,,-2.5,"E,1221, ",11.0," ,E,1101, ",,,0.0,"E,1208",0.0,"E,0129",,,,,,,23.5," ,E",,,,,12.3,E,AG000060590,Algeria,EL-GOLEA
AG000060590,"EL GOLEA, AG",30.5667,2.8667,397.0,1897,,,,,5.0,E,4.0,E,0.0, ,18.0,E,,,,,,,-4.0,"E,0126,+",95.0," ,E,1204, ",,,-1.0,"E,1204",0.0,"E,0209",-2.4,"E,0127",,,,,123.0," ,E",,,,,12.8,E,AG000060590,Algeria,EL-GOLEA
AG000060590,"EL GOLEA, AG",30.5667,2.8667,397.0,1898,,,,,3.0,E,1.0,E,0.0, ,32.0,E,,,,,,,-3.0,"E,0226,+",6.0," ,E,0317, ",,,-1.0,"E,1226",-1.0,"E,0227",-3.0,"E,0226",,,,,9.0," ,E",,,,,12.1,E,AG000060590,Algeria,EL-GOLEA
AG000060590,"EL GOLEA, AG",30.5667,2.8667,397.0,1940,2021.7,,2021.7,G,,,,,0.0,G,15.0,G,0.0,G,277.0,G,151.0,G,-5.2,"G,1230, ",,,46.0,"G,0715, ",-0.2,"G,1209",-0.3,"G,0128",,,,,,,,,21.6,G,29.0,G,14.2,G,AG000060590,Algeria,EL-GOLEA
AG000060590,"EL GOLEA, AG",30.5667,2.8667,397.0,1941,2109.4,,2109.4,G,10.0,I,6.0,I,0.0,G,14.0,G,0.0,G,272.0,G,143.0,G,-5.1,"G,0107, ",13.0," ,I,0312, ",47.6,"G,0716, ",0.0,"G,1214",-2.8,"G,0206",-2.8,"G,0206",855.0,0.0,855.0,G,48.0," ,I",22.0,G,29.0,G,14.9,G,AG000060590,Algeria,EL-GOLEA
AG000060590,"EL GOLEA, AG",30.5667,2.8667,397.0,1942,2318.6,,2318.6,G,11.0,I,8.0,I,0.0,G,5.0,G,0.0,G,271.0,G,169.0,G,-1.7,"G,0110, ",22.0," ,I,0208, ",44.7,"G,0623, ",,,0.0,"G,0119",,,847.5,5.0,847.5,G,68.0," ,I",22.6,G,29.5,G,15.7,G,AG000060590,Algeria,EL-GOLEA
AG000060590,"EL GOLEA, AG",30.5667,2.8667,397.0,1943,2101.7,,2101.7,G,,,,,0.0,G,0.0,G,0.0,G,260.0,G,140.0,G,0.6,"G,1120,+",,,46.2,"G,0708, ",,,,,,,711.0,0.0,711.0,G,,,21.9,G,28.8,G,14.9,G,AG000060590,Algeria,EL-GOLEA
