STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1967,3004.5,,3004.5,0,270.0,0,193.0,0,0.0,0,0.0,0,0.0,0,365.0,0,13.0,0,18.3,"0,0805, ",190.5," ,0,1009, ",32.8,"0,0413,+",,,,,,,0.0,0.0,0.0,0,3573.8," ,0",26.3,0,29.5,0,23.0,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1968,2883.1,,2883.1,0,246.0,0,152.0,0,0.0,0,0.0,0,0.0,0,366.0,0,14.0,0,18.3,"0,0817,+",151.1," ,0,0205, ",32.8,"0,0123, ",,,,,,,0.0,0.0,0.0,0,2969.1," ,0",26.4,0,29.6,0,23.2,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1969,3066.9,,3066.9,0,247.0,0,154.0,0,0.0,0,0.0,0,0.0,0,365.0,0,13.0,0,17.8,"0,0913, ",133.9," ,0,0425, ",33.3,"0,0103, ",,,,,,,0.0,0.0,0.0,0,3138.5," ,0",26.7,0,29.6,0,23.8,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1970,3057.4,,3057.4,0,263.0,0,182.0,0,0.0,0,0.0,0,0.0,0,365.0,0,7.0,0,17.2,"0,0902, ",134.4," ,0,1206, ",32.2,"0,1125,+",,,,,,,0.0,0.0,0.0,0,3428.5," ,0",26.6,0,29.6,0,23.6,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1971,2870.6,,2870.6,0,241.0,0,146.0,0,0.0,0,0.0,0,0.0,0,365.0,0,0.0,0,17.8,"0,0928,+",108.7," ,0,0402, ",31.7,"0,1115,+",,,,,,,0.0,0.0,0.0,0,2444.1," ,0",26.2,0,29.4,0,22.9,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1972,2967.2,,2967.2,0,231.0,0,157.0,0,0.0,0,0.0,0,0.0,0,366.0,0,14.0,0,18.9,"0,0516, ",194.8," ,0,0907, ",33.3,"0,1214, ",,,,,,,0.0,0.0,0.0,0,3318.0," ,0",26.8,0,29.6,0,23.9,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1973,3235.8,,3235.8,0,271.0,0,175.0,0,0.0,0,0.0,0,0.0,0,365.0,0,20.0,0,19.4,"0,1014,+",152.4," ,0,0130, ",32.8,"0,0328,+",,,,,,,0.0,0.0,0.0,0,3332.6," ,0",27.1,0,29.9,0,24.2,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1974,2944.9,,2944.9,0,241.0,0,138.0,0,0.0,0,0.0,0,0.0,0,365.0,0,0.0,0,18.3,"0,0804, ",85.3," ,0,0523, ",31.7,"0,1208,+",,,,,,,0.0,0.0,0.0,0,1979.3," ,0",26.4,0,29.5,0,23.4,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1975,3034.5,,3034.5,0,264.0,0,160.0,0,0.0,0,0.0,0,0.0,0,365.0,0,2.0,0,19.4,"0,0804, ",258.6," ,0,0429, ",32.2,"0,0124,+",,,,,,,0.0,0.0,0.0,0,3178.8," ,0",26.7,0,29.5,0,23.9,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1976,2999.3,,2999.3,0,242.0,0,145.0,0,0.0,0,0.0,0,0.0,0,366.0,0,2.0,0,19.4,"0,0918,+",131.6," ,0,1209, ",32.2,"0,1230,+",,,,,,,0.0,0.0,0.0,0,2910.2," ,0",26.5,0,29.6,0,23.4,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1977,3110.9,,3110.9,0,208.0,0,115.0,0,0.0,0,0.0,0,0.0,0,365.0,0,11.0,0,17.8,"0,0727, ",131.6," ,0,1122, ",33.3,"0,0220, ",,,,,,,0.0,0.0,0.0,0,2485.4," ,0",26.9,0,29.6,0,24.2,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1978,3085.3,,3085.3,0,266.0,0,170.0,0,0.0,0,0.0,0,0.0,0,365.0,0,3.0,0,17.8,"0,0706, ",147.8," ,0,0810, ",32.8,"0,1231, ",,,,,,,0.0,0.0,0.0,0,3889.0," ,0",26.7,0,29.5,0,23.9,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1979,3124.4,,3124.4,0,232.0,0,146.0,0,0.0,0,0.0,0,0.0,0,365.0,0,12.0,0,17.8,"0,0815, ",97.3," ,0,0911, ",32.8,"0,1208, ",,,,,,,0.0,0.0,0.0,0,2818.9," ,0",27.0,0,29.8,0,24.1,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1980,3167.1,,3167.1,0,274.0,0,193.0,0,0.0,0,0.0,0,0.0,0,366.0,0,18.0,0,20.6,"0,0707, ",161.5," ,0,1004, ",33.3,"0,0419, ",,,,,,,0.0,0.0,0.0,0,3707.0," ,0",27.1,0,29.8,0,24.4,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1981,3122.1,,3122.1,0,275.0,0,186.0,0,0.0,0,0.0,0,0.0,0,365.0,0,9.0,0,20.6,"0,0803,+",133.4," ,0,0302, ",32.8,"0,0310,+",,,,,,,0.0,0.0,0.0,0,4204.1," ,0",26.8,0,29.5,0,24.1,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,1982,3169.0,,3169.0,0,226.0,0,139.0,0,0.0,0,0.0,0,0.0,0,365.0,0,8.0,0,19.4,"0,0722, ",176.3," ,0,0206, ",32.8,"0,0428,+",,,,,,,0.0,0.0,0.0,0,2700.9," ,0",27.0,0,29.6,0,24.3,0,AQW00061705,American Samoa [United States],PAGO PAGO WSO AP
