STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1958,0.0,,0.0,G,,,,,108.0,G,355.0,G,303.0,G,0.0,G,0.0,G,-33.3,"G,0729,+",,,6.7,"G,1211, ",-1.7,"G,0101",-2.8,"G,1231",-2.8,"G,1231",10298.5,5.0,10298.5,G,,,-10.4,G,-7.8,G,-13.1,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1959,0.0,,0.0,G,,,,,109.0,G,354.0,G,311.0,G,0.0,G,0.0,G,-34.4,"G,0905, ",,,7.2,"G,1223, ",-3.3,"G,0101",0.0,"G,1231",-2.8,"G,1220",10095.3,3.0,10095.3,G,,,-10.5,G,-7.8,G,-13.3,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1960,,,,,,,,,150.0,G,349.0,G,293.0,G,0.0,G,0.0,G,-37.8,"G,0704, ",,,6.1,"G,1219, ",-0.6,"G,0101",-1.1,"G,1231",-2.8,"G,1229",,,,,,,-11.8,G,-8.9,G,-14.6,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1961,,,,,,,,,78.0,G,358.0,G,294.0,G,0.0,G,0.0,G,-28.9,"G,0728, ",,,6.1,"G,0115, ",-1.1,"G,0101",-3.9,"G,1231",-3.9,"G,1231",9713.5,5.0,9713.5,G,,,-8.7,G,-6.4,G,-11.1,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1962,0.0,,0.0,G,,,,,141.0,G,363.0,G,316.0,G,0.0,G,0.0,G,-36.7,"G,0825,+",,,6.7,"G,1206, ",-3.3,"G,0101",-2.2,"G,1231",-2.2,"G,1231",10942.9,9.0,10942.9,G,,,-11.9,G,-9.3,G,-14.5,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1963,0.0,,0.0,G,,,,,116.0,G,353.0,G,309.0,G,0.0,G,0.0,G,-32.2,"G,0506, ",,,9.4,"G,1229, ",-2.8,"G,0101",-1.7,"G,1231",-2.8,"G,1227",10361.5,5.0,10361.5,G,,,-10.4,G,-7.9,G,-13.0,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1964,0.0,,0.0,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1972,,,,,,,,,124.0,G,331.0,G,272.0,G,0.0,G,0.0,G,-31.7,"G,0804, ",,,10.0,"G,0115,+",0.0,"G,0107",-2.2,"G,1231",-2.2,"G,1231",,,,,,,-10.0,G,-6.9,G,-13.2,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1979,,,,,,,,,125.0,G,325.0,G,277.0,G,0.0,G,0.0,G,-39.0,"G,0728, ",,,10.0,"G,1216, ",0.0,"G,0101",-1.0,"G,1231",-3.5,"G,1210",,,,,,,-10.8,G,-7.6,G,-14.0,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1982,,,,,,,,,158.0,G,332.0,G,270.0,G,0.0,G,0.0,G,-38.1,"G,0624, ",,,8.2,"G,1228, ",-3.0,"G,0101",0.0,"G,1231",-2.3,"G,1220",,,,,,,-12.7,G,-9.4,G,-15.9,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1989,,,,,,,,,109.0,G,330.0,G,267.0,G,0.0,G,0.0,G,-34.2,"G,0518, ",,,10.1,"G,1205, ",-2.2,"G,0101",-1.1,"G,1231",-2.3,"G,1227",,,,,,,-10.0,G,-6.8,G,-13.2,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1991,,,,,,,,,78.0,G,320.0,G,253.0,G,0.0,G,0.0,G,-30.0,"G,0908,+",,,10.0,"G,0219, ",-2.6,"G,0101",-0.2,"G,1226",-2.3,"G,1225",,,,,,,-8.2,G,-5.3,G,-11.2,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1992,,,,,,,,,141.0,G,328.0,G,265.0,G,0.0,G,0.0,G,-40.1,"G,0612, ",,,10.2,"G,0101, ",-0.1,"G,0105",-2.0,"G,1231",-2.5,"G,1230",,,,,,,-11.6,G,-8.2,G,-14.9,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1993,,,,,,,,,164.0,G,340.0,G,283.0,G,0.0,G,0.0,G,-37.4,"G,0724, ",,,8.5,"G,0109, ",-2.2,"G,0101",-1.5,"G,1231",-3.3,"G,1230",,,,,,,-12.6,G,-9.4,G,-15.8,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1995,,,,,,,,,,,,,275.0,G,0.0,G,0.0,G,,,,,8.2,"G,0108, ",,,,,,,,,,,,,,,-6.6,G,,,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1996,,,,,,,,,108.0,G,332.0,G,254.0,G,0.0,G,0.0,G,-28.9,"G,0809, ",,,11.3,"G,0129, ",-0.8,"G,0101",-0.9,"G,1231",-2.4,"G,1230",,,,,,,-9.4,G,-6.0,G,-12.7,G,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,1998,,,,,,,,,,,,,256.0,G,0.0,G,0.0,G,,,,,8.8,"G,1226, ",,,,,,,,,,,,,,,-7.5,G,,,AYM00089571,Antarctica,DAVIS
AYM00089571,"DAVIS, AY",-68.583,77.95,13.0,2000,,,,,,,,,114.0,G,341.0,G,269.0,G,0.0,G,0.0,G,-30.0,"G,0720,+",,,6.0,"G,1206,+",-5.6,"G,0101",-1.0,"G,1231",-5.0,"G,1218",,,,,,,-9.6,G,-6.5,G,-12.8,G,AYM00089571,Antarctica,DAVIS
