STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1958,0.0,,0.0,X,16.0,X,0.0,X,364.0,X,364.0,X,363.0,X,0.0,X,0.0,X,-74.4,"X,0919,+",1.8," ,X,0218, ",-14.4,"X,0112, ",-28.3,"X,0101",-29.4,"X,1231",-29.4,"X,1231",24375.8,8.0,24375.8,X,11.7," ,X",-48.8,X,-45.7,X,-51.9,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1959,0.0,,0.0,X,0.0,X,0.0,X,364.0,X,364.0,X,364.0,X,0.0,X,0.0,X,-78.9,"X,0913, ",0.0,"T,X,1222,+",-21.1,"X,0116, ",-30.0,"X,0101",-28.3,"X,1231",-28.3,"X,1231",24746.9,9.0,24746.9,X,0.0,"T,X",-49.7,X,-46.8,X,-52.7,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1960,0.0,,0.0,X,0.0,X,0.0,X,366.0,X,366.0,X,366.0,X,0.0,X,0.0,X,-77.2,"X,0907, ",0.0,"T,X,1231,+",-19.4,"X,1217, ",-26.7,"X,0101",-24.4,"X,1231",-24.4,"X,1231",24861.9,9.0,24861.9,X,0.0,"T,X",-49.6,X,-46.6,X,-52.6,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1961,0.0,,0.0,X,0.0,X,0.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-74.4,"X,0812, ",0.0,"T,X,1228,+",-23.3,"X,1229,+",-25.6,"X,0101",-27.2,"X,1231",-27.2,"X,1231",24670.9,9.0,24670.9,X,0.0,"T,X",-49.2,X,-46.5,X,-52.0,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1962,0.0,,0.0,X,2.0,X,0.0,X,364.0,X,364.0,X,364.0,X,0.0,X,0.0,X,-75.6,"X,0905,+",0.8," ,X,0505, ",-23.3,"X,0117, ",-26.7,"X,0101",-29.4,"X,1231",-29.4,"X,1231",24560.5,5.0,24560.5,X,1.1," ,X",-49.3,X,-46.6,X,-52.1,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1963,0.0,,0.0,X,10.0,X,0.0,X,361.0,X,361.0,X,361.0,X,0.0,X,0.0,X,-78.9,"X,0714, ",1.0," ,X,0614, ",-18.9,"X,1223,+",-30.6,"X,0101",-25.6,"X,1231",-25.6,"X,1231",24272.6,6.0,24272.6,X,4.9," ,X",-48.7,X,-45.7,X,-51.6,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1964,0.0,,0.0,X,0.0,X,0.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-72.8,"X,0903, ",0.0,"T,X,1231,+",-17.8,"X,0103, ",-24.4,"X,0101",-27.8,"X,1231",-27.8,"X,1231",24752.3,3.0,24752.3,X,0.0,"T,X",-49.7,X,-47.0,X,-52.3,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1965,0.0,,0.0,X,0.0,X,0.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-80.6,"X,0725,+",0.0,"T,X,1229,+",-18.9,"X,1226, ",-30.0,"X,0101",-26.1,"X,1231",-26.1,"X,1231",24727.0,0.0,24727.0,X,0.0,"T,X",-49.4,X,-46.3,X,-52.4,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1966,0.0,,0.0,X,0.0,X,0.0,X,364.0,X,364.0,X,364.0,X,0.0,X,0.0,X,-76.1,"X,0617, ",0.0,"T,X,1231,+",-18.9,"X,1231,+",-26.1,"X,0101",-22.8,"X,1231",-22.8,"X,1231",24697.3,3.0,24697.3,X,0.0,"T,X",-49.5,X,-46.5,X,-52.5,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1967,0.0,,0.0,X,0.0,X,0.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-76.1,"X,0813,+",0.0,"T,X,1231,+",-18.3,"X,0125,+",-22.2,"X,0101",-27.2,"X,1231",-27.2,"X,1231",24722.2,2.0,24722.2,X,0.0,"T,X",-49.4,X,-46.4,X,-52.3,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1968,0.0,,0.0,X,0.0,X,0.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-80.0,"X,0715, ",0.0,"T,X,1229,+",-22.8,"X,1228, ",-26.1,"X,0101",-26.1,"X,1230",-26.1,"X,1230",24831.5,5.0,24831.5,X,0.0,"T,X",-49.6,X,-46.8,X,-52.5,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1970,,,,,,,,,363.0,X,363.0,X,363.0,X,0.0,X,0.0,X,-75.6,"X,0726, ",,,-20.0,"X,1221,+",-23.9,"X,0101",-26.1,"X,1231",-26.1,"X,1231",24635.1,1.0,24635.1,X,,,-49.6,X,-46.9,X,-52.3,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1971,0.0,,0.0,X,18.0,X,0.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-75.6,"X,0915, ",1.3," ,X,0108, ",-16.7,"X,0108, ",-25.0,"X,0101",-26.7,"X,1231",-26.7,"X,1231",24582.8,8.0,24582.8,X,11.2," ,X",-49.0,X,-46.2,X,-51.7,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1972,0.0,,0.0,X,4.0,X,1.0,X,366.0,X,366.0,X,366.0,X,0.0,X,0.0,X,-73.3,"X,0921,+",6.4," ,X,0220, ",-20.6,"X,1220, ",-27.8,"X,0101",-31.1,"X,1231",-31.1,"X,1231",24576.7,7.0,24576.7,X,7.5," ,X",-48.8,X,-46.1,X,-51.6,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1973,0.0,,0.0,X,0.0,X,0.0,X,364.0,X,364.0,X,364.0,X,0.0,X,0.0,X,-73.9,"X,0828, ",0.0,"T,X,1231,+",-21.7,"X,1229,+",-29.4,"X,0101",-25.0,"X,1231",-25.0,"X,1231",24689.8,8.0,24689.8,X,0.0,"T,X",-49.5,X,-46.7,X,-52.3,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1974,0.0,,0.0,X,0.0,X,0.0,X,364.0,X,364.0,X,364.0,X,0.0,X,0.0,X,-77.2,"X,0817, ",0.0,"T,X,1222,+",-17.8,"X,1226,+",-25.6,"X,0101",-23.3,"X,1231",-23.3,"X,1231",24425.3,3.0,24425.3,X,0.0,"T,X",-48.7,X,-45.6,X,-51.9,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1975,0.0,,0.0,X,1.0,X,1.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-75.0,"X,0901,+",30.5," ,X,1229, ",-20.0,"X,0113, ",-24.4,"X,0101",-26.7,"X,1231",-26.7,"X,1231",24700.0,0.0,24700.0,X,30.5," ,X",-49.3,X,-46.3,X,-52.3,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1976,0.0,,0.0,X,0.0,X,0.0,X,365.0,X,365.0,X,366.0,X,0.0,X,0.0,X,-76.1,"X,0808, ",0.0,"T,X,1231,+",-19.4,"X,0117, ",-27.2,"X,0101",-26.1,"X,1231",-26.1,"X,1231",24909.8,8.0,24909.8,X,0.0,"T,X",-49.9,X,-46.9,X,-53.0,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1977,0.0,,0.0,X,0.0,X,0.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-75.0,"X,0824, ",0.0,"T,X,1230,+",-19.4,"X,0114, ",-25.0,"X,0101",-28.3,"X,1231",-28.3,"X,1231",24754.2,2.0,24754.2,X,0.0,"T,X",-49.5,X,-46.6,X,-52.3,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1978,0.0,,0.0,X,0.0,X,0.0,X,361.0,X,361.0,X,363.0,X,0.0,X,0.0,X,-77.8,"X,0918,+",0.0,"T,X,1231,+",-17.8,"X,1229, ",-25.0,"X,0101",-23.9,"X,1231",-23.9,"X,1231",24586.1,1.0,24586.1,X,0.0,"T,X",-49.5,X,-46.3,X,-52.7,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1979,0.0,,0.0,X,0.0,X,0.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-76.1,"X,0729,+",0.0,"T,X,1231,+",-19.4,"X,1223,+",-21.7,"X,0101",-30.0,"X,1231",-30.0,"X,1231",24692.3,3.0,24692.3,X,0.0,"T,X",-49.3,X,-46.2,X,-52.4,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1980,0.0,,0.0,X,0.0,X,0.0,X,366.0,X,366.0,X,365.0,X,0.0,X,0.0,X,-74.4,"X,0813, ",0.0,"T,X,1231,+",-17.8,"X,1222, ",-31.7,"X,0101",-25.6,"X,1231",-25.6,"X,1231",24420.2,2.0,24420.2,X,0.0,"T,X",-48.6,X,-45.4,X,-51.8,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1981,0.0,,0.0,X,0.0,X,0.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-76.7,"X,0914, ",0.0,"T,X,1231,+",-17.8,"X,0118, ",-27.8,"X,0101",-25.6,"X,1231",-25.6,"X,1231",24491.3,3.0,24491.3,X,0.0,"T,X",-48.7,X,-45.5,X,-52.0,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1982,0.0,,0.0,X,0.0,X,0.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-82.8,"X,0623, ",0.0,"T,X,1231,+",-18.9,"X,1231, ",-25.6,"X,0101",-25.0,"X,1231",-25.0,"X,1231",24538.2,2.0,24538.2,X,0.0,"T,X",-48.9,X,-45.7,X,-52.1,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1983,0.0,,0.0,X,0.0,X,0.0,X,365.0,X,365.0,X,365.0,X,0.0,X,0.0,X,-75.6,"X,0924, ",0.0,"T,X,1230,+",-18.3,"X,0106, ",-24.4,"X,0101",-28.3,"X,1231",-28.3,"X,1231",25336.1,1.0,25336.1,X,0.0,"T,X",-51.1,X,-47.9,X,-54.2,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
AYW00090001,"AMUNDSEN SCOTT, AY",-90.0,0.0,,1984,0.0,,0.0,X,0.0,X,0.0,X,366.0,X,366.0,X,366.0,X,0.0,X,0.0,X,-75.6,"X,0624,+",0.0,"T,X,1231,+",-13.9,"X,1214, ",-28.3,"X,0101",-25.6,"X,1231",-25.6,"X,1231",24557.1,1.0,24557.1,X,0.0,"T,X",-48.8,X,-45.5,X,-52.0,X,AYW00090001,Antarctica,AMUNDSEN-SCOTT
