STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6,3479.0,1957,0.0,,0.0,G,,,,,0.0,G,151.0,G,0.0,G,76.0,G,0.0,G,-14.1,"G,0720, ",,,26.8,"G,1214, ",-0.6,"G,0324",-1.1,"G,1029",-2.2,"G,0926",3187.5,5.0,3187.5,G,,,9.6,G,18.3,G,0.9,G,AR000087007,Argentina,LA QUIACA OBSERVATO
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6,3479.0,1958,0.0,,0.0,G,,,,,0.0,G,153.0,G,0.0,G,84.0,G,0.0,G,-11.1,"G,0810, ",,,25.7,"G,0328, ",-1.0,"G,0412",-1.9,"G,1011",-2.3,"G,0926",3070.8,8.0,3070.8,G,,,9.9,G,18.9,G,0.9,G,AR000087007,Argentina,LA QUIACA OBSERVATO
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6,3479.0,1959,0.0,,0.0,G,,,,,0.0,G,158.0,G,0.0,G,97.0,G,0.0,G,-11.1,"G,0624, ",,,24.3,"G,1219,+",-0.8,"G,0406",-0.1,"G,1110",-3.0,"G,0925",3061.1,1.0,3061.1,G,,,9.9,G,18.8,G,1.0,G,AR000087007,Argentina,LA QUIACA OBSERVATO
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6,3479.0,1960,0.0,,0.0,G,,,,,0.0,G,155.0,G,0.0,G,55.0,G,0.0,G,-12.0,"G,0706, ",,,24.1,"G,0405, ",-1.9,"G,0416",-0.8,"G,1104",-4.4,"G,1002",3205.0,0.0,3205.0,G,,,9.6,G,18.3,G,0.9,G,AR000087007,Argentina,LA QUIACA OBSERVATO
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6,3479.0,1961,0.0,,0.0,G,,,,,0.0,G,151.0,G,0.0,G,100.0,G,0.0,G,-13.7,"G,0722, ",,,27.1,"G,0112, ",-1.8,"G,0405",-1.6,"G,1021",-2.5,"G,1017",3004.5,5.0,3004.5,G,,,10.1,G,18.9,G,1.3,G,AR000087007,Argentina,LA QUIACA OBSERVATO
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6,3479.0,1962,0.0,,0.0,G,,,,,0.0,G,159.0,G,0.0,G,90.0,G,0.0,G,-13.3,"G,0719, ",,,27.0,"G,0108, ",-1.2,"G,0409",-0.5,"G,1021",-2.9,"G,1013",3169.3,3.0,3169.3,G,,,9.5,G,18.7,G,0.4,G,AR000087007,Argentina,LA QUIACA OBSERVATO
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6,3479.0,1963,0.0,,0.0,G,,,,,0.0,G,148.0,G,0.0,G,104.0,G,0.0,G,-11.5,"G,0616, ",,,26.3,"G,1031, ",-0.6,"G,0411",-4.3,"G,1017",-4.3,"G,1017",2897.6,6.0,2897.6,G,,,10.4,G,19.3,G,1.4,G,AR000087007,Argentina,LA QUIACA OBSERVATO
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6,3479.0,1964,0.0,,0.0,G,,,,,0.0,G,165.0,G,0.0,G,89.0,G,0.0,G,-12.5,"G,0803, ",,,25.2,"G,0229, ",-0.4,"G,0402",-0.5,"G,1117",-3.4,"G,1022",3217.5,5.0,3217.5,G,,,9.5,G,18.6,G,0.4,G,AR000087007,Argentina,LA QUIACA OBSERVATO
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6,3479.0,1965,0.0,,0.0,G,,,,,0.0,G,162.0,G,0.0,G,77.0,G,0.0,G,-14.8,"G,0820, ",,,27.1,"G,1203, ",-0.6,"G,0407",-1.6,"G,1031",-2.3,"G,1029",3194.6,6.0,3194.6,G,,,9.6,G,18.6,G,0.5,G,AR000087007,Argentina,LA QUIACA OBSERVATO
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6,3479.0,1966,0.0,,0.0,G,,,,,0.0,G,154.0,G,0.0,G,132.0,G,0.0,G,-13.8,"G,0630, ",,,25.7,"G,0224, ",-0.8,"G,0404",-2.0,"G,1029",-2.7,"G,0923",3031.9,9.0,3031.9,G,,,10.0,G,19.3,G,0.8,G,AR000087007,Argentina,LA QUIACA OBSERVATO
