STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2006,,,,,,,,,0,S,6,S,,,,,,,-2.0,"S,0801, ",,,,,0.0,"S,0611",-1.6,"S,0821",,,,,,,,,,,,,11.0,S,ARM00087593,Argentina,LA PLATA
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2007,,,,,,,,,0,S,17,S,,,,,,,-3.4,"S,0728,+",,,,,-0.4,"S,0528",,,,,,,,,,,,,,,10.4,S,ARM00087593,Argentina,LA PLATA
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2008,,,,,,,,,0,S,15,S,,,,,,,-2.7,"S,0601, ",,,,,-0.6,"S,0529",-0.2,"S,0818",-2.5,"S,0803",,,,,,,,,,,11.1,S,ARM00087593,Argentina,LA PLATA
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2011,,,,,,,,,0,S,18,S,,,,,,,-3.8,"S,0702, ",,,,,-0.6,"S,0604",-0.2,"S,0823",-2.2,"S,0821",,,,,,,,,,,10.7,S,ARM00087593,Argentina,LA PLATA
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2014,,,,,,,,,0,S,8,S,,,,,,,-2.0,"S,0614, ",,,,,-2.0,"S,0614",,,,,,,,,,,,,,,11.4,S,ARM00087593,Argentina,LA PLATA
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2015,,,,,,,,,0,S,10,S,,,,,,,-3.6,"S,0619, ",,,,,-1.9,"S,0618",,,,,,,,,,,,,,,11.3,S,ARM00087593,Argentina,LA PLATA
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2017,,,,,,,,,0,S,7,S,,,,,,,-2.2,"S,0612, ",,,,,-0.1,"S,0605",,,,,,,,,,,,,,,12.0,S,ARM00087593,Argentina,LA PLATA
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2018,,,,,,,,,0,S,9,S,,,,,,,-2.9,"S,0625,+",,,,,-2.2,"S,0616",-1.6,"S,0821",-2.2,"S,0801",,,,,,,,,,,11.6,S,ARM00087593,Argentina,LA PLATA
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2019,,,,,,,,,0,S,12,S,,,,,,,-3.8,"S,0814, ",,,,,-0.5,"S,0704",-1.0,"S,0904",-3.8,"S,0814",,,,,,,,,,,10.9,S,ARM00087593,Argentina,LA PLATA
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2020,,,,,,,,,0,S,10,S,,,,,,,-1.6,"S,0820,+",,,,,-0.4,"S,0602",-0.4,"S,0921",,,,,,,,,,,,,10.7,S,ARM00087593,Argentina,LA PLATA
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2022,,,,,,,,,0,S,17,S,,,,,,,-2.4,"S,0603, ",,,,,-0.2,"S,0519",-0.9,"S,0903",,,,,,,,,,,,,10.3,S,ARM00087593,Argentina,LA PLATA
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9,2023,,,,,,,,,0,S,8,S,,,,,,,-2.5,"S,0718, ",,,,,-0.2,"S,0614",0.0,"S,0827",,,,,,,,,,,,,11.5,S,ARM00087593,Argentina,LA PLATA
