STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1930,0.0,,0.0,G,,,,,16.0,G,262.0,G,170.0,G,0.0,G,0.0,G,-27.2,"G,0122, ",,,18.0,"G,0817, ",-0.1,"G,0905",-0.1,"G,0707",-2.8,"G,0626",,,,,,,-2.0,G,1.6,G,-5.6,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1931,,,,,,,,,46.0,G,265.0,G,171.0,G,0.0,G,0.0,G,-27.5,"G,0123, ",,,19.5,"G,0802, ",0.0,"G,0810",-4.1,"G,0621",-4.1,"G,0621",7528.5,5.0,7528.5,G,,,-3.1,G,0.8,G,-7.0,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1932,0.0,,0.0,G,,,,,49.0,G,269.0,G,168.0,G,0.0,G,0.0,G,-26.1,"G,0120, ",,,17.4,"G,0818, ",-0.7,"G,0828",-0.2,"G,0725",-3.2,"G,0618",,,,,,,-2.9,G,0.9,G,-6.7,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1933,0.0,,0.0,G,,,,,47.0,G,277.0,G,180.0,G,0.0,G,0.0,G,-26.2,"G,0109, ",,,18.6,"G,0805, ",-0.5,"G,0816",-0.4,"G,0705",-3.8,"G,0619",7937.8,8.0,7937.8,G,,,-3.2,G,0.5,G,-6.9,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1934,,,,,,,,,,,,,174.0,G,0.0,G,0.0,G,,,,,16.6,"G,0720, ",,,,,,,,,,,,,,,0.6,G,,,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1935,,,,,,,,,,,,,171.0,G,0.0,G,0.0,G,,,,,20.5,"G,0802, ",,,,,,,,,,,,,,,2.0,G,,,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1936,0.0,,0.0,G,,,,,36.0,G,273.0,G,169.0,G,0.0,G,0.0,G,-25.3,"G,1231, ",,,16.7,"G,0726, ",-0.5,"G,0906",-0.7,"G,0620",-4.2,"G,0618",7344.9,9.0,7344.9,G,,,-2.8,G,0.7,G,-6.3,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1937,0.0,,0.0,G,,,,,34.0,G,260.0,G,162.0,G,0.0,G,0.0,G,-27.1,"G,0203, ",,,18.8,"G,0717,+",-0.9,"G,0930",0.0,"G,0629",-2.8,"G,0621",7714.7,7.0,7714.7,G,,,-1.8,G,1.8,G,-5.3,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1938,0.0,,0.0,G,,,,,31.0,G,262.0,G,169.0,G,0.0,G,0.0,G,-24.7,"G,0228, ",,,17.8,"G,0818, ",-0.5,"G,0912",-0.2,"G,0625",-2.6,"G,0609",7399.2,2.0,7399.2,G,,,-2.8,G,0.6,G,-6.3,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1939,0.0,,0.0,G,,,,,28.0,G,247.0,G,162.0,G,0.0,G,0.0,G,-22.7,"G,0228, ",,,16.9,"G,0729, ",-2.1,"G,0908",-0.3,"G,0711",-2.8,"G,0602",7463.6,6.0,7463.6,G,,,-2.4,G,1.2,G,-6.0,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1940,0.0,,0.0,G,,,,,28.0,G,263.0,G,165.0,G,0.0,G,0.0,G,-30.6,"G,0112, ",,,18.9,"G,0801, ",-2.5,"G,0919",-0.7,"G,0701",-2.3,"G,0612",7685.8,8.0,7685.8,G,,,-1.9,G,1.6,G,-5.4,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1941,0.0,,0.0,G,,,,,34.0,G,250.0,G,171.0,G,0.0,G,0.0,G,-31.5,"G,0115, ",,,17.9,"G,0719, ",-0.2,"G,0825",-0.1,"G,0612",-2.4,"G,0530",7080.5,5.0,7080.5,G,,,-2.1,G,1.5,G,-5.8,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1942,0.0,,0.0,G,,,,,25.0,G,258.0,G,180.0,G,0.0,G,0.0,G,-27.9,"G,0105, ",,,19.1,"G,0814, ",-1.6,"G,0905",-0.6,"G,0611",-3.5,"G,0610",7730.0,0.0,7730.0,G,,,-2.2,G,1.3,G,-5.6,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1943,0.0,,0.0,G,,,,,40.0,G,260.0,G,175.0,G,0.0,G,0.0,G,-24.9,"G,0311, ",,,17.7,"G,0806, ",-0.1,"G,0914",-2.2,"G,0626",-2.2,"G,0626",7676.8,8.0,7676.8,G,,,-2.5,G,1.2,G,-6.2,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1944,0.0,,0.0,G,,,,,27.0,G,247.0,G,168.0,G,0.0,G,0.0,G,-27.3,"G,0226, ",,,16.9,"G,0727, ",0.0,"G,0814",-0.6,"G,0630",-3.3,"G,0602",7328.7,7.0,7328.7,G,,,-2.1,G,1.4,G,-5.5,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1945,0.0,,0.0,G,,,,,44.0,G,252.0,G,188.0,G,0.0,G,0.0,G,-28.6,"G,0225, ",,,17.8,"G,0827, ",-1.3,"G,0917",-1.4,"G,0702",-2.5,"G,0628",7841.9,9.0,7841.9,G,,,-3.6,G,0.0,G,-7.1,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1946,0.0,,0.0,G,,,,,26.0,G,268.0,G,168.0,G,0.0,G,0.0,G,-25.2,"G,0221,+",,,15.7,"G,0829, ",-0.1,"G,0919",-1.8,"G,0709",-3.1,"G,0708",7682.3,3.0,7682.3,G,,,-2.8,G,0.6,G,-6.3,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1947,0.0,,0.0,G,,,,,16.0,G,261.0,G,149.0,G,0.0,G,0.0,G,-31.0,"G,0203, ",,,17.8,"G,0717, ",0.0,"G,0803",-0.7,"G,0611",-5.5,"G,0606",7317.5,5.0,7317.5,G,,,-1.5,G,2.1,G,-5.0,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1948,0.0,,0.0,G,,,,,37.0,G,250.0,G,182.0,G,0.0,G,0.0,G,-28.1,"G,1227, ",,,18.6,"G,0816, ",-0.2,"G,0825",-1.3,"G,0630",-3.6,"G,0521",7574.7,7.0,7574.7,G,,,-2.7,G,0.9,G,-6.2,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1949,0.0,,0.0,G,,,,,36.0,G,254.0,G,167.0,G,0.0,G,0.0,G,-29.0,"G,0209, ",,,19.8,"G,0716, ",-1.1,"G,0902",0.0,"G,0604",-3.3,"G,0529",7748.3,3.0,7748.3,G,,,-2.3,G,1.4,G,-6.0,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1950,0.0,,0.0,G,,,,,32.0,G,256.0,G,167.0,G,0.0,G,0.0,G,-31.2,"G,0115, ",,,17.5,"G,0807, ",-1.7,"G,0826",-0.6,"G,0712",-3.0,"G,0618",7504.1,1.0,7504.1,G,,,-2.7,G,0.9,G,-6.2,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1951,0.0,,0.0,G,,,,,28.0,G,269.0,G,179.0,G,0.0,G,0.0,G,-25.9,"G,0124, ",,,19.3,"G,0728, ",0.0,"G,0806",-2.7,"G,0629",-2.7,"G,0629",7403.5,5.0,7403.5,G,,,-2.6,G,0.9,G,-6.1,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1952,0.0,,0.0,G,,,,,23.0,G,258.0,G,168.0,G,0.0,G,0.0,G,-23.0,"G,0305, ",,,17.4,"G,0804,+",-0.9,"G,0917",-0.5,"G,0713",-6.6,"G,0616",7841.4,4.0,7841.4,G,,,-2.0,G,1.5,G,-5.5,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1953,0.0,,0.0,G,,,,,52.0,G,246.0,G,189.0,G,0.0,G,0.0,G,-28.2,"G,1127, ",,,17.8,"G,0830, ",-1.1,"G,0909",-1.4,"G,0702",-2.4,"G,0611",7432.9,9.0,7432.9,G,,,-3.2,G,0.4,G,-6.9,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1954,0.0,,0.0,G,,,,,33.0,G,255.0,G,168.0,G,0.0,G,0.0,G,-27.7,"G,0114, ",,,17.8,"G,0830, ",-0.2,"G,0916",-0.5,"G,0620",-3.1,"G,0605",7922.5,5.0,7922.5,G,,,-2.3,G,1.3,G,-5.9,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1955,0.0,,0.0,G,,,,,9.0,G,253.0,G,164.0,G,0.0,G,0.0,G,-23.8,"G,0224, ",,,19.3,"G,0812, ",0.0,"G,0816",-1.9,"G,0622",-3.3,"G,0610",7109.2,2.0,7109.2,G,,,-1.5,G,1.9,G,-5.0,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1956,0.0,,0.0,G,,,,,47.0,G,270.0,G,195.0,G,0.0,G,0.0,G,-29.0,"G,0131, ",,,18.2,"G,0804, ",-0.2,"G,0904",-0.4,"G,0629",-2.3,"G,0614",7690.3,3.0,7690.3,G,,,-3.5,G,0.0,G,-7.0,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1957,0.0,,0.0,G,,,,,34.0,G,248.0,G,167.0,G,0.0,G,0.0,G,-26.4,"G,0104, ",,,20.1,"G,0731, ",-3.5,"G,1008",0.0,"G,0705",-4.7,"G,0704",7762.6,6.0,7762.6,G,,,-2.3,G,1.1,G,-5.6,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1958,0.0,,0.0,G,,,,,21.0,G,250.0,G,175.0,G,0.0,G,0.0,G,-25.7,"G,0131, ",,,16.4,"G,0729, ",-0.4,"G,0919",-3.9,"G,0712",-3.9,"G,0712",7399.8,8.0,7399.8,G,,,-2.3,G,1.0,G,-5.6,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1959,0.0,,0.0,G,,,,,38.0,G,272.0,G,179.0,G,0.0,G,0.0,G,-26.8,"G,0208, ",,,18.2,"G,0719, ",-0.2,"G,0825",-2.3,"G,0628",-2.3,"G,0628",7759.2,2.0,7759.2,G,,,-3.4,G,-0.2,G,-6.5,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1960,0.0,,0.0,G,,,,,19.0,G,262.0,G,169.0,G,0.0,G,0.0,G,-26.4,"G,0124, ",,,16.5,"G,0822, ",-0.7,"G,0825",-0.5,"G,0709",-2.6,"G,0609",7713.3,3.0,7713.3,G,,,-1.9,G,1.5,G,-5.3,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1961,0.0,,0.0,G,,,,,29.0,G,264.0,G,171.0,G,0.0,G,0.0,G,-30.8,"G,0123, ",,,18.7,"G,0817, ",-1.4,"G,0807",-0.7,"G,0616",-3.3,"G,0607",7268.8,8.0,7268.8,G,,,-2.1,G,1.4,G,-5.6,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1962,0.0,,0.0,G,,,,,17.0,G,258.0,G,164.0,G,0.0,G,0.0,G,-22.5,"G,0105, ",,,20.0,"G,0721, ",-0.5,"G,0911",-0.3,"G,0619",-2.6,"G,0618",7344.2,2.0,7344.2,G,,,-1.3,G,2.4,G,-5.1,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1963,0.0,,0.0,G,,,,,25.0,G,263.0,G,180.0,G,0.0,G,0.0,G,-28.4,"G,1225, ",,,18.0,"G,0719, ",-0.4,"G,0907",-0.9,"G,0625",-3.2,"G,0623",7274.6,6.0,7274.6,G,,,-2.4,G,1.0,G,-5.8,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
AM000037781,"ARAGAC VISOKOGORNAYA, AM",40.5,44.2,3223.0,1964,,,,,,,,,44.0,G,246.0,G,,,,,,,-31.6,"G,0119, ",,,,,-0.1,"G,0908",-0.3,"G,0622",-5.5,"G,0527",,,,,,,,,,,-6.4,G,AM000037781,Armenia,ARAGAC VISOKOGORNAYA
