STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
ASM00094299,"WILLIS ISLAND, AS",-16.288,149.965,9.0,1948,,,,,,,,,,,,,0.0,S,359.0,S,7.0,S,,,,,32.2,"S,0202,+",,,,,,,,,,,,,,,28.9,S,,,ASM00094299,Australia,WILLIS ISLAND
ASM00094299,"WILLIS ISLAND, AS",-16.288,149.965,9.0,1949,,,,,,,,,,,,,0.0,S,355.0,S,5.0,S,,,,,32.2,"S,1230,+",,,,,,,,,,,,,,,28.6,S,,,ASM00094299,Australia,WILLIS ISLAND
ASM00094299,"WILLIS ISLAND, AS",-16.288,149.965,9.0,1950,,,,,,,,,,,,,0.0,S,346.0,S,4.0,S,,,,,32.2,"S,0303,+",,,,,,,,,,,,,,,28.7,S,,,ASM00094299,Australia,WILLIS ISLAND
ASM00094299,"WILLIS ISLAND, AS",-16.288,149.965,9.0,1951,,,,,,,,,,,,,0.0,S,357.0,S,2.0,S,,,,,32.2,"S,1213,+",,,,,,,,,,,,,,,28.3,S,,,ASM00094299,Australia,WILLIS ISLAND
ASM00094299,"WILLIS ISLAND, AS",-16.288,149.965,9.0,1952,,,,,,,,,,,,,0.0,S,362.0,S,5.0,S,,,,,32.8,"S,1208,+",,,,,,,,,,,,,,,29.0,S,,,ASM00094299,Australia,WILLIS ISLAND
ASM00094299,"WILLIS ISLAND, AS",-16.288,149.965,9.0,1953,,,,,,,,,,,,,0.0,S,350.0,S,6.0,S,,,,,32.8,"S,0104,+",,,,,,,,,,,,,,,28.6,S,,,ASM00094299,Australia,WILLIS ISLAND
ASM00094299,"WILLIS ISLAND, AS",-16.288,149.965,9.0,1954,,,,,,,,,,,,,0.0,S,356.0,S,1.0,S,,,,,32.2,"S,1217, ",,,,,,,,,,,,,,,28.5,S,,,ASM00094299,Australia,WILLIS ISLAND
ASM00094299,"WILLIS ISLAND, AS",-16.288,149.965,9.0,1955,,,,,,,,,,,,,0.0,S,359.0,S,10.0,S,,,,,32.8,"S,1224,+",,,,,,,,,,,,,,,28.8,S,,,ASM00094299,Australia,WILLIS ISLAND
ASM00094299,"WILLIS ISLAND, AS",-16.288,149.965,9.0,1956,,,,,,,,,,,,,0.0,S,361.0,S,20.0,S,,,,,33.3,"S,1228,+",,,,,,,,,,,,,,,29.1,S,,,ASM00094299,Australia,WILLIS ISLAND
ASM00094299,"WILLIS ISLAND, AS",-16.288,149.965,9.0,1981,,,,,86.0,S,52.0,S,,,,,,,,,,,,,400.1," ,S,0202, ",,,,,,,,,,,,,1381.2," ,S",,,,,,,ASM00094299,Australia,WILLIS ISLAND
