STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1856,245.8,,245.8,E,,,,,0.0,E,108.0,E,32.0,E,112.0,E,14.0,E,-14.1,"E,1128, ",,,34.8,"E,0814,+",-1.5,"E,1027",-2.3,"E,0402",-2.3,"E,0402",3244.9,9.0,3244.9,E,,,9.9,E,14.5,E,5.3,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1857,346.9,,346.9,E,,,,,0.0,E,101.0,E,33.0,E,124.0,E,13.0,E,-15.3,"E,0110, ",,,37.0,"E,0727, ",0.0,"E,1106",0.0,"E,0426",-2.3,"E,0321",3562.1,1.0,3562.1,E,,,10.3,E,14.5,E,6.1,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1858,238.2,,238.2,E,,,,,0.0,E,115.0,E,56.0,E,118.0,E,5.0,E,-16.9,"E,0219, ",,,34.3,"E,0617, ",-4.4,"E,1102",-0.4,"E,0416",-8.9,"E,0314",3445.3,3.0,3445.3,E,,,9.0,E,13.3,E,4.8,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1859,363.1,,363.1,E,,,,,0.0,E,83.0,E,30.0,E,112.0,E,24.0,E,-14.1,"E,1218, ",,,37.3,"E,0723, ",-2.3,"E,1112",-1.0,"E,0403",-3.1,"E,0222",3018.6,6.0,3018.6,E,,,10.9,E,15.0,E,6.7,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1860,168.6,,168.6,E,,,,,0.0,E,98.0,E,38.0,E,98.0,E,5.0,E,-12.0,"E,0312, ",,,35.0,"E,0827, ",-0.5,"E,1014",-1.0,"E,0321",-4.8,"E,0314",3287.6,6.0,3287.6,E,,,9.6,E,13.5,E,5.6,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450.5,5.0,3450.5,E,,,,,,,,,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1863,339.9,,339.9,E,,,,,0.0,E,56.0,E,5.0,E,122.0,E,11.0,E,-9.6,"E,1231, ",,,35.5,"E,0810, ",-0.9,"E,1128",-1.5,"E,0401",-2.3,"E,0226",,,,,,,11.6,E,16.0,E,7.3,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1864,163.0,,163.0,E,,,,,2.0,E,104.0,E,59.0,E,85.0,E,0.0,E,-19.3,"E,0116, ",,,32.1,"E,0807,+",-0.3,"E,1004",-1.6,"E,0504",-3.0,"E,0408",3380.2,2.0,3380.2,E,,,8.2,E,12.3,E,4.2,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1865,326.3,,326.3,E,,,,,0.0,E,110.0,E,38.0,E,123.0,E,6.0,E,-13.8,"E,0205, ",,,34.6,"E,0708, ",-3.1,"E,1113",-0.5,"E,0403",-4.5,"E,0329",3693.2,2.0,3693.2,E,,,10.0,E,14.0,E,5.9,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1866,232.5,,232.5,E,,,,,0.0,E,96.0,E,14.0,E,123.0,E,3.0,E,-10.6,"E,1221, ",,,33.4,"E,0613, ",-0.9,"E,1017",-1.3,"E,0331",-3.4,"E,0316",2985.6,6.0,2985.6,E,,,10.6,E,14.9,E,6.2,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1867,263.0,,263.0,E,,,,,0.0,E,91.0,E,30.0,E,110.0,E,3.0,E,-13.4,"E,1210, ",,,34.3,"E,0724, ",-0.3,"E,1103",-0.1,"E,0325",-2.6,"E,0322",3198.0,0.0,3198.0,E,,,9.9,E,13.9,E,5.8,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1868,347.6,,347.6,E,,,,,0.0,E,79.0,E,16.0,E,138.0,E,2.0,E,-13.3,"E,0101, ",,,32.9,"E,0723, ",-0.5,"E,1113",-0.6,"E,0411",-2.5,"E,0221",3203.1,1.0,3203.1,E,,,11.2,E,15.2,E,7.3,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1869,269.6,,269.6,E,,,,,0.0,E,71.0,E,25.0,E,114.0,E,6.0,E,-16.3,"E,0122, ",,,35.3,"E,0801, ",-2.3,"E,1023",-2.5,"E,0327",-2.5,"E,0327",2890.8,8.0,2890.8,E,,,10.6,E,14.6,E,6.7,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1870,258.1,,258.1,E,,,,,5.0,E,102.0,E,51.0,E,100.0,E,3.0,E,-20.0,"E,0208, ",,,35.0,"E,0712, ",-3.0,"E,1130",-0.4,"E,0405",-3.8,"E,0321",3466.8,8.0,3466.8,E,,,9.0,E,12.6,E,5.3,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1871,221.9,,221.9,E,,,,,0.0,E,97.0,E,55.0,E,88.0,E,1.0,E,-16.3,"E,1227,+",,,32.8,"E,0826, ",-0.3,"E,1104",-0.3,"E,0330",-2.6,"E,0328",3570.2,2.0,3570.2,E,,,8.6,E,12.5,E,4.6,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1872,168.4,,168.4,E,,,,,0.0,E,71.0,E,16.0,E,122.0,E,2.0,E,-9.4,"E,0101, ",,,34.4,"E,0728, ",0.0,"E,1113",0.0,"E,0327",-4.0,"E,0314",3338.5,5.0,3338.5,E,,,11.0,E,15.1,E,6.9,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1873,237.1,,237.1,E,,,,,0.0,E,79.0,E,19.0,E,95.0,E,5.0,E,-10.0,"E,1231, ",,,35.0,"E,0809, ",-2.6,"E,1111",-0.5,"E,0425",-2.3,"E,0226",3100.9,9.0,3100.9,E,,,10.1,E,14.3,E,6.0,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1874,179.8,,179.8,E,,,,,0.0,E,118.0,E,33.0,E,106.0,E,1.0,E,-10.0,"E,0211, ",,,33.0,"E,0715, ",-1.5,"E,1026",-0.4,"E,0429",-2.5,"E,0316",3304.2,2.0,3304.2,E,,,9.1,E,13.2,E,5.1,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1875,181.7,,181.7,E,,,,,0.0,E,126.0,E,57.0,E,105.0,E,2.0,E,-17.1,"E,1210, ",,,33.4,"E,0624, ",-0.6,"E,0926",0.0,"E,0417",-3.5,"E,0415",3692.5,5.0,3692.5,E,,,8.3,E,12.4,E,4.3,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1876,147.4,,147.4,E,,,,,0.0,E,98.0,E,51.0,E,86.0,E,0.0,E,-14.4,"E,0105, ",,,30.8,"E,0727, ",-0.3,"E,1104",-1.1,"E,0521",-3.0,"E,0323",3725.3,3.0,3725.3,E,,,8.8,E,12.7,E,4.9,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1877,205.8,,205.8,E,,,,,0.0,E,104.0,E,20.0,E,88.0,E,3.0,E,-13.8,"E,1223, ",,,34.9,"E,0821, ",-2.0,"E,1020",-0.2,"E,0503",-2.5,"E,0416",3454.9,9.0,3454.9,E,,,9.3,E,13.4,E,5.3,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1878,82.2,,82.2,E,,,,,0.0,E,94.0,E,35.0,E,91.0,E,0.0,E,-14.0,"E,1217, ",,,31.6,"E,0723, ",-1.2,"E,1101",-0.4,"E,0404",-3.4,"E,0328",3386.9,9.0,3386.9,E,,,9.5,E,13.4,E,5.5,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1879,122.5,,122.5,E,,,,,3.0,E,108.0,E,55.0,E,97.0,E,0.0,E,-20.2,"E,1209, ",,,32.1,"E,0829, ",-0.3,"E,1017",0.0,"E,0328",-5.3,"E,0326",3453.6,6.0,3453.6,E,,,8.3,E,12.2,E,4.4,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1880,146.7,,146.7,E,,,,,0.0,E,87.0,E,29.0,E,103.0,E,2.0,E,-12.3,"E,0118, ",,,32.4,"E,0710, ",-0.5,"E,1024",-0.3,"E,0329",-2.3,"E,0325",3782.7,7.0,3782.7,E,,,9.8,E,13.9,E,5.7,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1881,198.6,,198.6,E,,,,,0.0,E,112.0,E,36.0,E,85.0,E,3.0,E,-16.4,"E,0123, ",,,33.5,"E,0716, ",-0.9,"E,1028",-2.3,"E,0405",-2.3,"E,0405",3451.9,9.0,3451.9,E,,,8.5,E,12.2,E,4.7,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1882,113.3,,113.3,E,,,,,0.0,E,77.0,E,13.0,E,76.0,E,3.0,E,-11.5,"E,1203, ",,,35.3,"E,0709, ",-0.9,"E,1114",-0.3,"E,0413",-2.3,"E,0407",3289.6,6.0,3289.6,E,,,10.1,E,14.2,E,6.1,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1883,151.7,,151.7,E,,,,,0.0,E,101.0,E,29.0,E,84.0,E,2.0,E,-11.4,"E,0109, ",,,34.1,"E,0714, ",0.0,"E,1008",-0.2,"E,0406",-2.3,"E,0331",3473.1,1.0,3473.1,E,,,9.1,E,12.8,E,5.4,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1884,126.5,,126.5,E,,,,,0.0,E,81.0,E,15.0,E,84.0,E,2.0,E,-9.7,"E,0103, ",,,33.3,"E,0717, ",0.0,"E,1116",-3.0,"E,0409",-3.0,"E,0409",3284.7,7.0,3284.7,E,,,9.6,E,13.5,E,5.6,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1885,167.3,,167.3,E,,,,,0.0,E,92.0,E,35.0,E,103.0,E,0.0,E,-14.4,"E,0120, ",,,32.0,"E,0630, ",-2.3,"E,1022",-0.1,"E,0404",-4.4,"E,0312",3381.8,8.0,3381.8,E,,,9.5,E,13.6,E,5.4,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1886,199.6,,199.6,E,,,,,0.0,E,106.0,E,34.0,E,101.0,E,1.0,E,-16.3,"E,0302, ",,,32.6,"E,0727, ",-1.2,"E,1101",-0.5,"E,0325",-3.0,"E,0321",3593.6,6.0,3593.6,E,,,9.4,E,13.3,E,5.5,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1887,204.5,,204.5,E,,,,,0.0,E,114.0,E,47.0,E,89.0,E,1.0,E,-16.0,"E,0120, ",,,33.8,"E,0801, ",-2.3,"E,1023",-0.3,"E,0418",-4.1,"E,0401",3466.1,1.0,3466.1,E,,,8.6,E,12.4,E,4.9,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1888,109.7,,109.7,E,,,,,0.0,E,114.0,E,51.0,E,79.0,E,0.0,E,-15.5,"E,0102, ",,,30.9,"E,0813, ",-0.7,"E,1025",-0.9,"E,0409",-3.2,"E,0408",3703.2,2.0,3703.2,E,,,8.3,E,12.1,E,4.5,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1889,153.2,,153.2,E,,,,,0.0,E,115.0,E,65.0,E,109.0,E,2.0,E,-16.0,"E,0105, ",,,33.3,"E,0712, ",-0.2,"E,1112",-0.2,"E,0406",-8.0,"E,0317",3589.6,6.0,3589.6,E,,,8.7,E,12.3,E,5.2,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1890,142.9,,142.9,E,,,,,2.0,E,100.0,E,46.0,E,90.0,E,3.0,E,-18.7,"E,1229, ",,,33.3,"E,0820, ",-0.5,"E,1022",0.0,"E,0406",-3.2,"E,0306",3556.3,3.0,3556.3,E,,,8.9,E,12.9,E,4.9,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1891,101.5,,101.5,E,,,,,0.0,E,112.0,E,48.0,E,90.0,E,0.0,E,-17.6,"E,0101, ",,,32.0,"E,0701, ",-1.4,"E,1030",-1.6,"E,0405",-3.2,"E,0402",3866.9,9.0,3866.9,E,,,8.7,E,12.5,E,4.9,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1892,166.2,,166.2,E,,,,,1.0,E,109.0,E,45.0,E,98.0,E,4.0,E,-20.0,"E,0122, ",,,36.2,"E,0819, ",-1.3,"E,1024",-2.2,"E,0410",-2.2,"E,0410",3435.1,1.0,3435.1,E,,,9.0,E,12.9,E,5.1,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1893,156.1,,156.1,E,,,,,2.0,E,95.0,E,35.0,E,103.0,E,1.0,E,-22.2,"E,0117,+",,,34.2,"E,0824, ",-0.6,"E,1030",-1.4,"E,0419",-2.5,"E,0328",3545.2,2.0,3545.2,E,,,9.6,E,13.8,E,5.3,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1894,159.0,,159.0,E,,,,,1.0,E,88.0,E,22.0,E,89.0,E,3.0,E,-18.2,"E,0104, ",,,34.6,"E,0725, ",-0.5,"E,1101",-0.6,"E,0401",-8.7,"E,0224",3091.5,5.0,3091.5,E,,,10.1,E,14.3,E,5.9,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1895,180.3,,180.3,E,,,,,0.0,E,110.0,E,52.0,E,96.0,E,0.0,E,-17.2,"E,0206, ",,,32.0,"E,0729,+",-0.2,"E,1026",-0.3,"E,0406",-10.2,"E,0310",3555.2,2.0,3555.2,E,,,9.2,E,13.2,E,5.1,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1896,115.1,,115.1,E,,,,,0.0,E,98.0,E,29.0,E,89.0,E,1.0,E,-16.1,"E,0111, ",,,33.0,"E,0729, ",-2.1,"E,1111",-1.0,"E,0407",-3.0,"E,0311",3383.8,8.0,3383.8,E,,,9.3,E,13.2,E,5.5,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1897,179.5,,179.5,E,,,,,0.0,E,92.0,E,21.0,E,100.0,E,1.0,E,-9.8,"E,0121, ",,,32.6,"E,0701, ",-0.5,"E,1028",-0.4,"E,0313",-2.8,"E,0220",3133.1,1.0,3133.1,E,,,9.9,E,13.6,E,6.2,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1898,119.3,,119.3,E,,,,,0.0,E,72.0,E,12.0,E,95.0,E,0.0,E,-10.9,"E,0127, ",,,31.0,"E,0719, ",-0.2,"E,1119",0.0,"E,0407",-3.9,"E,0312",3127.9,9.0,3127.9,E,,,10.8,E,14.6,E,6.8,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1899,140.8,,140.8,E,,,,,0.0,E,94.0,E,22.0,E,85.0,E,0.0,E,-16.2,"E,1212, ",,,31.7,"E,0723, ",-0.5,"E,1010",-0.3,"E,0329",-2.6,"E,0328",2979.5,5.0,2979.5,E,,,9.7,E,13.8,E,5.6,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1900,166.8,,166.8,E,,,,,0.0,E,83.0,E,10.0,E,98.0,E,1.0,E,-11.3,"E,0114, ",,,32.2,"E,0726, ",-3.2,"E,1203",0.0,"E,0427",-8.1,"E,0404",3392.3,3.0,3392.3,E,,,10.2,E,14.0,E,6.4,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1901,209.6,,209.6,E,124.0,E,52.0,E,0.0,E,99.0,E,31.0,E,105.0,E,0.0,E,-17.0,"E,0223, ",29.5," ,E,0413, ",32.0,"E,0801, ",0.0,"E,1102",-2.0,"E,0331",-4.4,"E,0330",3238.3,3.0,3238.3,E,505.3," ,E",9.7,E,13.7,E,5.7,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1902,113.6,,113.6,E,140.0,E,73.0,E,0.0,E,90.0,E,23.0,E,75.0,E,0.0,E,-15.7,"E,1216, ",29.8," ,E,0721, ",30.8,"E,0701, ",-0.6,"E,1025",-0.4,"E,0428",-5.0,"E,0316",3134.0,0.0,3134.0,E,692.8," ,E",8.9,E,12.7,E,5.1,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1903,103.7,,103.7,E,147.0,E,74.0,E,1.0,E,64.0,E,18.0,E,97.0,E,0.0,E,-18.2,"E,0124, ",49.0," ,E,0709, ",31.0,"E,0718, ",-1.2,"E,1021",-0.7,"E,0421",-2.4,"E,0218",3441.4,4.0,3441.4,E,857.9," ,E",10.1,E,13.9,E,6.3,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1904,184.5,,184.5,E,129.0,E,66.0,E,0.0,E,76.0,E,29.0,E,79.0,E,2.0,E,-9.9,"E,0112, ",45.3," ,E,1010, ",33.1,"E,0815, ",-3.0,"E,1114",-1.1,"E,0329",-2.4,"E,0321",3239.7,7.0,3239.7,E,652.9," ,E",9.7,E,13.0,E,6.5,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1905,197.5,,197.5,E,138.0,E,69.0,E,0.0,E,71.0,E,18.0,E,92.0,E,1.0,E,-17.0,"E,0102, ",49.3," ,E,1114, ",32.7,"E,0805, ",-0.3,"E,1020",-1.5,"E,0410",-2.2,"E,0218",3363.7,7.0,3363.7,E,642.4," ,E",9.6,E,12.9,E,6.2,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1906,134.0,,134.0,E,135.0,E,73.0,E,0.0,E,85.0,E,25.0,E,76.0,E,0.0,E,-12.9,"E,1222, ",43.4," ,E,0714, ",28.8,"E,0629, ",-3.9,"E,1115",0.0,"E,0406",-2.6,"E,0404",3285.6,6.0,3285.6,E,720.5," ,E",9.6,E,12.9,E,6.4,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1907,114.7,,114.7,E,134.0,E,64.0,E,2.0,E,90.0,E,31.0,E,90.0,E,0.0,E,-21.6,"E,0123, ",64.9," ,E,0714, ",29.6,"E,0701, ",-1.3,"E,1104",-0.7,"E,0422",-6.0,"E,0313",3464.7,7.0,3464.7,E,701.2," ,E",9.4,E,12.8,E,6.0,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1908,139.5,,139.5,E,130.0,E,57.0,E,0.0,E,106.0,E,35.0,E,87.0,E,1.0,E,-16.6,"E,0103, ",37.2," ,E,0719, ",32.3,"E,0713, ",-1.8,"E,1020",-1.0,"E,0329",-2.4,"E,0305",3229.5,5.0,3229.5,E,484.5," ,E",8.9,E,12.4,E,5.4,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1909,87.9,,87.9,E,142.0,E,74.0,E,0.0,E,95.0,E,38.0,E,75.0,E,0.0,E,-13.3,"E,0224, ",34.9," ,E,0504, ",28.9,"E,0802, ",-0.2,"E,1110",-1.6,"E,0406",-2.4,"E,0318",3755.8,8.0,3755.8,E,655.1," ,E",9.1,E,12.4,E,5.8,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1910,77.1,,77.1,E,139.0,E,79.0,E,0.0,E,57.0,E,7.0,E,70.0,E,0.0,E,-8.3,"E,0127, ",53.4," ,E,0502, ",30.4,"E,0722, ",-1.1,"E,1121",-2.0,"E,0412",-2.8,"E,0402",3124.5,5.0,3124.5,E,889.3," ,E",9.8,E,13.2,E,6.4,E,AU000005901,Austria,WIEN
AU000005901,"WIEN, AU",48.2331,16.35,199.0,1911,194.7,,194.7,E,130.0,E,73.0,E,0.0,E,70.0,E,17.0,E,96.0,E,0.0,E,-11.5,"E,0215,+",76.2," ,E,0519, ",31.1,"E,0728, ",0.0,"E,1108",-0.5,"E,0409",-3.0,"E,0406",3306.2,2.0,3306.2,E,699.7," ,E",10.1,E,13.8,E,6.5,E,AU000005901,Austria,WIEN
