STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1936,,,,,100.0,I,70.0,I,,,,,,,,,,,,,64.4," ,I,0916, ",,,,,,,,,,,,,998.0," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1937,,,,,102.0,I,64.0,I,,,,,,,,,,,,,50.0," ,I,1202, ",,,,,,,,,,,,,766.7," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1938,,,,,97.0,I,57.0,I,,,,,,,,,,,,,82.1," ,I,1018, ",,,,,,,,,,,,,906.3," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1939,,,,,118.0,I,74.0,I,,,,,,,,,,,,,88.9," ,I,0927, ",,,,,,,,,,,,,1400.8," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1940,,,,,111.0,I,67.0,I,,,,,,,,,,,,,92.9," ,I,1004, ",,,,,,,,,,,,,1308.1," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1941,,,,,113.0,I,75.0,I,,,,,,,,,,,,,58.0," ,I,0921, ",,,,,,,,,,,,,974.2," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1942,,,,,127.0,I,82.0,I,,,,,,,,,,,,,92.2," ,I,0916, ",,,,,,,,,,,,,1214.7," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1943,,,,,133.0,I,82.0,I,,,,,,,,,,,,,90.6," ,I,0915, ",,,,,,,,,,,,,1400.5," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1944,,,,,101.0,I,67.0,I,,,,,,,,,,,,,80.7," ,I,1028, ",,,,,,,,,,,,,996.3," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1945,,,,,117.0,I,77.0,I,,,,,,,,,,,,,82.4," ,I,1118, ",,,,,,,,,,,,,1083.9," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1946,,,,,120.0,I,73.0,I,,,,,,,,,,,,,99.8," ,I,1123, ",,,,,,,,,,,,,1087.3," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1947,,,,,94.0,I,59.0,I,,,,,,,,,,,,,55.5," ,I,1031, ",,,,,,,,,,,,,898.2," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1948,,,,,113.0,I,80.0,I,,,,,,,,,,,,,87.1," ,I,0906, ",,,,,,,,,,,,,1208.6," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1949,,,,,115.0,I,79.0,I,,,,,,,,,,,,,88.7," ,I,0903, ",,,,,,,,,,,,,1418.6," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1950,,,,,95.0,I,64.0,I,,,,,,,,,,,,,81.8," ,I,1031, ",,,,,,,,,,,,,898.9," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1951,,,,,110.0,I,82.0,I,,,,,,,,,,,,,85.9," ,I,1020, ",,,,,,,,,,,,,1394.8," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1952,,,,,104.0,I,71.0,I,,,,,,,,,,,,,67.6," ,I,1207, ",,,,,,,,,,,,,1044.6," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1953,,,,,122.0,I,83.0,I,,,,,,,,,,,,,63.3," ,I,0917, ",,,,,,,,,,,,,1430.2," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1954,,,,,109.0,I,72.0,I,,,,,,,,,,,,,77.3," ,I,1126, ",,,,,,,,,,,,,994.2," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1955,,,,,92.0,I,60.0,I,,,,,,,,,,,,,58.4," ,I,1110, ",,,,,,,,,,,,,883.3," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1956,,,,,128.0,I,82.0,I,,,,,,,,,,,,,70.8," ,I,0923, ",,,,,,,,,,,,,1054.0," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1957,,,,,107.0,I,69.0,I,,,,,,,,,,,,,61.1," ,I,0327, ",,,,,,,,,,,,,1235.9," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1958,,,,,130.0,I,77.0,I,,,,,,,,,,,,,92.8," ,I,0918, ",,,,,,,,,,,,,1334.7," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1959,,,,,140.0,I,86.0,I,,,,,,,,,,,,,99.2," ,I,1006, ",,,,,,,,,,,,,1590.1," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1960,,,,,115.0,I,70.0,I,,,,,,,,,,,,,61.6," ,I,0917, ",,,,,,,,,,,,,976.0," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1961,,,,,101.0,I,68.0,I,,,,,,,,,,,,,81.4," ,I,1007, ",,,,,,,,,,,,,1240.6," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1962,,,,,109.0,I,64.0,I,,,,,,,,,,,,,94.2," ,I,1010, ",,,,,,,,,,,,,1051.5," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1963,,,,,145.0,I,94.0,I,,,,,,,,,,,,,78.7," ,I,1102, ",,,,,,,,,,,,,1552.5," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1964,,,,,125.0,I,77.0,I,,,,,,,,,,,,,83.5," ,I,0916, ",,,,,,,,,,,,,1158.4," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1965,,,,,120.0,I,71.0,I,,,,,,,,,,,,,73.1," ,I,0904, ",,,,,,,,,,,,,1099.1," ,I",,,,,,,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1970,656.7,,656.7,G,,,,,0.0,G,7.0,G,0.0,G,166.0,G,3.0,G,-0.9,"G,1221, ",,,32.6,"G,0711, ",-0.3,"G,1218",-0.8,"G,0310",,,,,,,,,15.6,G,19.1,G,12.0,G,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1971,769.2,,769.2,G,,,,,0.0,G,24.0,G,0.0,G,171.0,G,10.0,G,-8.1,"G,0117, ",,,35.1,"G,0726, ",-1.0,"G,1217",0.0,"G,0216",-2.4,"G,0125",1850.9,9.0,1850.9,G,,,15.6,G,19.4,G,11.7,G,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1972,798.2,,798.2,G,,,,,0.0,G,62.0,G,12.0,G,169.0,G,9.0,G,-12.9,"G,0125, ",,,34.7,"G,0819, ",0.0,"G,1221",-0.2,"G,0324",-3.7,"G,0315",2175.5,5.0,2175.5,G,,,14.2,G,17.8,G,10.6,G,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1973,606.8,,606.8,G,,,,,0.0,G,34.0,G,6.0,G,150.0,G,1.0,G,-8.1,"G,0125, ",,,33.3,"G,0805, ",-1.5,"G,1213",0.0,"G,0224",-3.8,"G,0128",1964.6,6.0,1964.6,G,,,14.4,G,18.0,G,10.9,G,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1974,638.3,,638.3,G,,,,,0.0,G,15.0,G,0.0,G,180.0,G,6.0,G,-4.6,"G,0203, ",,,35.2,"G,0703, ",,,-0.2,"G,0307",-4.4,"G,0204",2090.4,4.0,2090.4,G,,,14.8,G,18.5,G,11.2,G,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1975,831.2,,831.2,G,,,,,0.0,G,10.0,G,0.0,G,161.0,G,20.0,G,-0.9,"G,1216, ",,,35.4,"G,0725, ",-0.6,"G,1204",0.0,"G,0315",,,1623.8,8.0,1623.8,G,,,15.4,G,19.2,G,11.6,G,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1976,655.8,,655.8,G,,,,,0.0,G,30.0,G,0.0,G,151.0,G,4.0,G,-10.0,"G,0304, ",,,34.9,"G,0610, ",-0.5,"G,1225",-1.0,"G,0312",-10.0,"G,0304",2084.7,7.0,2084.7,G,,,14.4,G,17.9,G,11.0,G,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1977,692.9,,692.9,G,111.0,I,77.0,I,0.0,G,33.0,G,2.0,G,148.0,G,6.0,G,-4.0,"G,0126, ",95.2," ,I,1026, ",34.3,"G,0707, ",-0.1,"G,1212",0.0,"G,0222",-2.6,"G,0127",2039.9,9.0,2039.9,G,1177.5," ,I",14.5,G,17.8,G,11.2,G,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1978,586.0,,586.0,G,,,,,0.0,G,4.0,G,0.0,G,139.0,G,3.0,G,-0.5,"G,0123, ",,,37.9,"G,0814, ",,,-0.1,"G,0223",,,2018.1,1.0,2018.1,G,,,14.7,G,18.1,G,11.3,G,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1979,733.9,,733.9,G,119.0,I,74.0,I,0.0,G,15.0,G,0.0,G,166.0,G,7.0,G,-1.8,"G,0112, ",69.1," ,I,1103, ",38.4,"G,0714, ",0.0,"G,1223",-0.6,"G,0302",,,1784.8,8.0,1784.8,G,1010.7," ,I",15.6,G,19.4,G,11.9,G,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1980,665.5,,665.5,G,128.0,I,89.0,I,0.0,G,23.0,G,0.0,G,147.0,G,10.0,G,-5.5,"G,0126, ",79.1," ,I,0821, ",34.2,"G,0730, ",,,0.0,"G,0316",-2.2,"G,0202",1927.9,9.0,1927.9,G,1606.5," ,I",14.9,G,18.4,G,11.4,G,AJ000037989,Azerbaijan,ASTARA
AJ000037989,"ASTARA, AJ",38.5,48.9,-22.0,1981,727.3,,727.3,G,123.0,I,69.0,I,0.0,G,1.0,G,0.0,G,165.0,G,6.0,G,0.0,"G,0402, ",91.1," ,I,1016, ",33.1,"G,0722, ",,,0.0,"G,0402",,,1625.9,9.0,1625.9,G,1053.9," ,I",16.0,G,19.7,G,12.4,G,AJ000037989,Azerbaijan,ASTARA
