STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1961,2433.1,,2433.1,G,,,,,0.0,G,0.0,G,0.0,G,361.0,G,44.0,G,8.6,"G,0123, ",,,33.9,"G,0805, ",,,,,,,,,,,,,24.9,G,28.8,G,21.1,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1962,2296.6,,2296.6,G,,,,,0.0,G,0.0,G,0.0,G,357.0,G,35.0,G,9.4,"G,1216, ",,,33.6,"G,0713, ",,,,,,,9.2,2.0,9.2,G,,,24.6,G,28.0,G,21.2,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1965,2326.6,,2326.6,G,,,,,0.0,G,0.0,G,0.0,G,360.0,G,10.0,G,10.1,"G,0310, ",,,33.4,"G,0809, ",,,,,,,7.3,3.0,7.3,G,,,24.7,G,28.3,G,21.1,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1966,2267.9,,2267.9,G,,,,,0.0,G,0.0,G,0.0,G,358.0,G,33.0,G,10.7,"G,0119, ",,,32.8,"G,0929,+",,,,,,,14.6,6.0,14.6,G,,,24.5,G,27.7,G,21.3,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1967,2330.4,,2330.4,G,,,,,0.0,G,0.0,G,0.0,G,363.0,G,29.0,G,13.1,"G,0206, ",,,33.9,"G,0816, ",,,,,,,4.1,1.0,4.1,G,,,24.7,G,28.3,G,21.1,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,1.0,18.1, ,,,,,,,,,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1969,2287.1,,2287.1,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,35.0,G,8.2,"G,1228, ",,,34.0,"G,0714, ",,,,,,,,,,,,,24.6,G,28.4,G,20.7,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1971,2237.1,,2237.1,G,,,,,0.0,G,0.0,G,0.0,G,360.0,G,22.0,G,7.7,"G,0216, ",,,33.1,"G,0716, ",,,,,,,20.4,4.0,20.4,G,,,24.4,G,28.5,G,20.3,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1972,2374.6,,2374.6,G,,,,,0.0,G,0.0,G,0.0,G,363.0,G,16.0,G,11.2,"G,0318,+",,,33.6,"G,0623, ",,,,,,,4.1,1.0,4.1,G,,,24.8,G,28.9,G,20.7,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1973,2216.8,,2216.8,G,,,,,0.0,G,0.0,G,0.0,G,362.0,G,17.0,G,8.4,"G,0223, ",,,34.1,"G,0712, ",,,,,,,9.4,4.0,9.4,G,,,24.3,G,28.4,G,20.3,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1974,2198.5,,2198.5,G,,,,,0.0,G,0.0,G,0.0,G,363.0,G,8.0,G,9.3,"G,0214, ",,,32.8,"G,0711, ",,,,,,,7.4,4.0,7.4,G,,,24.3,G,28.5,G,20.1,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1975,2301.1,,2301.1,G,,,,,0.0,G,0.0,G,0.0,G,363.0,G,10.0,G,11.2,"G,0321, ",,,32.6,"G,0726, ",,,,,,,3.5,5.0,3.5,G,,,24.6,G,28.9,G,20.4,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1976,2113.2,,2113.2,G,,,,,0.0,G,0.0,G,0.0,G,362.0,G,17.0,G,7.9,"G,0131, ",,,33.4,"G,0729, ",,,,,,,19.6,6.0,19.6,G,,,24.1,G,28.4,G,19.8,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1977,2204.3,,2204.3,G,,,,,0.0,G,0.0,G,0.0,G,357.0,G,27.0,G,8.6,"G,0127,+",,,33.8,"G,0803, ",,,,,,,34.7,7.0,34.7,G,,,24.3,G,28.4,G,20.1,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1978,,,,,128.0,I,51.0,I,0.0,G,0.0,G,0.0,G,349.0,G,30.0,G,9.0,"G,0131, ",26.9," ,I,0618, ",33.0,"G,0731,+",,,,,,,35.0,0.0,35.0, ,528.1," ,I",24.3,G,28.6,G,20.0,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1979,,,,,118.0,I,56.0,I,0.0,G,0.0,G,,,,,,,7.8,"G,0203, ",61.0," ,I,1015, ",,,,,,,,,,,,,733.1," ,I",,,,,19.9,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1980,2143.8,,2143.8,G,,,,,0.0,G,0.0,G,0.0,G,359.0,G,48.0,G,8.0,"G,0229, ",,,33.9,"G,0713, ",,,,,,,23.9,9.0,23.9,G,,,24.1,G,28.7,G,19.5,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1981,1899.6,,1899.6,G,92.0,I,46.0,I,0.0,G,0.0,G,0.0,G,352.0,G,64.0,G,5.2,"G,0120, ",29.0," ,I,1031, ",34.0,"G,0620, ",,,,,,,48.1,1.0,48.1,G,436.0," ,I",23.5,G,28.5,G,18.5,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1982,2208.8,,2208.8,G,,,,,0.0,G,0.0,G,0.0,G,364.0,G,45.0,G,7.6,"G,1222, ",,,33.3,"G,0701, ",,,,,,,9.4,4.0,9.4,G,,,24.4,G,29.1,G,19.6,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1983,2282.2,,2282.2,G,,,,,0.0,G,0.0,G,0.0,G,361.0,G,51.0,G,9.4,"G,0117, ",,,34.1,"G,0727, ",,,,,,,11.1,1.0,11.1,G,,,24.6,G,28.7,G,20.4,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1984,2165.8,,2165.8,G,,,,,0.0,G,0.0,G,0.0,G,364.0,G,17.0,G,8.5,"G,0322, ",,,33.2,"G,0820, ",,,,,,,13.4,4.0,13.4,G,,,24.2,G,28.4,G,20.0,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1985,,,,,,,,,0.0,I,0.0,I,,,,,,,8.1,"I,0217, ",,,,,,,,,,,26.8,8.0,26.8,G,,,,,,,20.6,I,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1986,2333.6,,2333.6,G,,,,,0.0,G,0.0,G,0.0,G,362.0,G,62.0,G,7.0,"G,0304, ",,,34.0,"G,0907, ",,,,,,,,,,,,,24.7,G,29.2,G,20.2,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1987,2386.1,,2386.1,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,77.0,G,9.0,"G,0105, ",,,34.0,"G,0713,+",,,,,,,5.9,9.0,5.9,G,,,24.8,G,28.9,G,20.7,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1988,2434.9,,2434.9,G,,,,,0.0,G,0.0,G,0.0,G,363.0,G,56.0,G,11.0,"G,0302, ",,,33.5,"G,0910,+",,,,,,,3.3,3.0,3.3,G,,,25.0,G,29.0,G,21.0,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
BF000078073,"NASSAU AIRPORT NEW, BF",25.05,-77.467,5.0,1989,2590.7,,2590.7,G,,,,,0.0,G,0.0,G,0.0,G,360.0,G,72.0,G,8.2,"G,0227, ",,,34.4,"G,0809, ",,,,,,,7.6,6.0,7.6,G,,,25.4,G,29.5,G,21.3,G,BF000078073,"Bahamas, The",NASSAU AIRPORT NEW
