STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
BOM00033038,"VASILEVICI, BO",52.25,29.8331,142.0,1881,,,,,103.0,r,39.0,r,,,,,,,,,,,,,24.0," ,r,0712, ",,,,,,,,,,,,,330.6," ,r",,,,,,,BOM00033038,Belarus,VASILEVICI
BOM00033038,"VASILEVICI, BO",52.25,29.8331,142.0,1882,,,,,111.0,r,47.0,r,,,,,,,,,,,,,22.1," ,r,0622, ",,,,,,,,,,,,,400.2," ,r",,,,,,,BOM00033038,Belarus,VASILEVICI
BOM00033038,"VASILEVICI, BO",52.25,29.8331,142.0,1883,,,,,120.0,r,55.0,r,,,,,,,,,,,,,16.4," ,r,0729, ",,,,,,,,,,,,,433.1," ,r",,,,,,,BOM00033038,Belarus,VASILEVICI
BOM00033038,"VASILEVICI, BO",52.25,29.8331,142.0,1884,,,,,139.0,r,69.0,r,,,,,,,,,,,,,27.4," ,r,0506, ",,,,,,,,,,,,,457.8," ,r",,,,,,,BOM00033038,Belarus,VASILEVICI
BOM00033038,"VASILEVICI, BO",52.25,29.8331,142.0,1885,,,,,116.0,r,55.0,r,,,,,,,,,,,,,62.3," ,r,0801, ",,,,,,,,,,,,,536.7," ,r",,,,,,,BOM00033038,Belarus,VASILEVICI
BOM00033038,"VASILEVICI, BO",52.25,29.8331,142.0,1886,,,,,95.0,r,49.0,r,,,,,,,,,,,,,48.0," ,r,0816, ",,,,,,,,,,,,,467.3," ,r",,,,,,,BOM00033038,Belarus,VASILEVICI
BOM00033038,"VASILEVICI, BO",52.25,29.8331,142.0,1887,,,,,117.0,r,58.0,r,,,,,,,,,,,,,48.9," ,r,0819, ",,,,,,,,,,,,,552.3," ,r",,,,,,,BOM00033038,Belarus,VASILEVICI
BOM00033038,"VASILEVICI, BO",52.25,29.8331,142.0,1888,,,,,73.0,r,45.0,r,,,,,,,,,,,,,17.9," ,r,0818, ",,,,,,,,,,,,,340.2," ,r",,,,,,,BOM00033038,Belarus,VASILEVICI
BOM00033038,"VASILEVICI, BO",52.25,29.8331,142.0,1889,,,,,117.0,r,73.0,r,,,,,,,,,,,,,42.0," ,r,1023, ",,,,,,,,,,,,,517.7," ,r",,,,,,,BOM00033038,Belarus,VASILEVICI
BOM00033038,"VASILEVICI, BO",52.25,29.8331,142.0,1890,,,,,103.0,r,60.0,r,,,,,,,,,,,,,33.3," ,r,0703, ",,,,,,,,,,,,,525.5," ,r",,,,,,,BOM00033038,Belarus,VASILEVICI
