STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
BN000065335,"SAVE, BN",8.032,2.467,200.0,2009,,,,,,,,,,,,,0.0,S,341.0,S,233.0,S,,,,,40.2,"S,0309, ",,,,,,,,,,,,,,,33.7,S,,,BN000065335,Benin,SAVE
BN000065335,"SAVE, BN",8.032,2.467,200.0,2010,,,,,,,,,,,,,0.0,S,348.0,S,251.0,S,,,,,41.0,"S,0406, ",,,,,,,0.0,0.0,0.0, ,,,,,34.4,S,,,BN000065335,Benin,SAVE
BN000065335,"SAVE, BN",8.032,2.467,200.0,2011,3340.5,,3340.5,S,,,,,0.0,S,0.0,S,0.0,S,354.0,S,249.0,S,15.6,"S,1204, ",,,39.5,"S,0504, ",,,,,,,,,,,,,28.3,S,34.0,S,22.6,S,BN000065335,Benin,SAVE
BN000065335,"SAVE, BN",8.032,2.467,200.0,2012,,,,,,,,,0.0,S,0.0,S,,,,,,,18.1,"S,0115, ",,,,,,,,,,,0.0,0.0,0.0, ,,,,,,,22.8,S,BN000065335,Benin,SAVE
BN000065335,"SAVE, BN",8.032,2.467,200.0,2013,,,,,,,,,,,,,0.0,S,350.0,S,245.0,S,,,,,40.0,"S,0211, ",,,,,,,,,,,,,,,34.0,S,,,BN000065335,Benin,SAVE
BN000065335,"SAVE, BN",8.032,2.467,200.0,2016,,,,,,,,,,,,,0.0,S,359.0,S,265.0,S,,,,,41.0,"S,0220, ",,,,,,,,,,,,,,,34.6,S,,,BN000065335,Benin,SAVE
BN000065335,"SAVE, BN",8.032,2.467,200.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,S,,,,,,,,,BN000065335,Benin,SAVE
BN000065335,"SAVE, BN",8.032,2.467,200.0,2019,,,,,,,,,0.0,S,0.0,S,0.0,S,356.0,S,211.0,S,16.5,"S,1223, ",,,39.6,"S,0328, ",,,,,,,,,,,,,28.3,S,33.4,S,23.1,S,BN000065335,Benin,SAVE
BN000065335,"SAVE, BN",8.032,2.467,200.0,2020,,,,,,,,,,,,,0.0,S,352.0,S,235.0,S,,,,,41.3,"S,0229, ",,,,,,,,,,,,,,,33.9,S,,,BN000065335,Benin,SAVE
BN000065335,"SAVE, BN",8.032,2.467,200.0,2023,,,,,,,,,,,,,0.0,S,341.0,S,246.0,S,,,,,40.2,"S,0201, ",,,,,,,,,,,,,,,33.9,S,,,BN000065335,Benin,SAVE
