STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
BDM00078016,"L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD",32.3667,-64.6833,6.1,1949,1446.7,,1446.7,X,142.0,X,90.0,X,0.0,X,0.0,X,0.0,X,298.0,X,0.0,X,10.6,"X,0212, ",62.2," ,X,0601, ",31.7,"X,0823,+",,,,,,,,,,,1077.2," ,X",22.0,X,24.5,X,19.6,X,BDM00078016,Bermuda [United Kingdom],L F WADE INTL AP KINDLEY FLD
BDM00078016,"L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD",32.3667,-64.6833,6.1,1950,1485.2,,1485.2,X,144.0,X,86.0,X,0.0,X,0.0,X,0.0,X,304.0,X,0.0,X,6.7,"X,0228,+",84.3," ,X,0306, ",31.7,"X,0906,+",,,,,,,131.4,4.0,131.4,X,1225.0," ,X",22.0,X,24.8,X,19.3,X,BDM00078016,Bermuda [United Kingdom],L F WADE INTL AP KINDLEY FLD
BDM00078016,"L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD",32.3667,-64.6833,6.1,1951,1476.9,,1476.9,X,165.0,X,100.0,X,0.0,X,0.0,X,0.0,X,285.0,X,0.0,X,7.2,"X,0311, ",84.8," ,X,1017, ",31.7,"X,0906,+",,,,,,,148.2,2.0,148.2,X,1331.7," ,X",21.9,X,24.6,X,19.3,X,BDM00078016,Bermuda [United Kingdom],L F WADE INTL AP KINDLEY FLD
BDM00078016,"L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD",32.3667,-64.6833,6.1,1952,1500.8,,1500.8,X,164.0,X,79.0,X,0.0,X,0.0,X,0.0,X,282.0,X,3.0,X,9.4,"X,0317, ",37.1," ,X,0624,+",32.8,"X,0803, ",,,,,,,129.9,9.0,129.9,X,953.6," ,X",22.1,X,24.5,X,19.6,X,BDM00078016,Bermuda [United Kingdom],L F WADE INTL AP KINDLEY FLD
BDM00078016,"L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD",32.3667,-64.6833,6.1,1953,1507.0,,1507.0,X,155.0,X,84.0,X,0.0,X,0.0,X,0.0,X,284.0,X,0.0,X,10.0,"X,0309, ",76.5," ,X,1022, ",31.7,"X,0820,+",,,,,,,102.1,1.0,102.1,X,1257.6," ,X",22.2,X,24.3,X,20.1,X,BDM00078016,Bermuda [United Kingdom],L F WADE INTL AP KINDLEY FLD
BDM00078016,"L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD",32.3667,-64.6833,6.1,1954,1584.0,,1584.0,X,152.0,X,93.0,X,0.0,X,0.0,X,0.0,X,296.0,X,0.0,X,9.4,"X,0214,+",70.4," ,X,0620, ",31.7,"X,0912,+",,,,,,,100.5,5.0,100.5,X,1116.5," ,X",22.4,X,24.5,X,20.2,X,BDM00078016,Bermuda [United Kingdom],L F WADE INTL AP KINDLEY FLD
BDM00078016,"L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD",32.3667,-64.6833,6.1,1955,1387.1,,1387.1,X,172.0,X,92.0,X,0.0,X,0.0,X,0.0,X,267.0,X,0.0,X,7.8,"X,0114, ",55.6," ,X,1014, ",31.1,"X,0826,+",,,,,,,157.3,3.0,157.3,X,1187.5," ,X",21.6,X,23.7,X,19.5,X,BDM00078016,Bermuda [United Kingdom],L F WADE INTL AP KINDLEY FLD
BDM00078016,"L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD",32.3667,-64.6833,6.1,1956,1456.6,,1456.6,X,151.0,X,88.0,X,0.0,X,0.0,X,0.0,X,280.0,X,0.0,X,10.6,"X,0103, ",75.7," ,X,1012, ",31.1,"X,0822, ",,,,,,,189.2,2.0,189.2,X,1204.2," ,X",21.9,X,23.9,X,19.9,X,BDM00078016,Bermuda [United Kingdom],L F WADE INTL AP KINDLEY FLD
BDM00078016,"L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD",32.3667,-64.6833,6.1,1957,1260.8,,1260.8,X,169.0,X,100.0,X,0.0,X,0.0,X,0.0,X,276.0,X,0.0,X,10.0,"X,0311, ",123.2," ,X,1101, ",29.4,"X,0909,+",,,,,,,94.9,9.0,94.9,X,1688.4," ,X",21.5,X,23.3,X,19.6,X,BDM00078016,Bermuda [United Kingdom],L F WADE INTL AP KINDLEY FLD
BDM00078016,"L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD",32.3667,-64.6833,6.1,1958,1372.9,,1372.9,X,183.0,X,108.0,X,0.0,X,0.0,X,0.0,X,239.0,X,0.0,X,10.0,"X,0322,+",79.0," ,X,0417, ",31.7,"X,0727, ",,,,,,,259.7,7.0,259.7,X,1552.1," ,X",21.3,X,23.1,X,19.5,X,BDM00078016,Bermuda [United Kingdom],L F WADE INTL AP KINDLEY FLD
