STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
BL000085043,"RIBERALTA, BL",-11.0,-66.117,141.0,2002,,,,,,,,,0.0,I,0.0,I,,,,,,,13.2,"I,0803,+",,,,,,,,,,,,,,,,,,,,,21.3,I,BL000085043,Bolivia,RIBERALTA
BL000085043,"RIBERALTA, BL",-11.0,-66.117,141.0,2006,,,,,,,,,0.0,S,0.0,S,,,,,,,12.3,"S,0514, ",,,,,,,,,,,,,,,,,,,,,20.9,S,BL000085043,Bolivia,RIBERALTA
BL000085043,"RIBERALTA, BL",-11.0,-66.117,141.0,2007,,,,,,,,,0.0,S,0.0,S,,,,,,,12.0,"S,0712,+",,,,,,,,,,,,,,,,,,,,,20.7,S,BL000085043,Bolivia,RIBERALTA
BL000085043,"RIBERALTA, BL",-11.0,-66.117,141.0,2009,,,,,,,,,0.0,S,0.0,S,0.0,S,345.0,S,217.0,S,9.4,"S,0725, ",,,38.8,"S,1020,+",,,,,,,,,,,,,27.1,S,32.7,S,21.4,S,BL000085043,Bolivia,RIBERALTA
BL000085043,"RIBERALTA, BL",-11.0,-66.117,141.0,2010,,,,,,,,,0.0,S,0.0,S,,,,,,,9.3,"S,0717, ",,,,,,,,,,,,,,,,,,,,,21.0,S,BL000085043,Bolivia,RIBERALTA
BL000085043,"RIBERALTA, BL",-11.0,-66.117,141.0,2012,,,,,,,,,0.0,S,0.0,S,0.0,S,346.0,S,211.0,S,11.0,"S,0828, ",,,38.2,"S,0921,+",,,,,,,,,,,,,26.9,S,32.5,S,21.2,S,BL000085043,Bolivia,RIBERALTA
BL000085043,"RIBERALTA, BL",-11.0,-66.117,141.0,2016,3093.1,,3093.1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL000085043,Bolivia,RIBERALTA
BL000085043,"RIBERALTA, BL",-11.0,-66.117,141.0,2017,,,,,,,,,0.0,S,0.0,S,,,,,,,8.4,"S,0719, ",,,,,,,,,,,,,,,,,,,,,21.3,S,BL000085043,Bolivia,RIBERALTA
BL000085043,"RIBERALTA, BL",-11.0,-66.117,141.0,2018,2816.5,,2816.5,S,,,,,,,,,0.0,S,342.0,S,211.0,S,,,,,37.9,"S,0926,+",,,,,,,,,,,,,,,32.3,S,,,BL000085043,Bolivia,RIBERALTA
BL000085043,"RIBERALTA, BL",-11.0,-66.117,141.0,2019,,,,,,,,,0.0, ,0.0,S,,,,,,,9.7,"S,0805, ",,,,,,,,,,,,,,,,,,,,,21.3,S,BL000085043,Bolivia,RIBERALTA
BL000085043,"RIBERALTA, BL",-11.0,-66.117,141.0,2022,,,,,,,,,0.0,S,0.0,S,,,,,,,10.2,"S,0820, ",,,,,,,,,,,,,,,,,,,,,20.6,S,BL000085043,Bolivia,RIBERALTA
