STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1898,0.5,,0.5,G,,,,,10.0,G,182.0,G,109.0,G,1.0,G,0.0,G,-26.8,"G,0126, ",,,24.8,"G,0629, ",0.0,"G,0816",-0.2,"G,0716",-2.6,"G,0508",,,,,,,1.6,G,3.8,G,-0.7,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1899,0.0,,0.0,G,,,,,13.0,G,206.0,G,132.0,G,0.0,G,0.0,G,-25.8,"G,0326, ",,,17.0,"G,0808, ",-2.7,"G,0911",-0.2,"G,0614",-3.2,"G,0613",6209.4,4.0,6209.4,G,,,0.7,G,3.2,G,-1.7,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1900,0.0,,0.0,G,,,,,7.0,G,182.0,G,134.0,G,0.0,G,0.0,G,-26.4,"G,0304, ",,,18.2,"G,0705, ",-1.0,"G,0830",-1.0,"G,0712",-2.7,"G,0710",6477.1,1.0,6477.1,G,,,1.4,G,3.5,G,-0.7,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1901,0.1,,0.1,G,,,,,25.0,G,203.0,G,147.0,G,0.0,G,0.0,G,-33.5,"G,0105,+",,,20.9,"G,0731, ",-1.4,"G,0829",0.0,"G,0621",-2.3,"G,0508",6647.5,5.0,6647.5,G,,,-0.8,G,1.4,G,-3.0,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1902,0.0,,0.0,G,,,,,8.0,G,225.0,G,159.0,G,0.0,G,0.0,G,-23.0,"G,1224, ",,,20.0,"G,0802, ",-1.6,"G,0813",0.0,"G,0713",-2.8,"G,0704",6591.7,7.0,6591.7,G,,,0.3,G,2.5,G,-2.0,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1903,0.7,,0.7,G,,,,,7.0,G,216.0,G,162.0,G,1.0,G,0.0,G,-22.5,"G,0117, ",,,22.0,"G,0720, ",-0.9,"G,0922",0.0,"G,0710",-2.4,"G,0525",6655.8,8.0,6655.8,G,,,0.2,G,2.5,G,-2.1,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1904,0.0,,0.0,G,,,,,7.0,G,206.0,G,172.0,G,0.0,G,0.0,G,-22.4,"G,1117, ",,,20.8,"G,0818, ",0.0,"G,0824",-1.0,"G,0629",-5.1,"G,0515",6304.9,9.0,6304.9,G,,,0.4,G,2.6,G,-1.8,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1905,0.0,,0.0,G,,,,,24.0,G,216.0,G,172.0,G,0.0,G,0.0,G,-33.6,"G,0102, ",,,19.8,"G,0805, ",-0.5,"G,0918",-1.2,"G,0530",-2.9,"G,0429",7217.9,9.0,7217.9,G,,,-0.6,G,1.7,G,-3.0,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1906,0.0,,0.0,G,,,,,5.0,G,213.0,G,157.0,G,0.0,G,0.0,G,-23.9,"G,0101, ",,,17.5,"G,0804, ",-0.1,"G,0821",-0.3,"G,0609",-2.3,"G,0607",6445.2,2.0,6445.2,G,,,0.1,G,2.3,G,-2.1,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1907,0.0,,0.0,G,,,,,14.0,G,193.0,G,158.0,G,1.0,G,0.0,G,-28.8,"G,0123, ",,,21.1,"G,0810, ",-1.2,"G,0822",-0.1,"G,0606",-3.0,"G,0521",6776.2,2.0,6776.2,G,,,0.6,G,2.9,G,-1.8,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1908,0.0,,0.0,G,,,,,5.0,G,212.0,G,174.0,G,0.0,G,0.0,G,-21.9,"G,0112,+",,,19.6,"G,0830,+",-1.6,"G,0906",-0.1,"G,0518",-2.9,"G,0502",6172.9,9.0,6172.9,G,,,0.4,G,2.7,G,-2.0,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1909,0.2,,0.2,G,,,,,2.0,G,190.0,G,139.0,G,1.0,G,0.0,G,-18.1,"G,0124,+",,,21.7,"G,0727, ",-0.3,"G,0907",-0.1,"G,0702",-3.3,"G,0510",6567.7,7.0,6567.7,G,,,1.0,G,3.4,G,-1.3,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1910,0.0,,0.0,G,,,,,2.0,G,204.0,G,157.0,G,0.0,G,0.0,G,-18.1,"G,0108, ",,,19.1,"G,0723, ",-3.0,"G,1006",-0.9,"G,0725",-4.3,"G,0621",6271.0,0.0,6271.0,G,,,0.6,G,2.6,G,-1.3,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1911,0.0,,0.0,G,,,,,14.0,G,201.0,G,132.0,G,0.0,G,0.0,G,-29.4,"G,0210, ",,,20.8,"G,0823, ",-0.6,"G,0818",-0.1,"G,0706",-3.0,"G,0616",6913.1,1.0,6913.1,G,,,0.0,G,2.2,G,-2.2,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
BKM00014652,"BJELASNICA, BK",44.0667,18.2667,2067.0,1912,0.0,,0.0,G,,,,,9.0,G,225.0,G,158.0,G,0.0,G,0.0,G,-26.8,"G,0115, ",,,20.3,"G,0729, ",-0.8,"G,0812",-1.0,"G,0618",-3.2,"G,0519",6244.2,2.0,6244.2,G,,,0.2,G,2.4,G,-2.1,G,BKM00014652,Bosnia and Herzegovina,BJELASNICA
