STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1922,,,,,51,Q,31,Q,,,,,,,,,,,,,50.8," ,Q,0131, ",,,,,,,,,,,,,362.0," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1923,,,,,74,Q,44,Q,,,,,,,,,,,,,38.1," ,Q,0226, ",,,,,,,,,,,,,417.5," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1925,,,,,94,Q,62,Q,,,,,,,,,,,,,52.1," ,Q,0125, ",,,,,,,,,,,,,789.2," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1926,,,,,54,Q,33,Q,,,,,,,,,,,,,41.2," ,Q,1204, ",,,,,,,,,,,,,349.8," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1927,,,,,27,Q,20,Q,,,,,,,,,,,,,54.6," ,Q,1020, ",,,,,,,,,,,,,219.3," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1928,,,,,27,Q,21,Q,,,,,,,,,,,,,44.5," ,Q,0113, ",,,,,,,,,,,,,365.1," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1929,,,,,41,Q,28,Q,,,,,,,,,,,,,33.0," ,Q,1218, ",,,,,,,,,,,,,314.3," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1930,,,,,39,Q,24,Q,,,,,,,,,,,,,39.6," ,Q,0405, ",,,,,,,,,,,,,335.4," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1931,,,,,55,Q,37,Q,,,,,,,,,,,,,36.8," ,Q,0203, ",,,,,,,,,,,,,411.4," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1932,,,,,44,Q,33,Q,,,,,,,,,,,,,102.9," ,Q,0209, ",,,,,,,,,,,,,555.4," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1933,,,,,30,Q,19,Q,,,,,,,,,,,,,54.4," ,Q,1121, ",,,,,,,,,,,,,297.3," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1934,,,,,63,Q,43,Q,,,,,,,,,,,,,32.5," ,Q,0209, ",,,,,,,,,,,,,438.0," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1935,,,,,41,Q,28,Q,,,,,,,,,,,,,31.8," ,Q,1120, ",,,,,,,,,,,,,284.8," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1936,,,,,57,Q,41,Q,,,,,,,,,,,,,120.4," ,Q,0317, ",,,,,,,,,,,,,588.8," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1937,,,,,43,Q,31,Q,,,,,,,,,,,,,25.4," ,Q,1215,+",,,,,,,,,,,,,339.2," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1938,,,,,51,Q,28,Q,,,,,,,,,,,,,41.9," ,Q,1129, ",,,,,,,,,,,,,501.3," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1939,,,,,63,Q,40,Q,,,,,,,,,,,,,48.0," ,Q,0208, ",,,,,,,,,,,,,492.4," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1940,,,,,60,Q,34,Q,,,,,,,,,,,,,40.9," ,Q,0419, ",,,,,,,,,,,,,443.4," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1941,,,,,41,Q,25,Q,,,,,,,,,,,,,39.4," ,Q,0211, ",,,,,,,,,,,,,354.7," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1942,,,,,43,Q,30,Q,,,,,,,,,,,,,39.4," ,Q,0306, ",,,,,,,,,,,,,375.8," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1943,,,,,60,Q,37,Q,,,,,,,,,,,,,38.1," ,Q,0409, ",,,,,,,,,,,,,364.3," ,Q",,,,,,,BC000068032,Botswana,MAUN
BC000068032,"MAUN, BC",-19.983,23.417,943.0,1944,,,,,51,Q,39,Q,,,,,,,,,,,,,63.5," ,Q,0202, ",,,,,,,,,,,,,582.9," ,Q",,,,,,,BC000068032,Botswana,MAUN
