STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1937,,,,,150,I,93,I,,,,,,,,,,,,,88.0," ,I,1218, ",,,,,,,,,,,,,1487.4," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1938,,,,,139,I,93,I,,,,,,,,,,,,,65.4," ,I,0914, ",,,,,,,,,,,,,1363.9," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1939,,,,,139,I,89,I,,,,,,,,,,,,,44.5," ,I,0325, ",,,,,,,,,,,,,1130.0," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1940,,,,,106,I,82,I,,,,,,,,,,,,,88.8," ,I,0109, ",,,,,,,,,,,,,1331.6," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1941,,,,,113,I,90,I,,,,,,,,,,,,,67.5," ,I,0101, ",,,,,,,,,,,,,1520.2," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1942,,,,,103,I,84,I,,,,,,,,,,,,,80.2," ,I,0116, ",,,,,,,,,,,,,1362.7," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1943,,,,,112,I,82,I,,,,,,,,,,,,,45.6," ,I,0315, ",,,,,,,,,,,,,1274.8," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1944,,,,,98,I,67,I,,,,,,,,,,,,,44.5," ,I,0219, ",,,,,,,,,,,,,984.9," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1945,,,,,103,I,78,I,,,,,,,,,,,,,95.4," ,I,0201, ",,,,,,,,,,,,,1480.5," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1947,,,,,113,I,98,I,,,,,,,,,,,,,80.5," ,I,1221, ",,,,,,,,,,,,,2116.9," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1948,,,,,97,I,78,I,,,,,,,,,,,,,59.3," ,I,1217, ",,,,,,,,,,,,,1259.2," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1949,,,,,100,I,78,I,,,,,,,,,,,,,137.5," ,I,0112, ",,,,,,,,,,,,,1286.2," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1950,,,,,118,I,100,I,,,,,,,,,,,,,95.0," ,I,1127, ",,,,,,,,,,,,,1744.2," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1951,,,,,103,I,78,I,,,,,,,,,,,,,65.3," ,I,0126, ",,,,,,,,,,,,,1160.4," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1954,,,,,113,I,87,I,,,,,,,,,,,,,42.8," ,I,0104, ",,,,,,,,,,,,,1244.3," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1957,,,,,132,I,97,I,,,,,,,,,,,,,100.8," ,I,0116, ",,,,,,,,,,,,,1877.8," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1958,,,,,110,I,86,I,,,,,,,,,,,,,70.2," ,I,1027, ",,,,,,,,,,,,,1515.3," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1959,,,,,113,I,93,I,,,,,,,,,,,,,60.0," ,I,1221, ",,,,,,,,,,,,,1236.9," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1960,,,,,99,I,80,I,,,,,,,,,,,,,59.0," ,I,0228, ",,,,,,,,,,,,,1332.0," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1961,,,,,109,I,82,I,,,,,,,,,,,,,87.5," ,I,0119, ",,,,,,,,,,,,,1578.6," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1962,,,,,110,I,77,I,,,,,,,,,,,,,80.0," ,I,0312, ",,,,,,,,,,,,,1337.1," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1963,,,,,98,I,61,I,,,,,,,,,,,,,104.0," ,I,0220, ",,,,,,,,,,,,,971.1," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1964,,,,,113,I,81,I,,,,,,,,,,,,,61.8," ,I,0220, ",,,,,,,,,,,,,1274.7," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1965,,,,,131,I,104,I,,,,,,,,,,,,,78.0," ,I,0120, ",,,,,,,,,,,,,1748.0," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1966,,,,,117,I,93,I,,,,,,,,,,,,,98.5," ,I,0307, ",,,,,,,,,,,,,1541.0," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1967,,,,,118,I,95,I,,,,,,,,,,,,,80.0," ,I,0303, ",,,,,,,,,,,,,1516.4," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1968,,,,,94,I,75,I,,,,,,,,,,,,,76.0," ,I,0516, ",,,,,,,,,,,,,1170.6," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1969,,,,,103,I,87,I,,,,,,,,,,,,,68.6," ,I,1119, ",,,,,,,,,,,,,1299.7," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1971,,,,,121,I,93,I,,,,,,,,,,,,,84.2," ,I,0325, ",,,,,,,,,,,,,1351.5," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1972,,,,,118,I,83,I,,,,,,,,,,,,,84.9," ,I,0309, ",,,,,,,,,,,,,1354.5," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1973,,,,,128,I,92,I,,,,,,,,,,,,,65.0," ,I,0219, ",,,,,,,,,,,,,1346.2," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1974,,,,,109,I,76,I,,,,,,,,,,,,,78.4," ,I,0325, ",,,,,,,,,,,,,1320.6," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1975,,,,,120,I,82,I,,,,,,,,,,,,,64.0," ,I,0228, ",,,,,,,,,,,,,1261.8," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1976,,,,,150,I,110,I,,,,,,,,,,,,,92.2," ,I,0207, ",,,,,,,,,,,,,2039.6," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1977,,,,,121,I,91,I,,,,,,,,,,,,,98.9," ,I,0119, ",,,,,,,,,,,,,1375.8," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1978,,,,,105,I,79,I,,,,,,,,,,,,,72.4," ,I,0609, ",,,,,,,,,,,,,1617.4," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1979,,,,,115,I,81,I,,,,,,,,,,,,,77.5," ,I,1115, ",,,,,,,,,,,,,1296.9," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
BR00E3-0070,"SAO PAULO, BR",-23.5,-46.617,792.0,1980,,,,,127,I,89,I,,,,,,,,,,,,,50.6," ,I,1222, ",,,,,,,,,,,,,1413.9," ,I",,,,,,,BR00E3-0070,Brazil,SAO PAULO
