STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
BR047403040,"BARREIRAS, BR",-12.15,-45.0,439.0,1920,,,,,82,I,60,I,,,,,,,,,,,,,67.8," ,I,1229, ",,,,,,,,,,,,,1059.1," ,I",,,,,,,BR047403040,Brazil,BARREIRAS
BR047403040,"BARREIRAS, BR",-12.15,-45.0,439.0,1922,,,,,96,I,57,I,,,,,,,,,,,,,62.0," ,I,1117, ",,,,,,,,,,,,,956.2," ,I",,,,,,,BR047403040,Brazil,BARREIRAS
BR047403040,"BARREIRAS, BR",-12.15,-45.0,439.0,1923,,,,,102,I,63,I,,,,,,,,,,,,,55.1," ,I,1021, ",,,,,,,,,,,,,988.7," ,I",,,,,,,BR047403040,Brazil,BARREIRAS
BR047403040,"BARREIRAS, BR",-12.15,-45.0,439.0,1924,,,,,137,I,89,I,,,,,,,,,,,,,66.3," ,I,0502, ",,,,,,,,,,,,,1464.4," ,I",,,,,,,BR047403040,Brazil,BARREIRAS
BR047403040,"BARREIRAS, BR",-12.15,-45.0,439.0,1925,,,,,92,I,61,I,,,,,,,,,,,,,44.3," ,I,0207, ",,,,,,,,,,,,,861.4," ,I",,,,,,,BR047403040,Brazil,BARREIRAS
BR047403040,"BARREIRAS, BR",-12.15,-45.0,439.0,1926,,,,,99,I,71,I,,,,,,,,,,,,,80.8," ,I,1208, ",,,,,,,,,,,,,1388.5," ,I",,,,,,,BR047403040,Brazil,BARREIRAS
BR047403040,"BARREIRAS, BR",-12.15,-45.0,439.0,1927,,,,,100,I,66,I,,,,,,,,,,,,,65.2," ,I,1207, ",,,,,,,,,,,,,1069.5," ,I",,,,,,,BR047403040,Brazil,BARREIRAS
BR047403040,"BARREIRAS, BR",-12.15,-45.0,439.0,1928,,,,,84,I,57,I,,,,,,,,,,,,,65.5," ,I,1231, ",,,,,,,,,,,,,1063.8," ,I",,,,,,,BR047403040,Brazil,BARREIRAS
BR047403040,"BARREIRAS, BR",-12.15,-45.0,439.0,1929,,,,,90,I,49,I,,,,,,,,,,,,,79.4," ,I,0203, ",,,,,,,,,,,,,759.4," ,I",,,,,,,BR047403040,Brazil,BARREIRAS
BR047403040,"BARREIRAS, BR",-12.15,-45.0,439.0,1930,,,,,84,I,54,I,,,,,,,,,,,,,65.6," ,I,0220, ",,,,,,,,,,,,,788.5," ,I",,,,,,,BR047403040,Brazil,BARREIRAS
