STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1950,,,,,114,Q,82,Q,,,,,,,,,,,,,59.0," ,Q,0411, ",,,,,,,,,,,,,885.1," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1951,,,,,140,Q,98,Q,,,,,,,,,,,,,52.5," ,Q,0528, ",,,,,,,,,,,,,1226.2," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1952,,,,,80,Q,58,Q,,,,,,,,,,,,,53.8," ,Q,1018, ",,,,,,,,,,,,,797.9," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1953,,,,,108,Q,77,Q,,,,,,,,,,,,,65.0," ,Q,0114, ",,,,,,,,,,,,,1123.7," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1955,,,,,90,Q,75,Q,,,,,,,,,,,,,41.2," ,Q,0214, ",,,,,,,,,,,,,884.2," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1956,,,,,108,Q,92,Q,,,,,,,,,,,,,55.1," ,Q,0404, ",,,,,,,,,,,,,1086.2," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1957,,,,,111,Q,92,Q,,,,,,,,,,,,,45.0," ,Q,0419, ",,,,,,,,,,,,,1099.9," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1958,,,,,129,Q,81,Q,,,,,,,,,,,,,80.8," ,Q,0124, ",,,,,,,,,,,,,836.1," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1961,,,,,169,Q,113,Q,,,,,,,,,,,,,68.7," ,Q,1031, ",,,,,,,,,,,,,1503.6," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1962,,,,,107,Q,92,Q,,,,,,,,,,,,,47.2," ,Q,1102, ",,,,,,,,,,,,,1308.8," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1966,,,,,135,Q,93,Q,,,,,,,,,,,,,65.0," ,Q,0111, ",,,,,,,,,,,,,1106.5," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1967,,,,,157,Q,95,Q,,,,,,,,,,,,,43.1," ,Q,0516, ",,,,,,,,,,,,,957.0," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1969,,,,,149,Q,89,Q,,,,,,,,,,,,,42.6," ,Q,0107, ",,,,,,,,,,,,,1102.7," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1970,,,,,149,Q,95,Q,,,,,,,,,,,,,58.5," ,Q,0222, ",,,,,,,,,,,,,1186.5," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1971,,,,,139,Q,83,Q,,,,,,,,,,,,,45.4," ,Q,0125, ",,,,,,,,,,,,,1053.9," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1973,,,,,136,Q,87,Q,,,,,,,,,,,,,64.8," ,Q,0514, ",,,,,,,,,,,,,1107.1," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1974,,,,,136,Q,81,Q,,,,,,,,,,,,,53.9," ,Q,0326, ",,,,,,,,,,,,,1108.0," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1975,,,,,156,Q,86,Q,,,,,,,,,,,,,53.6," ,Q,0415, ",,,,,,,,,,,,,1096.5," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1976,,,,,140,Q,80,Q,,,,,,,,,,,,,47.8," ,Q,0404, ",,,,,,,,,,,,,865.4," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1978,,,,,139,Q,81,Q,,,,,,,,,,,,,53.9," ,Q,1214, ",,,,,,,,,,,,,1082.8," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1979,,,,,140,Q,97,Q,,,,,,,,,,,,,87.0," ,Q,0131, ",,,,,,,,,,,,,1186.4," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1980,,,,,142,Q,87,Q,,,,,,,,,,,,,43.5," ,Q,0312, ",,,,,,,,,,,,,951.4," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1981,,,,,134,Q,87,Q,,,,,,,,,,,,,41.2," ,Q,0829, ",,,,,,,,,,,,,921.0," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1983,,,,,142,Q,93,Q,,,,,,,,,,,,,48.6," ,Q,0421, ",,,,,,,,,,,,,1065.4," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1984,,,,,134,Q,86,Q,,,,,,,,,,,,,116.2," ,Q,1116, ",,,,,,,,,,,,,1063.7," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1985,,,,,154,Q,103,Q,,,,,,,,,,,,,52.8," ,Q,0207, ",,,,,,,,,,,,,1306.9," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1987,,,,,139,Q,88,Q,,,,,,,,,,,,,78.6," ,Q,0406, ",,,,,,,,,,,,,1505.3," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1988,,,,,153,Q,105,Q,,,,,,,,,,,,,101.1," ,Q,0418, ",,,,,,,,,,,,,1473.8," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
BY000064397,"MUYINGA, BY",-2.833,30.333,1755.0,1989,,,,,142,Q,93,Q,,,,,,,,,,,,,51.1," ,Q,0208, ",,,,,,,,,,,,,1104.3," ,Q",,,,,,,BY000064397,Burundi,MUYINGA
