STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,1994,4.4,,4.4,C,72.0,S,40.0,S,76.0,C,230.0,C,117.0,C,38.0,C,0.0,C,-38.8,"C,0225, ",22.0," ,S,0807, ",31.2,"C,0803, ",-1.5,"C,0901",-2.2,"C,0615",-2.2,"C,0615",,,,,345.6," ,S",-0.8,C,4.9,C,-6.5,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,1996,0.3,,0.3,C,,,,,94.0,C,254.0,C,132.0,C,15.0,C,0.0,C,-43.4,"C,0120,+",,,29.3,"C,0728, ",-0.3,"C,0814",0.0,"C,0717",-3.1,"C,0614",7441.9,9.0,7441.9,C,,,-3.1,C,2.9,C,-9.1,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,1997,0.0,,0.0,C,,,,,35.0,C,233.0,C,122.0,C,31.0,C,0.0,C,-41.8,"C,0125, ",,,26.8,"C,0810, ",-1.4,"C,0906",-1.6,"C,0610",-2.7,"C,0521",7355.7,7.0,7355.7,C,,,0.5,C,6.0,C,-5.0,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,1998,4.8,,4.8,C,,,,,65.0,C,227.0,C,116.0,C,44.0,C,0.0,C,-38.2,"C,0110,+",,,30.0,"C,0527, ",-0.2,"C,0811",-0.7,"C,0612",-2.2,"C,0515",6302.3,3.0,6302.3,C,,,-0.1,C,5.7,C,-5.9,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,1999,4.6,,4.6,C,,,,,55.0,C,233.0,C,113.0,C,34.0,C,0.0,C,-40.8,"C,0122, ",,,31.2,"C,0804, ",-1.2,"C,0825",-2.8,"C,0529",-2.8,"C,0529",7009.9,9.0,7009.9,C,,,-0.1,C,5.6,C,-5.8,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,2000,0.0,,0.0,C,,,,,61.0,C,236.0,C,113.0,C,20.0,C,0.0,C,-40.4,"C,0115, ",,,27.1,"C,0804, ",-0.8,"C,0903",-0.2,"C,0630",-2.4,"C,0622",6596.9,9.0,6596.9,C,,,-0.4,C,5.1,C,-5.9,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,2001,0.7,,0.7,C,,,,,52.0,C,244.0,C,117.0,C,19.0,C,0.0,C,-36.6,"C,0321, ",,,28.7,"C,0720, ",0.0,"C,0825",-0.9,"C,0626",-2.7,"C,0525",6663.7,7.0,6663.7,C,,,-0.4,C,5.2,C,-6.0,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7095.0,0.0,7095.0,C,,,,,,,,,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,2003,0.0,,0.0,C,,,,,62.0,C,242.0,C,121.0,C,25.0,C,0.0,C,-39.4,"C,0308, ",,,27.0,"C,0710, ",0.0,"C,0806",-0.5,"C,0619",-2.3,"C,0603",,,,,,,-0.8,C,4.9,C,-6.6,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,2004,19.1,,19.1,C,,,,,45.0,C,230.0,C,112.0,C,47.0,C,2.0,C,-44.6,"C,0127, ",,,32.5,"C,0620, ",-2.2,"C,0823",-2.4,"C,0603",-2.4,"C,0603",6609.3,3.0,6609.3,C,,,0.6,C,6.4,C,-5.2,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,2005,0.9,,0.9,C,,,,,50.0,C,229.0,C,101.0,C,21.0,C,0.0,C,-44.9,"C,0113, ",,,29.4,"C,0812, ",-2.4,"C,0829",-1.8,"C,0605",-2.2,"C,0509",6442.5,5.0,6442.5,C,,,0.4,C,6.0,C,-5.1,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,2006,2.8,,2.8,C,,,,,82.0,C,230.0,C,132.0,C,15.0,C,0.0,C,-38.2,"C,1128, ",,,31.5,"C,0612, ",-0.2,"C,0807",-0.2,"C,0622",-2.9,"C,0516",6905.2,2.0,6905.2,C,,,-1.6,C,4.0,C,-7.3,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,2007,0.1,,0.1,C,,,,,69.0,C,233.0,C,137.0,C,20.0,C,0.0,C,-36.5,"C,0301, ",,,29.2,"C,0603, ",-0.5,"C,0828",-1.1,"C,0609",-3.2,"C,0523",7114.7,7.0,7114.7,C,,,-1.2,C,4.1,C,-6.5,C,CA00119BLM0,Canada,DEASE LAKE (AUT)
CA00119BLM0,"DEASE LAKE AUT, BC CA",58.4333,-130.0333,802.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7129.4,4.0,7129.4,C,,,,,,,,,CA00119BLM0,Canada,DEASE LAKE (AUT)
