STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,1999,0.0,,0.0,C,,,,,211.0,C,309.0,C,276.0,C,0.0,C,0.0,C,-45.5,"C,0131, ",,,14.5,"C,0809, ",-0.4,"C,0805",-0.2,"C,0716",-3.2,"C,0612",,,,,,,-16.1,C,-12.6,C,-19.6,C,CA00250M001,Canada,MOULD BAY CS
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12666.9,9.0,12666.9,C,,,,,,,,,CA00250M001,Canada,MOULD BAY CS
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,2001,0.0,,0.0,C,,,,,214.0,C,321.0,C,265.0,C,1.0,C,0.0,C,-45.6,"C,0113, ",,,22.7,"C,0724, ",-0.9,"C,0809",-1.3,"C,0731",-3.0,"C,0620",,,,,,,-16.2,C,-12.7,C,-19.7,C,CA00250M001,Canada,MOULD BAY CS
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12528.1,1.0,12528.1, ,,,,,,,,,CA00250M001,Canada,MOULD BAY CS
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,2003,0.0,,0.0,C,139.0,C,30.0,C,203.0,C,345.0,C,287.0,C,0.0,C,0.0,C,-47.8,"C,0226, ",14.8," ,C,0422, ",12.3,"C,0713, ",-1.3,"C,0801",-1.1,"C,0731",-2.9,"C,0625",,,,,268.6," ,C",-17.1,C,-13.6,C,-20.7,C,CA00250M001,Canada,MOULD BAY CS
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,2005,0.0,,0.0,C,125.0,C,23.0,C,204.0,C,324.0,C,269.0,C,0.0,C,0.0,C,-47.8,"C,0223, ",10.3," ,C,0816, ",10.4,"C,0723, ",-0.4,"C,0801",-0.6,"C,0730",-3.4,"C,0616",13150.8,8.0,13150.8,C,197.2," ,C",-16.6,C,-13.3,C,-19.9,C,CA00250M001,Canada,MOULD BAY CS
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,2006,,,,,151.0,C,32.0,C,,,,,,,,,,,,,19.0," ,C,1011, ",,,,,,,,,,,,,299.7," ,C",,,,,,,CA00250M001,Canada,MOULD BAY CS
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,2007,0.0,,0.0,C,,,,,198.0,C,292.0,C,262.0,C,0.0,C,0.0,C,-49.2,"C,0302, ",,,16.9,"C,0723, ",-0.7,"C,0802",-0.2,"C,0624",-7.1,"C,0605",,,,,,,-15.9,C,-12.6,C,-19.2,C,CA00250M001,Canada,MOULD BAY CS
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,2015,,,,,,,,,193.0,C,294.0,C,257.0,C,0.0,C,0.0,C,-43.0,"C,0211, ",,,16.6,"C,0718, ",-0.2,"C,0802",-0.2,"C,0730",-3.3,"C,0608",,,,,,,-15.5,C,-12.2,C,-18.8,C,CA00250M001,Canada,MOULD BAY CS
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,2016,,,,,,,,,190.0,C,317.0,C,257.0,C,0.0,C,0.0,C,-41.0,"C,1231, ",,,11.8,"C,0711, ",-0.6,"C,0801",-1.6,"C,0721",-2.5,"C,0619",,,,,,,-14.2,C,-10.9,C,-17.5,C,CA00250M001,Canada,MOULD BAY CS
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,2017,0.0,,0.0,C,37.0,C,4.0,C,196.0,C,309.0,C,269.0,C,0.0,C,0.0,C,-54.7,"C,0304, ",5.2," ,C,0916, ",13.6,"C,0704, ",-2.1,"C,0805",-0.6,"C,0731",-2.2,"C,0617",,,,,59.2," ,C",-16.1,C,-12.6,C,-19.6,C,CA00250M001,Canada,MOULD BAY CS
CA00250M001,"MOULD BAY CS, NT CA",76.2333,-119.35,2.0,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11738.9,9.0,11738.9,C,,,,,,,,,CA00250M001,Canada,MOULD BAY CS
