STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2009,1.7,,1.7,C,,,,,114.0,C,252.0,C,210.0,C,12.0,C,0.0,C,-38.2,"C,1209,+",,,28.5,"C,0831, ",-0.5,"C,0930",0.0,"C,0702",-3.8,"C,0610",,,,,,,-6.6,C,-2.7,C,-10.5,C,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2010,3.0,,3.0,C,80.0,C,36.0,C,90.0,C,239.0,C,163.0,C,19.0,C,0.0,C,-37.7,"C,0223, ",104.6," ,C,0824, ",31.1,"C,0614, ",-0.5,"C,0922",-0.2,"C,0619",-2.6,"C,0604",7962.0,0.0,7962.0,C,416.0," ,C",-3.2,C,0.7,C,-7.0,C,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2011,14.0,,14.0,C,,,,,132.0,C,232.0,C,188.0,C,24.0,C,0.0,C,-39.5,"C,0127, ",,,28.7,"C,0712, ",-0.9,"C,0930",-0.6,"C,0610",-3.9,"C,0601",8561.2,2.0,8561.2,C,,,-5.3,C,-0.9,C,-9.7,C,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2012,,,,,83.0,C,34.0,C,,,,,,,,,,,,,43.4," ,C,0903, ",,,,,,,,,8161.2,2.0,8161.2, ,323.1," ,C",,,,,,,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2013,9.5,,9.5,C,87.0,C,28.0,C,141.0,C,225.0,C,193.0,C,28.0,C,0.0,C,-40.4,"C,0115, ",16.4," ,C,0716, ",31.4,"C,0630, ",-0.4,"C,1002",-2.9,"C,0604",-2.9,"C,0604",,,,,268.5," ,C",-6.9,C,-2.6,C,-11.2,C,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8787.0,0.0,8787.0,C,,,,,,,,,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2015,4.1,,4.1,C,109.0,C,35.0,C,119.0,C,238.0,C,184.0,C,12.0,C,0.0,C,-38.1,"C,0207, ",40.1," ,C,0705, ",28.2,"C,0812, ",0.0,"C,0924",-1.8,"C,0530",-2.8,"C,0529",,,,,338.3," ,C",-5.8,C,-1.9,C,-9.8,C,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2016,,,,,113.0,C,40.0,C,,,,,,,,,,,,,30.5," ,C,0925, ",,,,,,,,,,,,,347.6," ,C",,,,,,,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2018,28.8,,28.8,C,102.0,C,22.0,C,130.0,C,258.0,C,203.0,C,31.0,C,1.0,C,-42.1,"C,0218, ",35.5," ,C,0715, ",32.2,"C,0611, ",-0.1,"C,0911",-1.4,"C,0607",-3.4,"C,0601",8790.9,9.0,8790.9,C,317.3," ,C",-6.6,C,-2.4,C,-10.8,C,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2019,3.0,,3.0,C,102.0,C,33.0,C,125.0,C,243.0,C,177.0,C,21.0,C,0.0,C,-41.0,"C,0131, ",37.1," ,C,0630, ",29.4,"C,0717, ",-0.1,"C,0910",-0.7,"C,0616",-2.4,"C,0603",9047.7,7.0,9047.7,C,373.4," ,C",-6.0,C,-1.9,C,-10.1,C,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2020,20.7,,20.7,C,113.0,C,37.0,C,125.0,C,255.0,C,204.0,C,22.0,C,0.0,C,-38.9,"C,0115, ",52.2," ,C,0725, ",30.5,"C,0624, ",-1.4,"C,0914",-1.1,"C,0619",-2.7,"C,0611",8806.0,0.0,8806.0,C,342.0," ,C",-6.2,C,-2.1,C,-10.2,C,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8645.0,0.0,8645.0,C,,,,,,,,,CA005060608,Canada,CHURCHILL CLIMATE
CA005060608,"CHURCHILL CLIMATE, MB CA",58.7333,-94.0667,29.0,2023,15.5,,15.5,C,77.0,C,25.0,C,109.0,C,216.0,C,182.0,C,46.0,C,1.0,C,-39.7,"C,0219, ",32.0," ,C,0703, ",33.0,"C,0630, ",-0.5,"C,1007",-1.8,"C,0531",-2.3,"C,0521",,,,,321.0," ,C",-3.7,C,0.8,C,-8.1,C,CA005060608,Canada,CHURCHILL CLIMATE
