STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,1987,,,,,250.0,S,94.0,S,,,,,,,,,,,,,27.4," ,S,0713, ",,,,,,,,,,,,,905.4," ,S",,,,,,,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,1988,,,,,217.0,S,79.0,S,,,,,,,,,,,,,29.0," ,S,0730, ",,,,,,,,,,,,,638.5," ,S",,,,,,,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,1989,,,,,233.0,S,85.0,S,,,,,,,,,,,,,34.0," ,S,0913, ",,,,,,,,,,,,,723.0," ,S",,,,,,,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,1990,,,,,254.0,S,98.0,S,,,,,,,,,,,,,29.0," ,S,0614, ",,,,,,,,,,,,,886.0," ,S",,,,,,,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,1991,,,,,232.0,S,83.0,S,,,,,,,,,,,,,26.9," ,S,0826, ",,,,,,,,,,,,,773.8," ,S",,,,,,,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,1992,,,,,250.0,S,88.0,S,,,,,,,,,,,,,102.9," ,S,0919, ",,,,,,,,,,,,,978.1," ,S",,,,,,,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,1993,,,,,246.0,S,79.0,S,,,,,,,,,,,,,34.5," ,S,0903, ",,,,,,,,,,,,,714.0," ,S",,,,,,,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,1994,,,,,247.0,S,72.0,S,,,,,,,,,,,,,31.0," ,S,0729, ",,,,,,,,,,,,,729.9," ,S",,,,,,,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,2003,,,,,207.0,S,78.0,S,,,,,,,,,,,,,26.4," ,S,0717, ",,,,,,,,,,,,,670.4," ,S",,,,,,,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,2004,,,,,219.0,S,101.0,S,,,,,,,,,,,,,51.3," ,S,0912, ",,,,,,,,,,,,,891.7," ,S",,,,,,,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,2006,8.1,,8.1,C,224.0,C,75.0,C,67.0,C,203.0,C,131.0,C,37.0,C,0.0,C,-41.7,"C,0214, ",39.5," ,C,0708, ",29.3,"C,0607, ",-0.3,"C,0910",-0.7,"C,0529",-2.7,"C,0527",,,,,716.0," ,C",-0.3,C,4.9,C,-5.4,C,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,2007,29.5,,29.5,C,235.0,C,81.0,C,103.0,C,221.0,C,139.0,C,25.0,C,1.0,C,-42.5,"C,0116, ",36.0," ,C,0907, ",33.8,"C,0614, ",-0.9,"C,0909",-4.1,"C,0602",-4.1,"C,0602",7298.4,4.0,7298.4,C,790.5," ,C",-2.7,C,2.6,C,-8.1,C,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,2008,36.9,,36.9,C,246.0,C,83.0,C,106.0,C,218.0,C,139.0,C,49.0,C,0.0,C,-42.7,"C,0228, ",40.0," ,C,0706, ",29.1,"C,0902, ",-0.1,"C,0917",-1.3,"C,0609",-3.1,"C,0516",7527.3,3.0,7527.3,C,758.5," ,C",-1.9,C,3.6,C,-7.3,C,CA007093GJ5,Canada,LA GRANDE IV
CA007093GJ5,"LA GRANDE IV, QC CA",53.75,-73.6833,306.0,2009,32.8,,32.8,C,234.0,C,88.0,C,94.0,C,235.0,C,136.0,C,42.0,C,0.0,C,-46.4,"C,0117, ",29.5," ,C,0825, ",31.0,"C,0623, ",-0.7,"C,0828",-1.5,"C,0605",-2.8,"C,0603",7553.0,0.0,7553.0,C,705.5," ,C",-2.0,C,3.1,C,-7.1,C,CA007093GJ5,Canada,LA GRANDE IV
