STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CA00830P001,"HARRINGTON CDA CS, PE CA",46.35,-63.1667,53.0,2004,86.3,,86.3,C,174.0,C,83.0,C,17.0,C,161.0,C,87.0,C,65.0,C,0.0,C,-26.4,"C,0115, ",29.3," ,C,0918, ",27.8,"C,0803, ",-1.8,"C,1030",-0.4,"C,0526",-2.9,"C,0426",4685.9,9.0,4685.9,C,819.0," ,C",5.3,C,8.9,C,1.6,C,CA00830P001,Canada,HARRINGTON CDA CS
CA00830P001,"HARRINGTON CDA CS, PE CA",46.35,-63.1667,53.0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4709.5,5.0,4709.5,C,,,,,,,,,CA00830P001,Canada,HARRINGTON CDA CS
CA00830P001,"HARRINGTON CDA CS, PE CA",46.35,-63.1667,53.0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA00830P001,Canada,HARRINGTON CDA CS
CA00830P001,"HARRINGTON CDA CS, PE CA",46.35,-63.1667,53.0,2007,86.7,,86.7,C,158.0,C,78.0,C,10.0,C,159.0,C,81.0,C,61.0,C,0.0,C,-22.3,"C,0206, ",38.2," ,C,0911, ",30.1,"C,0727, ",-1.0,"C,1030",-0.1,"C,0523",-3.6,"C,0422",,,,,946.5," ,C",5.3,C,9.2,C,1.4,C,CA00830P001,Canada,HARRINGTON CDA CS
CA00830P001,"HARRINGTON CDA CS, PE CA",46.35,-63.1667,53.0,2008,,,,,155.0,C,82.0,C,,,,,,,,,,,,,95.2," ,C,0907, ",,,,,,,,,,,,,1198.3," ,C",,,,,,,CA00830P001,Canada,HARRINGTON CDA CS
CA00830P001,"HARRINGTON CDA CS, PE CA",46.35,-63.1667,53.0,2010,130.0,,130.0,C,176.0,C,89.0,C,2.0,C,132.0,C,53.0,C,73.0,C,0.0,C,-22.6,"C,0203, ",54.0," ,C,1106, ",31.8,"C,0902, ",-0.2,"C,1020",0.0,"C,0417",-5.5,"C,0414",,,,,1081.3," ,C",7.3,C,10.9,C,3.8,C,CA00830P001,Canada,HARRINGTON CDA CS
CA00830P001,"HARRINGTON CDA CS, PE CA",46.35,-63.1667,53.0,2011,69.0,,69.0,C,177.0,C,96.0,C,8.0,C,142.0,C,60.0,C,69.0,C,0.0,C,-22.1,"C,0124, ",59.6," ,C,1005, ",28.8,"C,0706, ",-0.4,"C,1031",-0.6,"C,0421",-6.2,"C,0416",4380.4,4.0,4380.4,C,1237.4," ,C",6.4,C,10.4,C,2.5,C,CA00830P001,Canada,HARRINGTON CDA CS
CA00830P001,"HARRINGTON CDA CS, PE CA",46.35,-63.1667,53.0,2012,133.0,,133.0,C,147.0,C,75.0,C,2.0,C,150.0,C,59.0,C,84.0,C,0.0,C,-21.0,"C,0213, ",47.9," ,C,0905, ",29.8,"C,0731, ",-0.2,"C,1013",-0.2,"C,0505",-2.7,"C,0501",4172.2,2.0,4172.2,C,882.6," ,C",7.2,C,11.4,C,3.0,C,CA00830P001,Canada,HARRINGTON CDA CS
CA00830P001,"HARRINGTON CDA CS, PE CA",46.35,-63.1667,53.0,2013,109.6,,109.6,C,165.0,C,75.0,C,12.0,C,164.0,C,81.0,C,78.0,C,1.0,C,-22.1,"C,0124, ",45.2," ,C,0903, ",32.5,"C,0715, ",-2.4,"C,1029",-0.1,"C,0520",-4.8,"C,0422",4304.3,3.0,4304.3,C,929.3," ,C",5.9,C,10.0,C,1.8,C,CA00830P001,Canada,HARRINGTON CDA CS
CA00830P001,"HARRINGTON CDA CS, PE CA",46.35,-63.1667,53.0,2014,121.2,,121.2,C,,,,,14.0,C,153.0,C,66.0,C,74.0,C,0.0,C,-26.0,"C,0102, ",,,29.1,"C,0630, ",-1.6,"C,1108",-0.1,"C,0512",-2.5,"C,0507",4800.5,5.0,4800.5,C,,,5.9,C,10.2,C,1.7,C,CA00830P001,Canada,HARRINGTON CDA CS
