STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CJW00011813,"ROBERTS, CJ",19.3,-81.36667,3.0,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CJW00011813,Cayman Islands [United Kingdom],ROBERTS
CJW00011813,"ROBERTS, CJ",19.3,-81.36667,3.0,1967,2824.3,,2824.3,X,138.0,X,90.0,X,0.0,X,0.0,X,0.0,X,365.0,X,31.0,X,15.0,"X,0328, ",86.6," ,X,1113,+",32.8,"X,0908,+",,,,,,,0.0,0.0,0.0,X,1745.0," ,X",26.1,X,29.9,X,22.2,X,CJW00011813,Cayman Islands [United Kingdom],ROBERTS
CJW00011813,"ROBERTS, CJ",19.3,-81.36667,3.0,1968,2751.7,,2751.7,X,140.0,X,85.0,X,0.0,X,0.0,X,0.0,X,365.0,X,37.0,X,11.1,"X,0211, ",130.0," ,X,1015, ",32.8,"X,0914,+",,,,,,,0.0,0.0,0.0,X,1632.3," ,X",25.9,X,29.6,X,22.1,X,CJW00011813,Cayman Islands [United Kingdom],ROBERTS
CJW00011813,"ROBERTS, CJ",19.3,-81.36667,3.0,1969,2937.1,,2937.1,X,132.0,X,87.0,X,0.0,X,0.0,X,0.0,X,364.0,X,101.0,X,14.4,"X,1204,+",110.0," ,X,0901, ",33.9,"X,0626, ",,,,,,,0.0,0.0,0.0,X,1736.1," ,X",26.4,X,30.3,X,22.5,X,CJW00011813,Cayman Islands [United Kingdom],ROBERTS
CJW00011813,"ROBERTS, CJ",19.3,-81.36667,3.0,1970,2861.3,,2861.3,X,128.0,X,80.0,X,0.0,X,0.0,X,0.0,X,363.0,X,51.0,X,12.8,"X,0114, ",221.0," ,X,0731, ",33.3,"X,0609,+",,,,,,,0.0,0.0,0.0,X,1832.7," ,X",26.2,X,29.9,X,22.5,X,CJW00011813,Cayman Islands [United Kingdom],ROBERTS
CJW00011813,"ROBERTS, CJ",19.3,-81.36667,3.0,1971,2840.8,,2840.8,X,137.0,X,88.0,X,0.0,X,0.0,X,0.0,X,365.0,X,51.0,X,12.2,"X,0119, ",143.8," ,X,1023, ",32.8,"X,0917,+",,,,,,,0.0,0.0,0.0,X,1989.5," ,X",26.1,X,30.0,X,22.2,X,CJW00011813,Cayman Islands [United Kingdom],ROBERTS
CJW00011813,"ROBERTS, CJ",19.3,-81.36667,3.0,1972,2980.4,,2980.4,X,120.0,X,79.0,X,0.0,X,0.0,X,0.0,X,366.0,X,37.0,X,12.8,"X,1217, ",110.7," ,X,0904, ",32.8,"X,1117,+",,,,,,,0.0,0.0,0.0,X,1529.3," ,X",26.5,X,30.3,X,22.6,X,CJW00011813,Cayman Islands [United Kingdom],ROBERTS
CJW00011813,"ROBERTS, CJ",19.3,-81.36667,3.0,1973,2956.9,,2956.9,X,125.0,X,76.0,X,0.0,X,0.0,X,0.0,X,364.0,X,48.0,X,13.3,"X,1214, ",148.6," ,X,0611, ",32.8,"X,0815,+",,,,,,,0.0,0.0,0.0,X,1503.7," ,X",26.4,X,30.2,X,22.7,X,CJW00011813,Cayman Islands [United Kingdom],ROBERTS
CJW00011813,"ROBERTS, CJ",19.3,-81.36667,3.0,1974,2841.5,,2841.5,X,149.0,X,76.0,X,0.0,X,0.0,X,0.0,X,365.0,X,34.0,X,15.6,"X,0428,+",97.8," ,X,0520, ",32.8,"X,0909,+",,,,,,,0.0,0.0,0.0,X,1076.7," ,X",26.1,X,29.8,X,22.4,X,CJW00011813,Cayman Islands [United Kingdom],ROBERTS
CJW00011813,"ROBERTS, CJ",19.3,-81.36667,3.0,1975,2834.6,,2834.6,X,137.0,X,82.0,X,0.0,X,0.0,X,0.0,X,363.0,X,41.0,X,15.0,"X,1226, ",100.6," ,X,1119, ",33.3,"X,0705,+",,,,,,,0.0,0.0,0.0,X,1415.0," ,X",26.1,X,30.2,X,22.1,X,CJW00011813,Cayman Islands [United Kingdom],ROBERTS
