STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1951,3561.4,,3561.4,I,99.0,I,90.0,I,0.0,I,0.0,I,0.0,I,365.0,I,327.0,I,6.0,"I,1225, ",104.6," ,I,0804, ",46.0,"I,0409, ",,,,,,,,,,,1881.0," ,I",28.1,I,37.2,I,19.0,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1952,3594.6,,3594.6,I,,,,,0.0,I,0.0,I,0.0,I,366.0,I,281.0,I,11.0,"I,0217,+",,,47.0,"I,0127, ",,,,,,,0.0,0.0,0.0,I,,,28.2,I,36.1,I,20.2,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1953,3430.2,,3430.2,I,69.0,I,61.0,I,0.0,I,0.0,I,0.0,I,364.0,I,271.0,I,11.1,"I,1222, ",36.6," ,I,0820, ",44.0,"I,0424, ",,,,,,,0.0,0.0,0.0,I,861.3," ,I",27.8,I,35.2,I,20.3,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1954,3352.1,,3352.1,I,97.0,I,79.0,I,0.0,I,0.0,I,0.0,I,364.0,I,236.0,I,11.3,"I,0115, ",59.4," ,I,0722, ",44.6,"I,0408, ",,,,,,,0.0,0.0,0.0,I,1191.8," ,I",27.6,I,34.5,I,20.6,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1955,3039.7,,3039.7,I,89.0,I,64.0,I,0.0,I,0.0,I,0.0,I,365.0,I,218.0,I,10.0,"I,1231, ",67.1," ,I,0708, ",42.2,"I,0401,+",,,,,,,0.0,0.0,0.0,I,1096.1," ,I",26.7,I,33.5,I,19.9,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1956,3124.9,,3124.9,I,102.0,I,61.0,I,0.0,I,0.0,I,0.0,I,366.0,I,238.0,I,10.3,"I,0101, ",61.1," ,I,1004, ",41.1,"I,0510, ",,,,,,,0.0,0.0,0.0,I,949.9," ,I",26.9,I,33.8,I,20.0,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1957,3132.5,,3132.5,I,81.0,I,58.0,I,0.0,I,0.0,I,0.0,I,364.0,I,237.0,I,10.7,"I,0112, ",82.5," ,I,0810, ",40.4,"I,0322, ",,,,,,,0.0,0.0,0.0,I,1079.8," ,I",26.9,I,33.8,I,20.1,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1958,3313.6,,3313.6,I,98.0,I,69.0,I,0.0,I,0.0,I,0.0,I,365.0,I,243.0,I,11.9,"I,0108, ",72.0," ,I,0810, ",41.8,"I,0314, ",,,,,,,0.0,0.0,0.0,I,1245.0," ,I",27.4,I,34.2,I,20.6,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1961,2984.4,,2984.4,I,88.0,I,63.0,I,0.0,I,0.0,I,0.0,I,365.0,I,210.0,I,10.6,"I,1214, ",62.7," ,I,0729, ",40.5,"I,0326,+",,,,,,,0.0,0.0,0.0,I,1064.4," ,I",26.5,I,33.2,I,19.9,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1962,3110.7,,3110.7,I,98.0,I,71.0,I,0.0,I,0.0,I,0.0,I,365.0,I,225.0,I,11.5,"I,0115, ",70.0," ,I,0817, ",40.8,"I,0305, ",,,,,,,0.0,0.0,0.0,I,1333.6," ,I",26.9,I,33.4,I,20.3,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1963,3121.2,,3121.2,I,83.0,I,66.0,I,0.0,I,0.0,I,0.0,I,365.0,I,248.0,I,12.2,"I,1209,+",90.4," ,I,0818, ",41.9,"I,0324, ",,,,,,,0.0,0.0,0.0,I,1290.0," ,I",26.9,I,33.7,I,20.1,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1964,3039.6,,3039.6,I,101.0,I,79.0,I,0.0,I,0.0,I,0.0,I,366.0,I,215.0,I,11.5,"I,0111, ",92.7," ,I,0717, ",41.7,"I,0331, ",,,,,,,0.0,0.0,0.0,I,1363.7," ,I",26.6,I,33.3,I,19.9,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1965,3043.9,,3043.9,I,80.0,I,59.0,I,0.0,I,0.0,I,0.0,I,365.0,I,246.0,I,10.2,"I,1214, ",64.3," ,I,0902, ",40.8,"I,0310, ",,,,,,,0.0,0.0,0.0,I,1131.1," ,I",26.7,I,33.8,I,19.6,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1967,3114.3,,3114.3,I,94.0,I,66.0,I,0.0,I,0.0,I,0.0,I,364.0,I,234.0,I,10.2,"I,0103, ",87.2," ,I,0426, ",43.0,"I,0404, ",,,,,,,,,,,1152.0," ,I",26.9,I,34.0,I,19.9,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1968,3125.7,,3125.7,I,75.0,I,53.0,I,0.0,I,0.0,I,0.0,I,366.0,I,241.0,I,10.5,"I,0126, ",49.2," ,I,0814, ",41.3,"I,0416, ",,,,,,,0.0,0.0,0.0,I,800.0," ,I",26.9,I,33.9,I,19.9,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1969,3195.6,,3195.6,I,93.0,I,71.0,I,0.0,I,0.0,I,0.0,I,365.0,I,238.0,I,11.4,"I,0110, ",100.0," ,I,0827, ",41.9,"I,0328, ",,,,,,,0.0,0.0,0.0,I,1447.3," ,I",27.1,I,33.9,I,20.3,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1970,3081.5,,3081.5,I,93.0,I,62.0,I,0.0,I,0.0,I,0.0,I,365.0,I,241.0,I,11.0,"I,1213,+",93.0," ,I,0728, ",42.5,"I,0407, ",,,,,,,0.0,0.0,0.0,I,1254.1," ,I",26.8,I,33.7,I,19.9,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1971,3049.3,,3049.3,I,89.0,I,74.0,I,0.0,I,0.0,I,0.0,I,365.0,I,237.0,I,8.2,"I,1224, ",76.7," ,I,0725, ",41.8,"I,0305, ",,,,,,,0.0,0.0,0.0,I,1003.3," ,I",26.7,I,33.8,I,19.6,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1972,3141.2,,3141.2,I,81.0,I,56.0,I,0.0,I,0.0,I,0.0,I,366.0,I,268.0,I,10.9,"I,0104, ",124.2," ,I,0909, ",48.0,"I,0521, ",,,,,,,0.0,0.0,0.0,I,1145.7," ,I",26.9,I,34.0,I,19.8,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1973,3341.9,,3341.9,I,82.0,I,61.0,I,0.0,I,0.0,I,0.0,I,365.0,I,268.0,I,10.0,"I,1225, ",141.1," ,I,0815, ",42.1,"I,0320, ",,,,,,,0.0,0.0,0.0,I,1065.6," ,I",27.5,I,34.7,I,20.3,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1974,3007.3,,3007.3,I,99.0,I,67.0,I,0.0,I,0.0,I,0.0,I,365.0,I,219.0,I,10.4,"I,1229, ",69.7," ,I,1001, ",41.4,"I,0312, ",,,,,,,0.0,0.0,0.0,I,1032.5," ,I",26.6,I,33.4,I,19.8,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1975,3105.8,,3105.8,I,79.0,I,64.0,I,0.0,I,0.0,I,0.0,I,365.0,I,230.0,I,10.5,"I,0115, ",87.5," ,I,0725, ",41.9,"I,0314, ",,,,,,,0.0,0.0,0.0,I,1187.3," ,I",26.9,I,33.6,I,20.1,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1976,3133.3,,3133.3,I,93.0,I,73.0,I,0.0,I,0.0,I,0.0,I,365.0,I,234.0,I,12.0,"I,1130,+",56.5," ,I,1003, ",40.6,"I,0413,+",,,,,,,0.0,0.0,0.0,I,1186.4," ,I",26.9,I,33.8,I,20.0,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1977,3179.9,,3179.9,I,72.0,I,55.0,I,0.0,I,0.0,I,0.0,I,365.0,I,250.0,I,11.0,"I,1227, ",78.2," ,I,0720, ",43.0,"I,0421, ",,,,,,,0.0,0.0,0.0,I,1031.9," ,I",27.1,I,34.1,I,20.1,I,CD000064706,Chad,MOUNDOU
CD000064706,"MOUNDOU, CD",8.567,16.067,429.0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,I,,,,,,,,,CD000064706,Chad,MOUNDOU
