STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,1980,,,,,113,I,38,I,,,,,,,,,,,,,23.9," ,I,0211, ",,,,,,,,,,,,,331.6," ,I",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,1981,,,,,108,I,38,I,,,,,,,,,,,,,70.1," ,I,0109, ",,,,,,,,,,,,,410.0," ,I",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,1996,,,,,160,I,56,I,,,,,,,,,,,,,46.0," ,I,0313, ",,,,,,,,,,,,,468.8," ,I",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,1997,,,,,140,I,53,I,,,,,,,,,,,,,19.1," ,I,0418, ",,,,,,,,,,,,,416.3," ,I",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,1998,,,,,146,I,52,I,,,,,,,,,,,,,53.1," ,I,0120, ",,,,,,,,,,,,,471.3," ,I",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,2008,,,,,145,S,37,S,,,,,,,,,,,,,26.4," ,S,0319, ",,,,,,,,,,,,,355.1," ,S",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,2013,,,,,142,S,43,S,,,,,,,,,,,,,28.2," ,S,0309, ",,,,,,,,,,,,,349.5," ,S",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,2014,,,,,152,S,28,S,,,,,,,,,,,,,14.5," ,S,0720, ",,,,,,,,,,,,,256.3," ,S",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,2015,,,,,152,S,51,S,,,,,,,,,,,,,24.9," ,S,0607, ",,,,,,,,,,,,,395.1," ,S",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,2018,,,,,144,S,31,S,,,,,,,,,,,,,33.0," ,S,0405, ",,,,,,,,,,,,,325.7," ,S",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,2019,,,,,140,S,33,S,,,,,,,,,,,,,21.1," ,S,0317, ",,,,,,,,,,,,,342.1," ,S",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,2020,,,,,137,S,36,S,,,,,,,,,,,,,14.5," ,S,0125, ",,,,,,,,,,,,,270.7," ,S",,,,,,,CI000085934,Chile,PUNTA ARENAS
CI000085934,"PUNTA ARENAS, CI",-53.0,-70.967,37.0,2023,,,,,58,S,9,S,,,,,,,,,,,,,6.1," ,S,0721, ",,,,,,,,,,,,,70.4," ,S",,,,,,,CI000085934,Chile,PUNTA ARENAS
