STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1951,,,,,136.0,s,91.0,s,,,,,,,,,,,,,73.7," ,s,0708, ",,,,,,,,,,,,,1664.7," ,s",,,,,,,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1952,1286.3,,1286.3,s,136.0,s,97.0,s,0.0,s,25.0,s,2.0,s,200.0,s,55.0,s,-5.8,"s,0219, ",92.8," ,s,0504, ",36.4,"s,0730, ",-1.8,"s,1202",-1.2,"s,0221",-4.0,"s,0220",,,,,1973.5," ,s",17.2,s,20.7,s,13.8,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1953,1371.8,,1371.8,s,151.0,s,105.0,s,0.0,s,12.0,s,1.0,s,189.0,s,66.0,s,-2.5,"s,0119,+",165.6," ,s,0604, ",38.9,"s,0811, ",-0.2,"s,1212",-0.2,"s,0222",-2.5,"s,0119",1585.5,5.0,1585.5,s,2105.7," ,s",17.9,s,21.0,s,14.7,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1954,1266.3,,1266.3,s,145.0,s,101.0,s,0.0,s,26.0,s,2.0,s,209.0,s,45.0,s,-2.6,"s,1215, ",152.6," ,s,0617, ",37.6,"s,0813, ",0.0,"s,1209",-1.4,"s,0313",-2.4,"s,0125",1563.7,7.0,1563.7,s,2356.0," ,s",17.4,s,20.9,s,13.9,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1955,1420.4,,1420.4,s,126.0,s,82.0,s,0.0,s,23.0,s,2.0,s,196.0,s,61.0,s,-7.7,"s,0111, ",184.3," ,s,0618, ",38.0,"s,0912, ",,,-1.6,"s,0221",-5.0,"s,0117",1627.8,8.0,1627.8,s,1736.5," ,s",18.0,s,21.9,s,14.1,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1956,1431.9,,1431.9,s,122.0,s,89.0,s,0.0,s,32.0,s,1.0,s,195.0,s,76.0,s,-5.6,"s,0123, ",85.4," ,s,0522, ",38.0,"s,0711,+",-0.3,"s,1125",-0.8,"s,0301",-2.8,"s,0214",1521.7,7.0,1521.7,s,1578.8," ,s",17.6,s,21.4,s,13.9,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1957,1329.7,,1329.7,s,140.0,s,97.0,s,0.0,s,19.0,s,3.0,s,195.0,s,55.0,s,-6.6,"s,0211, ",83.0," ,s,0424, ",39.2,"s,0723, ",,,-1.1,"s,0314",-2.8,"s,0214",1704.1,1.0,1704.1,s,1703.3," ,s",17.6,s,21.2,s,14.0,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1958,1436.9,,1436.9,s,121.0,s,78.0,s,0.0,s,25.0,s,4.0,s,187.0,s,71.0,s,-5.2,"s,0124, ",79.6," ,s,0510, ",38.5,"s,0819, ",,,-0.2,"s,0303",-4.8,"s,0202",1444.6,6.0,1444.6,s,1322.2," ,s",18.1,s,22.0,s,14.3,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1959,1471.6,,1471.6,s,122.0,s,82.0,s,0.0,s,16.0,s,0.0,s,212.0,s,69.0,s,-5.2,"s,0117, ",151.8," ,s,0617, ",38.5,"s,0730, ",-1.4,"s,1221",-2.2,"s,0123",-2.2,"s,0123",1399.4,4.0,1399.4,s,1458.3," ,s",18.4,s,22.1,s,14.7,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1960,1440.5,,1440.5,s,125.0,s,82.0,s,0.0,s,13.0,s,2.0,s,201.0,s,75.0,s,-7.1,"s,0126, ",95.7," ,s,0624, ",37.4,"s,0719,+",-2.2,"s,1218",-3.4,"s,0127",-3.4,"s,0127",1435.4,4.0,1435.4,s,1249.5," ,s",18.3,s,22.0,s,14.5,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1961,1549.7,,1549.7,s,133.0,s,92.0,s,0.0,s,15.0,s,0.0,s,201.0,s,76.0,s,-3.1,"s,0112, ",88.1," ,s,0914, ",40.6,"s,0723, ",-0.1,"s,1229",-2.2,"s,0217",-2.2,"s,0217",1502.6,6.0,1502.6,s,1323.5," ,s",18.7,s,22.1,s,15.4,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1962,1442.0,,1442.0,s,115.0,s,80.0,s,0.0,s,12.0,s,0.0,s,200.0,s,69.0,s,-3.8,"s,0102, ",125.7," ,s,0618, ",37.9,"s,0718, ",,,-1.8,"s,0202",-3.8,"s,0102",1360.2,2.0,1360.2,s,1944.9," ,s",18.3,s,21.9,s,14.6,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1963,1606.4,,1606.4,s,103.0,s,63.0,s,0.0,s,22.0,s,0.0,s,204.0,s,87.0,s,-3.9,"s,0107, ",82.0," ,s,0627, ",39.1,"s,0831, ",-0.4,"s,1225",-1.9,"s,0211",-3.2,"s,0122",1459.1,1.0,1459.1,s,1046.2," ,s",18.8,s,22.9,s,14.7,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1964,1586.7,,1586.7,s,116.0,s,73.0,s,0.0,s,18.0,s,5.0,s,195.0,s,78.0,s,-4.8,"s,0218, ",188.1," ,s,0618, ",37.7,"s,0723, ",-0.5,"s,1204",-0.8,"s,0227",-2.5,"s,0226",1553.1,1.0,1553.1,s,1240.5," ,s",18.4,s,21.8,s,14.9,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1965,1258.2,,1258.2,s,133.0,s,93.0,s,0.0,s,11.0,s,1.0,s,199.0,s,53.0,s,-3.3,"s,1231,+",109.0," ,s,0707, ",36.8,"s,0719, ",-1.6,"s,1216",-2.3,"s,0112",-2.3,"s,0112",1364.5,5.0,1364.5,s,1527.0," ,s",17.9,s,21.3,s,14.4,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1966,1409.5,,1409.5,s,128.0,s,87.0,s,0.0,s,15.0,s,1.0,s,212.0,s,54.0,s,-5.2,"s,1228, ",119.3," ,s,0630, ",39.7,"s,0811,+",-1.6,"s,1201",-0.7,"s,0224",-3.9,"s,0223",1389.8,8.0,1389.8,s,1357.2," ,s",18.2,s,22.1,s,14.4,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1967,1527.7,,1527.7,s,124.0,s,85.0,s,0.0,s,34.0,s,0.0,s,192.0,s,82.0,s,-7.6,"s,0116, ",96.7," ,s,0620, ",39.0,"s,0718, ",-0.7,"s,1208",-0.1,"s,0305",-2.7,"s,0211",1580.7,7.0,1580.7,s,1519.7," ,s",17.9,s,21.7,s,14.1,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1968,1384.3,,1384.3,s,130.0,s,89.0,s,0.0,s,18.0,s,0.0,s,207.0,s,69.0,s,-3.3,"s,0115, ",95.0," ,s,0608, ",38.3,"s,0731, ",-0.2,"s,1223",-1.2,"s,0221",-3.3,"s,0115",1672.5,5.0,1672.5,s,1339.1," ,s",18.2,s,21.9,s,14.6,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1969,1468.8,,1468.8,s,125.0,s,92.0,s,0.0,s,35.0,s,6.0,s,207.0,s,65.0,s,-6.7,"s,0205, ",129.9," ,s,0519, ",38.8,"s,0802, ",-1.6,"s,1203",-0.1,"s,0226",-2.8,"s,0222",1512.6,6.0,1512.6,s,1608.9," ,s",17.6,s,21.3,s,14.0,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1970,1334.2,,1334.2,s,164.0,s,103.0,s,0.0,s,19.0,s,2.0,s,195.0,s,52.0,s,-5.9,"s,0106,+",126.3," ,s,0608, ",38.0,"s,0817,+",-0.4,"s,1214",0.0,"s,0131",-2.6,"s,0120",1657.1,1.0,1657.1,s,1930.5," ,s",17.4,s,20.7,s,14.2,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1971,1429.0,,1429.0,s,103.0,s,71.0,s,0.0,s,18.0,s,0.0,s,189.0,s,72.0,s,-3.2,"s,0131, ",116.5," ,s,0602, ",39.7,"s,0731, ",-0.9,"s,1207",-0.9,"s,0207",-3.1,"s,0201",1536.3,3.0,1536.3,s,1212.5," ,s",18.0,s,21.8,s,14.1,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1972,1290.7,,1290.7,s,135.0,s,90.0,s,0.0,s,19.0,s,4.0,s,192.0,s,49.0,s,-9.3,"s,0209, ",83.7," ,s,0603, ",36.7,"s,0720,+",-2.6,"s,1213",-1.8,"s,0229",-8.0,"s,0211",1608.5,5.0,1608.5,s,1587.6," ,s",17.5,s,20.9,s,14.0,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1973,1308.8,,1308.8,s,148.0,s,97.0,s,0.0,s,9.0,s,0.0,s,189.0,s,53.0,s,-4.8,"s,1226, ",289.0," ,s,0624, ",37.0,"s,0731, ",-2.3,"s,1222",-0.2,"s,0108",-2.3,"s,0103",1403.9,9.0,1403.9,s,2273.6," ,s",18.2,s,21.4,s,14.9,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1974,1394.5,,1394.5,s,116.0,s,72.0,s,0.0,s,15.0,s,1.0,s,218.0,s,52.0,s,-3.5,"s,0225, ",73.5," ,s,0508, ",37.2,"s,0913, ",,,-0.2,"s,0227",-3.5,"s,0225",1429.2,2.0,1429.2,s,1259.9," ,s",18.0,s,21.6,s,14.4,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1975,1366.0,,1366.0,s,154.0,s,108.0,s,0.0,s,14.0,s,0.0,s,173.0,s,65.0,s,-3.5,"s,1215, ",125.3," ,s,0417, ",38.3,"s,0730, ",-0.3,"s,1124",0.0,"s,0210",,,1393.6,6.0,1393.6,s,2136.4," ,s",18.0,s,21.1,s,14.9,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1976,1334.8,,1334.8,s,127.0,s,85.0,s,0.0,s,15.0,s,1.0,s,196.0,s,54.0,s,-4.9,"s,1230,+",109.6," ,s,0711, ",37.6,"s,0829,+",-0.4,"s,1124",-0.5,"s,0124",,,1585.2,2.0,1585.2,s,1455.3," ,s",17.6,s,21.2,s,14.1,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1977,1326.9,,1326.9,s,146.0,s,98.0,s,0.0,s,32.0,s,7.0,s,208.0,s,46.0,s,-6.9,"s,0130, ",92.8," ,s,0528, ",37.8,"s,0809, ",-0.9,"s,1226",0.0,"s,0222",-2.8,"s,0217",1663.8,8.0,1663.8,s,1789.6," ,s",17.8,s,21.4,s,14.2,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1978,1513.5,,1513.5,s,102.0,s,64.0,s,0.0,s,13.0,s,0.0,s,203.0,s,79.0,s,-3.2,"s,0117, ",109.0," ,s,0611, ",39.0,"s,0715, ",,,0.0,"s,0220",-3.2,"s,0117",1397.9,9.0,1397.9,s,1168.9," ,s",18.5,s,22.4,s,14.6,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1979,1436.7,,1436.7,s,115.0,s,72.0,s,0.0,s,10.0,s,0.0,s,214.0,s,60.0,s,-4.7,"s,0201, ",62.5," ,s,0401, ",37.3,"s,0715, ",-0.1,"s,1119",-2.7,"s,0202",-2.7,"s,0202",1341.5,5.0,1341.5,s,1218.1," ,s",18.6,s,22.4,s,14.8,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1980,1244.1,,1244.1,s,152.0,s,106.0,s,0.0,s,19.0,s,1.0,s,199.0,s,49.0,s,-5.7,"s,0131, ",123.4," ,s,0601, ",37.6,"s,0726, ",-0.4,"s,1224",-2.3,"s,0214",-2.3,"s,0214",1561.1,1.0,1561.1,s,1802.7," ,s",17.5,s,20.9,s,14.1,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1981,1357.4,,1357.4,s,133.0,s,84.0,s,0.0,s,16.0,s,1.0,s,180.0,s,68.0,s,-2.8,"s,0127, ",86.4," ,s,0701, ",38.1,"s,0824, ",-0.2,"s,1202",-0.6,"s,0227",-2.2,"s,0128",1370.2,2.0,1370.2,s,1422.5," ,s",17.7,s,21.0,s,14.4,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1982,1336.6,,1336.6,s,130.0,s,94.0,s,0.0,s,11.0,s,0.0,s,204.0,s,49.0,s,-2.4,"s,0119, ",67.4," ,s,0806, ",37.0,"s,0715, ",-0.9,"s,1206",-1.0,"s,0206",-2.4,"s,0119",1576.2,2.0,1576.2,s,1415.1," ,s",17.9,s,21.3,s,14.6,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1983,1467.1,,1467.1,s,122.0,s,86.0,s,0.0,s,16.0,s,0.0,s,189.0,s,66.0,s,-2.9,"s,0109, ",114.2," ,s,0602, ",39.1,"s,0806, ",-1.6,"s,1229",-1.0,"s,0221",-2.9,"s,0109",1476.6,6.0,1476.6,s,1841.2," ,s",18.3,s,21.7,s,14.9,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1984,1363.4,,1363.4,s,136.0,s,87.0,s,0.0,s,38.0,s,0.0,s,194.0,s,67.0,s,-2.9,"s,1231,+",134.4," ,s,0901, ",38.4,"s,0716, ",-1.7,"s,1219",-0.1,"s,0211",-2.4,"s,0208",1620.9,9.0,1620.9,s,1580.0," ,s",17.4,s,20.8,s,14.1,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1985,1459.3,,1459.3,s,129.0,s,75.0,s,0.0,s,17.0,s,1.0,s,194.0,s,72.0,s,-3.3,"s,1212,+",114.0," ,s,0604, ",37.3,"s,0716, ",-3.0,"s,1209",-0.8,"s,0223",,,1598.1,1.0,1598.1,s,1471.5," ,s",17.9,s,21.3,s,14.4,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1986,1408.1,,1408.1,s,111.0,s,73.0,s,0.0,s,9.0,s,0.0,s,190.0,s,65.0,s,-2.0,"s,0105, ",137.0," ,s,0623, ",37.8,"s,0730, ",-1.1,"s,1220",-0.8,"s,0302",,,1489.2,2.0,1489.2,s,1313.6," ,s",18.2,s,21.9,s,14.5,s,CHM00058606,China,NANCHANG
CHM00058606,"NANCHANG, CH",28.6,115.917,50.0,1987,1396.6,,1396.6,s,143.0,s,99.0,s,0.0,s,8.0,s,0.0,s,202.0,s,55.0,s,-1.3,"s,0204, ",65.3," ,s,0815, ",37.6,"s,0721, ",-0.3,"s,1129",-0.1,"s,0221",,,1420.8,8.0,1420.8,s,1498.5," ,s",18.3,s,21.9,s,14.6,s,CHM00058606,China,NANCHANG
