STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
KT000096995,"CHRISTMAS ISLAND AE, KT",-10.45,105.683,262.0,1973,,,,,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,19.5,"G,0315, ",,,30.5,"G,0305, ",,,,,,,0.0,0.0,0.0,G,,,25.1,G,27.2,G,23.1,G,KT000096995,Christmas Island [Australia],CHRISTMAS ISLAND AE
KT000096995,"CHRISTMAS ISLAND AE, KT",-10.45,105.683,262.0,1974,2386.9,,2386.9,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,19.0,"G,1227, ",,,30.6,"G,1222, ",,,,,,,0.0,0.0,0.0,G,,,24.7,G,26.8,G,22.6,G,KT000096995,Christmas Island [Australia],CHRISTMAS ISLAND AE
KT000096995,"CHRISTMAS ISLAND AE, KT",-10.45,105.683,262.0,1975,2309.9,,2309.9,G,,,,,0.0,G,0.0,G,0.0,G,364.0,G,0.0,G,18.7,"G,1219, ",,,29.8,"G,0128, ",,,,,,,0.0,0.0,0.0,G,,,24.6,G,26.7,G,22.5,G,KT000096995,Christmas Island [Australia],CHRISTMAS ISLAND AE
KT000096995,"CHRISTMAS ISLAND AE, KT",-10.45,105.683,262.0,1976,2264.1,,2264.1,G,,,,,0.0,G,0.0,G,0.0,G,364.0,G,0.0,G,18.0,"G,1111, ",,,30.3,"G,0220, ",,,,,,,0.0,0.0,0.0,G,,,24.5,G,26.7,G,22.3,G,KT000096995,Christmas Island [Australia],CHRISTMAS ISLAND AE
KT000096995,"CHRISTMAS ISLAND AE, KT",-10.45,105.683,262.0,1977,2299.3,,2299.3,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,18.6,"G,1218,+",,,30.5,"G,0113, ",,,,,,,0.0,0.0,0.0,G,,,24.8,G,27.0,G,22.6,G,KT000096995,Christmas Island [Australia],CHRISTMAS ISLAND AE
KT000096995,"CHRISTMAS ISLAND AE, KT",-10.45,105.683,262.0,1978,2318.1,,2318.1,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,17.2,"G,0710, ",,,30.4,"G,0220, ",,,,,,,0.0,0.0,0.0,G,,,24.6,G,26.7,G,22.6,G,KT000096995,Christmas Island [Australia],CHRISTMAS ISLAND AE
KT000096995,"CHRISTMAS ISLAND AE, KT",-10.45,105.683,262.0,1980,2366.6,,2366.6,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KT000096995,Christmas Island [Australia],CHRISTMAS ISLAND AE
KT000096995,"CHRISTMAS ISLAND AE, KT",-10.45,105.683,262.0,1987,,,,,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,19.2,"G,1225,+",,,29.8,"G,1118, ",,,,,,,0.0,0.0,0.0,G,,,25.3,G,27.8,G,22.8,G,KT000096995,Christmas Island [Australia],CHRISTMAS ISLAND AE
KT000096995,"CHRISTMAS ISLAND AE, KT",-10.45,105.683,262.0,1988,2541.2,,2541.2,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,18.6,"G,1021, ",,,30.7,"G,0304, ",,,,,,,0.0,0.0,0.0,G,,,25.3,G,27.7,G,22.8,G,KT000096995,Christmas Island [Australia],CHRISTMAS ISLAND AE
KT000096995,"CHRISTMAS ISLAND AE, KT",-10.45,105.683,262.0,1989,2415.3,,2415.3,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,18.4,"G,0619,+",,,30.1,"G,1207, ",,,,,,,0.0,0.0,0.0,G,,,25.1,G,27.8,G,22.5,G,KT000096995,Christmas Island [Australia],CHRISTMAS ISLAND AE
