STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CK000096996,"COCOS ISLAND AERO, CK",-12.183,96.833,4.0,1953,3049.6,,3049.6,G,,,,,0.0,G,0.0,G,0,G,365,G,1,G,20.6,"G,0809,+",,,32.2,"G,0417, ",,,,,,,0.0,0.0,0.0,G,,,26.8,G,29.4,G,24.1,G,CK000096996,Cocos (Keeling) Islands [Australia],COCOS ISLAND AERO
CK000096996,"COCOS ISLAND AERO, CK",-12.183,96.833,4.0,1954,3081.5,,3081.5,G,,,,,0.0,G,0.0,G,0,G,364,G,0,G,21.8,"G,1103,+",,,31.7,"G,0208, ",,,,,,,0.0,0.0,0.0,G,,,26.8,G,29.1,G,24.4,G,CK000096996,Cocos (Keeling) Islands [Australia],COCOS ISLAND AERO
CK000096996,"COCOS ISLAND AERO, CK",-12.183,96.833,4.0,1955,3028.5,,3028.5,G,,,,,0.0,G,0.0,G,0,G,364,G,0,G,18.3,"G,0821, ",,,31.7,"G,0411,+",,,,,,,0.0,0.0,0.0,G,,,26.5,G,28.8,G,24.1,G,CK000096996,Cocos (Keeling) Islands [Australia],COCOS ISLAND AERO
CK000096996,"COCOS ISLAND AERO, CK",-12.183,96.833,4.0,1956,2925.8,,2925.8,G,,,,,0.0,G,0.0,G,0,G,366,G,0,G,20.8,"G,0716, ",,,30.9,"G,0414, ",,,,,,,0.0,0.0,0.0,G,,,26.4,G,28.7,G,24.0,G,CK000096996,Cocos (Keeling) Islands [Australia],COCOS ISLAND AERO
CK000096996,"COCOS ISLAND AERO, CK",-12.183,96.833,4.0,1957,3008.2,,3008.2,G,,,,,0.0,G,0.0,G,0,G,365,G,0,G,20.6,"G,0713, ",,,31.6,"G,0122, ",,,,,,,0.0,0.0,0.0,G,,,26.8,G,29.3,G,24.2,G,CK000096996,Cocos (Keeling) Islands [Australia],COCOS ISLAND AERO
CK000096996,"COCOS ISLAND AERO, CK",-12.183,96.833,4.0,1958,3174.0,,3174.0,G,,,,,0.0,G,0.0,G,0,G,365,G,3,G,20.3,"G,0815, ",,,32.3,"G,0206, ",,,,,,,0.0,0.0,0.0,G,,,27.1,G,29.7,G,24.5,G,CK000096996,Cocos (Keeling) Islands [Australia],COCOS ISLAND AERO
CK000096996,"COCOS ISLAND AERO, CK",-12.183,96.833,4.0,1959,3116.1,,3116.1,G,,,,,0.0,G,0.0,G,0,G,365,G,0,G,20.6,"G,0915, ",,,31.9,"G,0313, ",,,,,,,0.0,0.0,0.0,G,,,26.9,G,29.3,G,24.6,G,CK000096996,Cocos (Keeling) Islands [Australia],COCOS ISLAND AERO
CK000096996,"COCOS ISLAND AERO, CK",-12.183,96.833,4.0,1960,2966.2,,2966.2,G,,,,,0.0,G,0.0,G,0,G,364,G,0,G,20.4,"G,0910, ",,,30.9,"G,1212, ",,,,,,,0.0,0.0,0.0,G,,,26.3,G,28.7,G,23.9,G,CK000096996,Cocos (Keeling) Islands [Australia],COCOS ISLAND AERO
CK000096996,"COCOS ISLAND AERO, CK",-12.183,96.833,4.0,1961,2946.0,,2946.0,G,,,,,0.0,G,0.0,G,0,G,365,G,0,G,20.4,"G,0309, ",,,31.5,"G,0207, ",,,,,,,0.0,0.0,0.0,G,,,26.5,G,29.0,G,24.0,G,CK000096996,Cocos (Keeling) Islands [Australia],COCOS ISLAND AERO
CK000096996,"COCOS ISLAND AERO, CK",-12.183,96.833,4.0,1962,3019.7,,3019.7,G,,,,,0.0,G,0.0,G,0,G,365,G,0,G,21.0,"G,0802, ",,,30.9,"G,0120, ",,,,,,,0.0,0.0,0.0,G,,,26.5,G,28.9,G,24.1,G,CK000096996,Cocos (Keeling) Islands [Australia],COCOS ISLAND AERO
