STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1963,,,,,,,,,0.0,S,5.0,S,,,,,,,-2.2,"S,1214, ",,,,,0.0,"S,1129",0.0,"S,0118",,,,,,,,,,,,,7.8,S,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1965,,,,,,,,,0.0,S,22.0,S,,,,,,,-3.9,"S,0206, ",,,,,0.0,"S,0823",0.0,"S,0310",-2.2,"S,0226",,,,,,,,,,,5.7,S,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1972,,,,,148.0,I,83.0,I,0.0, ,4.0,G,,,,,,,-2.5,"G,1228, ",25.0," ,I,0408, ",,,-2.5,"G,1228",0.0,"I,0603",,,,,,,793.0," ,I",,,,,7.3,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1973,,,,,162.0,I,83.0,I,0.0, ,11.0,G,,,,,,,-4.9,"G,0219, ",32.0," ,I,0904, ",,,0.0,"I,0925",0.0,"I,0417",-2.4,"G,0226",,,,,816.0," ,I",,,,,6.6,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1974,,,,,148.0,I,80.0,I,0.0, ,4.0,G,,,,,,,-6.0,"G,1224, ",30.0," ,I,1121, ",,,-1.2,"G,1223",,,,,,,,,848.0," ,I",,,,,6.8,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1975,,,,,165.0,I,87.0,I,0.0, ,3.0,G,,,,,,,-0.1,"G,0113, ",33.0," ,I,1015, ",,,,,0.0,"I,0220",,,,,,,863.0," ,I",,,,,7.1,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1976,,,,,141.0,I,81.0,I,0.0, ,4.0,G,,,,,,,-1.7,"G,0111, ",36.0," ,I,1006, ",,,-0.6,"G,0809",0.0,"G,0119",,,,,,,874.0," ,I",,,,,7.2,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1977,,,,,118.0,I,68.0,I,0.0,G,16.0,G,,,,,,,-3.6,"G,0204, ",27.0," ,I,0928,+",,,-1.5,"G,0823",0.0,"I,0307",-3.6,"G,0204",,,,,690.0," ,I",,,,,6.8,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1978,,,,,142.0,I,73.0,I,0.0,G,22.0,G,,,,,,,-3.2,"G,0314, ",20.0," ,I,0926,+",,,0.0,"I,0804",0.0,"I,0709",-3.2,"G,0314",,,,,667.0," ,I",,,,,6.6,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1979,,,,,151.0,I,104.0,I,0.0,G,19.0,G,,,,,,,-3.0,"G,0204,+",39.0," ,I,0714, ",,,0.0,"I,0819",0.0,"I,0614",-3.0,"G,0204",,,,,994.0," ,I",,,,,7.4,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1980,0.0,,0.0,G,129.0,I,60.0,I,0.0,G,5.0,G,0.0,G,44.0,G,0.0,G,-3.7,"G,0214, ",24.0," ,I,1220,+",23.4,"G,0213, ",0.0,"I,1224",-3.7,"G,0214",-3.7,"G,0214",,,,,606.0," ,I",13.3,G,19.5,G,7.1,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1981,0.0,,0.0,G,157.0,I,93.0,I,0.0,G,6.0,G,0.0,G,30.0,G,0.0,G,-0.8,"G,0105, ",46.0," ,I,0413, ",22.2,"G,0604,+",,,-0.4,"G,0128",,,1840.4,4.0,1840.4,G,874.0," ,I",13.4,G,19.2,G,7.5,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1982,0.0,,0.0,G,159.0,I,83.0,I,0.0,G,4.0,G,0.0,G,17.0,G,0.0,G,-1.7,"G,0120, ",42.0," ,I,0404, ",22.6,"G,0120, ",-0.3,"G,0809",0.0,"G,0124",,,1781.8,8.0,1781.8,G,801.0," ,I",13.5,G,19.1,G,8.0,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1983,0.0,,0.0,G,144.0,I,80.0,I,0.0,G,1.0,G,0.0,G,52.0,G,0.0,G,0.0,"G,1126, ",43.0," ,I,1230, ",23.6,"G,0319, ",0.0,"I,1126",,,,,1668.7,7.0,1668.7,G,898.0," ,I",13.7,G,19.6,G,7.8,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1984,0.0,,0.0,G,168.0,I,97.0,I,0.0,G,3.0,G,0.0,G,8.0,G,0.0,G,-0.4,"G,0313, ",43.0," ,I,0129, ",21.7,"G,0312, ",0.0,"I,1212",-0.4,"G,0313",,,1893.1,1.0,1893.1,G,931.0," ,I",12.9,G,18.6,G,7.3,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1985,0.0,,0.0,G,122.0,I,71.0,I,0.0,G,13.0,G,0.0,G,25.0,G,0.0,G,-4.4,"G,0204, ",36.0," ,I,0912, ",23.4,"G,0309, ",-1.0,"G,1216",0.0,"G,0321",-4.1,"G,0205",2008.1,1.0,2008.1,G,704.0," ,I",12.7,G,19.0,G,6.5,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1986,0.0,,0.0,G,,,,,0.0,G,3.0,G,0.0,G,14.0,G,0.0,G,-2.8,"G,1226, ",,,22.2,"G,0113, ",-2.8,"G,1226",0.0,"I,0417",,,1963.7,7.0,1963.7,G,,,13.1,G,18.8,G,7.5,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1987,0.0,,0.0,G,,,,,0.0,G,7.0,G,0.0,G,62.0,G,0.0,G,-1.9,"G,1217, ",,,22.6,"G,0325, ",-1.9,"G,1217",0.0,"G,0122",,,1839.5,5.0,1839.5,G,,,13.5,G,19.7,G,7.4,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1988,,,,,171.0,I,93.0,I,,,,,,,,,,,,,36.0," ,I,0412, ",,,,,,,,,1768.7,7.0,1768.7,G,942.0," ,I",,,,,,,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1989,0.0,,0.0,G,141.0,I,76.0,I,0.0,G,4.0,G,0.0,G,20.0,G,0.0,G,-1.8,"G,1219, ",30.0," ,I,0316, ",22.2,"G,1219, ",-0.3,"G,0803",0.0,"I,0406",,,,,,,681.0," ,I",12.9,G,19.0,G,6.9,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1990,0.0,,0.0,G,139.0,I,79.0,I,0.0,G,0.0,G,0.0,G,19.0,G,0.0,G,0.9,"G,0218, ",64.0," ,I,0423, ",21.9,"G,0329, ",,,,,,,1849.0,0.0,1849.0,G,951.0," ,I",13.4,G,19.0,G,7.7,G,CO000080222,Colombia,BOGOTA/ELDORADO
CO000080222,"BOGOTA ELDORADO, CO",4.701,-74.15,2548.0,1991,0.0,,0.0,G,134.0,I,68.0,I,0.0,G,9.0,G,0.0,G,32.0,G,0.0,G,-2.2,"G,0126, ",42.0," ,I,0430, ",22.9,"G,0201, ",0.0,"I,0817",0.0,"I,0719",-2.2,"G,0126",1723.4,4.0,1723.4,G,737.0," ,I",13.6,G,19.3,G,7.9,G,CO000080222,Colombia,BOGOTA/ELDORADO
