STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1971,2554.2,,2554.2,G,,,,,0.0,G,0.0,G,0.0,G,363.0,G,9.0,G,17.4,"G,0402, ",,,33.7,"G,0909, ",,,,,,,,,,,,,25.4,G,29.8,G,21.0,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1972,2756.0,,2756.0,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,26.0,G,17.7,"G,0225, ",,,33.6,"G,0618, ",,,,,,,0.0,0.0,0.0,G,,,25.9,G,30.0,G,21.8,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1973,2897.3,,2897.3,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,83.0,G,17.2,"G,1224, ",,,34.4,"G,0506, ",,,,,,,0.0,0.0,0.0,G,,,26.3,G,30.8,G,21.8,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1974,2685.1,,2685.1,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,43.0,G,15.0,"G,0119, ",,,33.3,"G,0917, ",,,,,,,0.0,0.0,0.0,G,,,25.7,G,30.3,G,21.0,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1975,2689.8,,2689.8,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,41.0,G,17.0,"G,1230, ",,,35.0,"G,0613, ",,,,,,,0.0,0.0,0.0,G,,,25.7,G,30.4,G,21.0,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1976,2625.6,,2625.6,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,37.0,G,13.2,"G,1228, ",,,33.9,"G,1006, ",,,,,,,0.0,0.0,0.0,G,,,25.5,G,30.2,G,20.9,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1977,2641.8,,2641.8,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,16.0,G,15.8,"G,0302, ",,,33.3,"G,0610, ",,,,,,,0.0,0.0,0.0,G,,,25.6,G,30.0,G,21.1,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1978,2844.2,,2844.2,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,53.0,G,16.9,"G,0106, ",,,35.0,"G,0502, ",,,,,,,0.0,0.0,0.0,G,,,26.1,G,30.6,G,21.6,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1979,,,,,196.0,I,147.0,I,0.0,G,0.0,G,,,,,,,15.0,"G,0120, ",191.2," ,I,0406, ",,,,,,,,,0.0,0.0,0.0,G,2862.5," ,I",,,,,21.7,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1980,2847.6,,2847.6,G,221.0,I,160.0,I,0.0,G,0.0,G,0.0,G,366.0,G,23.0,G,17.8,"G,0305, ",157.4," ,I,1217, ",33.3,"G,0526, ",,,,,,,,,,,3425.7," ,I",26.1,G,30.4,G,21.9,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1981,2805.5,,2805.5,G,212.0,I,147.0,I,0.0,G,0.0,G,0.0,G,365.0,G,55.0,G,16.9,"G,0123, ",176.3," ,I,1210, ",33.9,"G,0527, ",,,,,,,0.0,0.0,0.0,G,3105.2," ,I",26.1,G,30.4,G,21.7,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1982,2953.2,,2953.2,G,215.0,I,165.0,I,0.0,G,0.0,G,0.0,G,365.0,G,65.0,G,18.4,"G,0304,+",308.4," ,I,0726, ",34.3,"G,0518, ",,,,,,,0.0,0.0,0.0,G,3773.0," ,I",26.4,G,30.9,G,21.9,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1983,3096.9,,3096.9,G,212.0,I,151.0,I,0.0,G,0.0,G,0.0,G,365.0,G,95.0,G,18.1,"G,1208, ",160.2," ,I,0508, ",34.5,"G,1120, ",,,,,,,0.0,0.0,0.0,G,3274.5," ,I",26.8,G,31.0,G,22.6,G,CS000081003,Costa Rica,PUERTO LIMON
CS000081003,"PUERTO LIMON, CS",9.967,-83.017,3.0,1984,2794.2,,2794.2,G,206.0,I,149.0,I,0.0,G,0.0,G,0.0,G,366.0,G,49.0,G,17.7,"G,1222, ",100.3," ,I,0404, ",33.6,"G,0413, ",,,,,,,0.0,0.0,0.0,G,3190.2," ,I",26.0,G,30.5,G,21.4,G,CS000081003,Costa Rica,PUERTO LIMON
