STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1862,,,,,111,E,77,E,,,,,,,,,,,,,39.8," ,E,0708, ",,,,,,,,,,,,,780.5," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1863,,,,,75,E,56,E,,,,,,,,,,,,,37.9," ,E,1109, ",,,,,,,,,,,,,646.7," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1864,,,,,123,E,82,E,,,,,,,,,,,,,71.4," ,E,0921, ",,,,,,,,,,,,,1042.1," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1865,,,,,86,E,57,E,,,,,,,,,,,,,49.8," ,E,0619, ",,,,,,,,,,,,,772.4," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1866,,,,,109,E,73,E,,,,,,,,,,,,,62.0," ,E,0724, ",,,,,,,,,,,,,1075.2," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1867,,,,,101,E,77,E,,,,,,,,,,,,,55.9," ,E,1005, ",,,,,,,,,,,,,941.6," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1868,,,,,115,E,70,E,,,,,,,,,,,,,50.9," ,E,1226, ",,,,,,,,,,,,,751.7," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1869,,,,,129,E,80,E,,,,,,,,,,,,,47.8," ,E,0610, ",,,,,,,,,,,,,924.5," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1870,,,,,141,E,84,E,,,,,,,,,,,,,57.9," ,E,0830, ",,,,,,,,,,,,,1105.3," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1871,,,,,138,E,89,E,,,,,,,,,,,,,59.9," ,E,1003, ",,,,,,,,,,,,,923.3," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1872,,,,,137,E,89,E,,,,,,,,,,,,,62.3," ,E,1024, ",,,,,,,,,,,,,989.9," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1873,,,,,118,E,76,E,,,,,,,,,,,,,30.7," ,E,0504, ",,,,,,,,,,,,,805.6," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1874,,,,,136,E,79,E,,,,,,,,,,,,,57.3," ,E,0815, ",,,,,,,,,,,,,1032.8," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1875,,,,,124,E,71,E,,,,,,,,,,,,,58.2," ,E,1024, ",,,,,,,,,,,,,888.9," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1876,,,,,143,E,94,E,,,,,,,,,,,,,50.1," ,E,0912, ",,,,,,,,,,,,,1184.3," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1877,,,,,118,E,69,E,,,,,,,,,,,,,40.7," ,E,0112, ",,,,,,,,,,,,,672.2," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
HR000142360,"ZAGREB GRIC, HR",45.8167,15.9781,157.0,1878,,,,,128,E,84,E,,,,,,,,,,,,,50.0," ,E,0726, ",,,,,,,,,,,,,1194.6," ,E",,,,,,,HR000142360,Croatia,ZAGREB-GRIC
