STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CY000176090,"LARNACA, CY",34.8831,33.6331,1.0,1977,1080.9,,1080.9,E,,,,,0.0,E,0.0,E,0.0,E,238.0,E,41.0,E,1.5,"E,0105, ",,,37.9,"E,0717, ",,,,,,,771.3,3.0,771.3,E,,,19.0,E,24.4,E,13.7,E,CY000176090,Cyprus,LARNACA
CY000176090,"LARNACA, CY",34.8831,33.6331,1.0,1978,1070.7,,1070.7,E,,,,,0.0,E,0.0,E,0.0,E,219.0,E,50.0,E,3.8,"E,0224, ",,,39.9,"E,0709, ",,,,,,,755.0,0.0,755.0,E,,,19.2,E,24.7,E,13.6,E,CY000176090,Cyprus,LARNACA
CY000176090,"LARNACA, CY",34.8831,33.6331,1.0,1979,1107.0,,1107.0,E,,,,,0.0,E,0.0,E,0.0,E,239.0,E,38.0,E,0.8,"E,1229, ",,,38.5,"E,0716, ",,,,,,,699.8,8.0,699.8,E,,,19.5,E,24.8,E,14.2,E,CY000176090,Cyprus,LARNACA
CY000176090,"LARNACA, CY",34.8831,33.6331,1.0,1980,1021.4,,1021.4,E,45.0,S,22.0,S,0.0,E,1.0,E,0.0,E,237.0,E,27.0,E,-0.9,"E,0130, ",26.9," ,S,0214, ",38.2,"E,0710, ",,,-0.9,"G,0130",,,854.7,7.0,854.7,E,251.6," ,S",18.7,E,24.1,E,13.3,E,CY000176090,Cyprus,LARNACA
CY000176090,"LARNACA, CY",34.8831,33.6331,1.0,1981,1137.9,,1137.9,E,61.0,S,33.0,S,0.0,E,0.0,E,0.0,E,226.0,E,50.0,E,3.4,"E,0301, ",70.1," ,S,0403, ",37.5,"E,0701, ",,,,,,,759.2,2.0,759.2,E,463.6," ,S",19.3,E,24.8,E,13.8,E,CY000176090,Cyprus,LARNACA
CY000176090,"LARNACA, CY",34.8831,33.6331,1.0,1982,1044.6,,1044.6,E,,,,,0.0,E,0.0,E,0.0,E,219.0,E,39.0,E,0.2,"E,0215, ",,,39.6,"E,0825, ",,,,,,,873.0,0.0,873.0,E,,,18.5,E,23.9,E,13.1,E,CY000176090,Cyprus,LARNACA
CY000176090,"LARNACA, CY",34.8831,33.6331,1.0,1983,996.7,,996.7,E,,,,,0.0,E,4.0,E,0.0,E,233.0,E,31.0,E,-1.0,"E,0306, ",,,37.0,"E,0726, ",,,0.0,"G,0307",,,1047.2,2.0,1047.2,E,,,18.5,E,23.9,E,13.2,E,CY000176090,Cyprus,LARNACA
CY000176090,"LARNACA, CY",34.8831,33.6331,1.0,1984,1017.1,,1017.1,E,,,,,0.0,E,0.0,E,0.0,E,217.0,E,26.0,E,3.7,"E,0315, ",,,35.4,"E,0609, ",,,,,,,721.6,6.0,721.6,E,,,18.9,E,24.3,E,13.4,E,CY000176090,Cyprus,LARNACA
CY000176090,"LARNACA, CY",34.8831,33.6331,1.0,1985,1061.4,,1061.4,E,,,,,0.0,E,4.0,E,0.0,E,239.0,E,39.0,E,-0.9,"E,0227, ",,,37.6,"E,0824, ",,,-0.2,"G,0301",,,851.7,7.0,851.7,E,,,19.1,E,24.2,E,13.9,E,CY000176090,Cyprus,LARNACA
CY000176090,"LARNACA, CY",34.8831,33.6331,1.0,1986,1115.3,,1115.3,G,,,,,0.0,G,0.0,G,0.0,G,232.0,G,27.0,G,1.5,"G,0120, ",,,36.4,"G,0901, ",,,,,,,652.7,7.0,652.7,G,,,19.3,G,24.5,G,14.1,G,CY000176090,Cyprus,LARNACA
