STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
EZ000011464,"MILESOVKA, EZ",50.5544,13.9314,833.0,1907,4.6,,4.6,G,,,,,3.0,G,160.0,G,89.0,G,16.0,G,0.0,G,-22.5,"G,0123, ",,,27.3,"G,0806, ",-1.1,"G,1102",-0.2,"G,0519",-3.5,"G,0427",4995.9,9.0,4995.9,G,,,4.6,G,7.5,G,1.8,G,EZ000011464,Czech Republic,MILESOVKA
EZ000011464,"MILESOVKA, EZ",50.5544,13.9314,833.0,1908,16.4,,16.4,G,,,,,2.0,G,171.0,G,96.0,G,19.0,G,0.0,G,-18.1,"G,1230, ",,,26.6,"G,0712, ",-4.5,"G,1018",-2.8,"G,0422",-2.8,"G,0422",4870.3,3.0,4870.3,G,,,4.4,G,7.1,G,1.7,G,EZ000011464,Czech Republic,MILESOVKA
EZ000011464,"MILESOVKA, EZ",50.5544,13.9314,833.0,1909,3.3,,3.3,G,,,,,0.0,G,161.0,G,103.0,G,13.0,G,0.0,G,-14.6,"G,0129, ",,,24.8,"G,0602, ",-1.0,"G,1026",-1.3,"G,0514",-3.2,"G,0416",5173.7,7.0,5173.7,G,,,4.4,G,7.1,G,1.7,G,EZ000011464,Czech Republic,MILESOVKA
EZ000011464,"MILESOVKA, EZ",50.5544,13.9314,833.0,1910,0.0,,0.0,G,,,,,0.0,G,149.0,G,70.0,G,14.0,G,0.0,G,-9.3,"G,0124, ",,,23.8,"G,0605, ",-0.5,"G,1014",-0.9,"G,0509",-4.0,"G,0423",4674.6,6.0,4674.6,G,,,5.3,G,7.9,G,2.6,G,EZ000011464,Czech Republic,MILESOVKA
EZ000011464,"MILESOVKA, EZ",50.5544,13.9314,833.0,1911,75.8,,75.8,G,,,,,0.0,G,150.0,G,85.0,G,40.0,G,0.0,G,-13.0,"G,0131, ",,,28.6,"G,0728,+",-0.6,"G,1010",-2.0,"G,0521",-4.5,"G,0414",4847.0,0.0,4847.0,G,,,6.0,G,8.9,G,3.0,G,EZ000011464,Czech Republic,MILESOVKA
EZ000011464,"MILESOVKA, EZ",50.5544,13.9314,833.0,1912,3.7,,3.7,G,,,,,2.0,G,145.0,G,62.0,G,15.0,G,0.0,G,-18.0,"G,0115, ",,,24.7,"G,0728, ",-0.5,"G,0925",-0.5,"G,0505",-3.0,"G,0430",4536.7,7.0,4536.7,G,,,4.6,G,7.5,G,1.8,G,EZ000011464,Czech Republic,MILESOVKA
EZ000011464,"MILESOVKA, EZ",50.5544,13.9314,833.0,1913,3.5,,3.5,G,,,,,0.0,G,131.0,G,61.0,G,9.0,G,0.0,G,-15.6,"G,0115, ",,,24.5,"G,0603, ",-1.0,"G,1012",-1.5,"G,0509",-4.3,"G,0416",4946.8,8.0,4946.8,G,,,5.2,G,8.1,G,2.3,G,EZ000011464,Czech Republic,MILESOVKA
EZ000011464,"MILESOVKA, EZ",50.5544,13.9314,833.0,1914,14.6,,14.6,G,,,,,0.0,G,145.0,G,60.0,G,27.0,G,0.0,G,-13.7,"G,0113, ",,,25.2,"G,0715, ",0.0,"G,0928",-0.9,"G,0513",-4.0,"G,0502",4746.3,3.0,4746.3,G,,,5.5,G,8.5,G,2.6,G,EZ000011464,Czech Republic,MILESOVKA
EZ000011464,"MILESOVKA, EZ",50.5544,13.9314,833.0,1915,28.0,,28.0,G,,,,,0.0,G,168.0,G,85.0,G,29.0,G,0.0,G,-14.4,"G,1129, ",,,28.9,"G,0610, ",-0.2,"G,1019",-2.3,"G,0515",-2.3,"G,0515",4668.3,3.0,4668.3,G,,,5.1,G,8.3,G,1.9,G,EZ000011464,Czech Republic,MILESOVKA
EZ000011464,"MILESOVKA, EZ",50.5544,13.9314,833.0,1916,0.3,,0.3,G,,,,,0.0,G,135.0,G,51.0,G,16.0,G,0.0,G,-11.5,"G,0222, ",,,23.9,"G,0704, ",-0.5,"G,1001",0.0,"G,0421",-2.5,"G,0416",4651.1,1.0,4651.1,G,,,5.8,G,8.8,G,2.8,G,EZ000011464,Czech Republic,MILESOVKA
