STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",55.6831,12.5331,9.0,1874,,,,,128.0,E,73.0,E,,,,,,,,,,,,,18.4," ,E,0712, ",,,,,,,,,,,,,517.0," ,E",,,,,,,DA000030380,Denmark,KOEBENHAVN: LANDBOHOJSKOLEN-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",55.6831,12.5331,9.0,1875,,,,,111.0,E,50.0,E,0.0,E,135.0,E,,,,,,,-14.2,"E,0323, ",22.7," ,E,1114, ",,,-3.2,"E,0925",-0.7,"E,0502",-2.2,"E,0425",,,,,449.8," ,E",,,,,2.9,E,DA000030380,Denmark,KOEBENHAVN: LANDBOHOJSKOLEN-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",55.6831,12.5331,9.0,1876,29.1,,29.1,E,148.0,E,73.0,E,0.0,E,117.0,E,31.0,E,59.0,E,0.0,E,-12.6,"E,1226, ",15.5," ,E,0708, ",29.6,"E,0814, ",-2.8,"E,1102",-1.0,"E,0519",-2.9,"E,0414",3866.2,2.0,3866.2,E,515.9," ,E",7.4,E,11.2,E,3.7,E,DA000030380,Denmark,KOEBENHAVN: LANDBOHOJSKOLEN-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",55.6831,12.5331,9.0,1877,5.4,,5.4,E,191.0,E,82.0,E,0.0,E,126.0,E,22.0,E,33.0,E,0.0,E,-11.4,"E,0301, ",25.6," ,E,0716, ",26.9,"E,0605, ",-1.1,"E,0922",-2.8,"E,0507",-2.8,"E,0507",3948.2,2.0,3948.2,E,681.4," ,E",6.8,E,10.2,E,3.4,E,DA000030380,Denmark,KOEBENHAVN: LANDBOHOJSKOLEN-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",55.6831,12.5331,9.0,1878,21.1,,21.1,E,153.0,E,62.0,E,0.0,E,120.0,E,10.0,E,46.0,E,0.0,E,-12.2,"E,0118, ",24.3," ,E,1129, ",27.7,"E,0807, ",-1.0,"E,1102",-1.2,"E,0511",-2.2,"E,0327",3946.8,8.0,3946.8,E,517.1," ,E",8.0,E,11.9,E,4.1,E,DA000030380,Denmark,KOEBENHAVN: LANDBOHOJSKOLEN-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",55.6831,12.5331,9.0,1879,3.4,,3.4,E,141.0,E,59.0,E,0.0,E,150.0,E,64.0,E,23.0,E,0.0,E,-15.0,"E,1204,+",20.2," ,E,0823, ",26.2,"E,0814, ",-0.2,"E,1016",-1.9,"E,0512",-2.4,"E,0412",4032.6,6.0,4032.6,E,519.8," ,E",5.9,E,9.5,E,2.3,E,DA000030380,Denmark,KOEBENHAVN: LANDBOHOJSKOLEN-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",55.6831,12.5331,9.0,1880,27.1,,27.1,E,143.0,E,62.0,E,0.0,E,140.0,E,20.0,E,53.0,E,0.0,E,-11.4,"E,0119, ",33.2," ,E,0725, ",28.2,"E,0814, ",-1.0,"E,1004",-3.4,"E,0519",-3.4,"E,0519",4155.8,8.0,4155.8,E,588.8," ,E",7.3,E,11.4,E,3.3,E,DA000030380,Denmark,KOEBENHAVN: LANDBOHOJSKOLEN-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",55.6831,12.5331,9.0,1881,23.1,,23.1,E,134.0,E,57.0,E,0.0,E,140.0,E,40.0,E,43.0,E,0.0,E,-16.8,"E,0122, ",33.4," ,E,0726, ",30.3,"E,0715, ",-1.5,"E,0925",-0.8,"E,0512",-3.0,"E,0423",4151.6,6.0,4151.6,E,499.1," ,E",6.2,E,9.9,E,2.4,E,DA000030380,Denmark,KOEBENHAVN: LANDBOHOJSKOLEN-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",55.6831,12.5331,9.0,1882,70.7,,70.7,E,155.0,E,67.0,E,0.0,E,101.0,E,18.0,E,75.0,E,1.0,E,-11.4,"E,1227, ",22.8," ,E,0804, ",32.2,"E,0717, ",-3.2,"E,1113",-0.3,"E,0414",-3.2,"E,0411",3718.0,0.0,3718.0,E,551.7," ,E",8.5,E,12.4,E,4.7,E,DA000030380,Denmark,KOEBENHAVN: LANDBOHOJSKOLEN-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",55.6831,12.5331,9.0,1883,42.1,,42.1,E,139.0,E,66.0,E,0.0,E,109.0,E,28.0,E,56.0,E,0.0,E,-11.1,"E,1207, ",20.0," ,E,0922, ",32.0,"E,0703,+",-0.5,"E,1006",-2.5,"E,0503",-2.5,"E,0503",3810.6,6.0,3810.6,E,504.4," ,E",7.7,E,11.3,E,4.0,E,DA000030380,Denmark,KOEBENHAVN: LANDBOHOJSKOLEN-1
