STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,1979,,,,,259.0,S,162.0,S,,,,,,,,,,,,,39.1," ,S,1012, ",,,,,,,,,,,,,1554.6," ,S",,,,,,,DAM00006011,Denmark,TORSHAVN
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,1980,,,,,233.0,S,133.0,S,,,,,,,,,,,,,38.1," ,S,1101, ",,,,,,,,,,,,,1331.2," ,S",,,,,,,DAM00006011,Denmark,TORSHAVN
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,1981,,,,,247.0,S,151.0,S,,,,,,,,,,,,,39.9," ,S,0928, ",,,,,,,,,,,,,1507.4," ,S",,,,,,,DAM00006011,Denmark,TORSHAVN
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,2001,,,,,,,,,,,,,4.0,S,0.0,S,0.0,S,,,,,15.9,"S,0814,+",,,,,,,,,,,,,,,8.9,S,,,DAM00006011,Denmark,TORSHAVN
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,2009,,,,,,,,,,,,,1.0,S,0.0,S,0.0,S,,,,,17.3,"S,0628,+",,,,,,,,,,,,,,,9.7,S,,,DAM00006011,Denmark,TORSHAVN
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,2010,,,,,,,,,,,,,1.0,S,0.0,S,0.0,S,,,,,16.2,"S,0804, ",,,,,,,,,,,,,,,8.5,S,,,DAM00006011,Denmark,TORSHAVN
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,2011,,,,,,,,,,,,,1.0,S,0.0,S,0.0,S,,,,,16.9,"S,0619, ",,,,,,,,,,,,,,,9.5,S,,,DAM00006011,Denmark,TORSHAVN
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,2012,,,,,,,,,,,,,0.0,S,0.0,S,0.0,S,,,,,18.2,"S,0527, ",,,,,,,,,,,,,,,8.9,S,,,DAM00006011,Denmark,TORSHAVN
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,2013,,,,,,,,,,,,,1.0,S,0.0,S,0.0,S,,,,,19.4,"S,0604, ",,,,,,,,,,,,,,,9.2,S,,,DAM00006011,Denmark,TORSHAVN
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,2014,0.0,,0.0,E,,,,,0.0,E,11.0,E,0.0,E,0.0,E,0.0,E,-2.7,"E,1213, ",,,18.2,"E,0727, ",-0.5,"E,1206",-0.6,"E,0324",,,,,,,,,8.1,E,10.0,E,6.2,E,DAM00006011,Denmark,TORSHAVN
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,2015,0.0,,0.0,E,254.0,E,179.0,E,0.0,E,34.0,E,0.0,E,0.0,E,0.0,E,-5.0,"E,0222, ",29.0," ,E,0218, ",16.9,"E,0824, ",-1.7,"E,1120",-1.3,"E,0501",-5.0,"E,0222",3971.9,9.0,3971.9,E,1694.3," ,E",7.2,E,9.3,E,5.1,E,DAM00006011,Denmark,TORSHAVN
DAM00006011,"TORSHAVN, DA",62.02,-6.77,54.0,2020,,,,,,,,,,,,,0.0,S,0.0,S,0.0,S,,,,,16.4,"S,0816,+",,,,,,,,,,,,,,,9.5,S,,,DAM00006011,Denmark,TORSHAVN
