STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1964,,,,,156,I,100,I,,,,,,,,,,,,,119.3," ,I,0121, ",,,,,,,,,,,,,2050.9," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1965,,,,,166,I,108,I,,,,,,,,,,,,,124.5," ,I,0413, ",,,,,,,,,,,,,2781.4," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1966,,,,,164,I,101,I,,,,,,,,,,,,,109.2," ,I,0309, ",,,,,,,,,,,,,2211.5," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1967,,,,,155,I,93,I,,,,,,,,,,,,,122.0," ,I,0208, ",,,,,,,,,,,,,1919.9," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1968,,,,,110,I,55,I,,,,,,,,,,,,,139.0," ,I,0113, ",,,,,,,,,,,,,1007.2," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1969,,,,,160,I,101,I,,,,,,,,,,,,,135.2," ,I,0416, ",,,,,,,,,,,,,2175.6," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1970,,,,,159,I,99,I,,,,,,,,,,,,,88.5," ,I,0406, ",,,,,,,,,,,,,1649.8," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1971,,,,,147,I,70,I,,,,,,,,,,,,,151.0," ,I,0330, ",,,,,,,,,,,,,1799.7," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1972,,,,,176,I,112,I,,,,,,,,,,,,,106.4," ,I,0112, ",,,,,,,,,,,,,2595.4," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1973,,,,,189,I,119,I,,,,,,,,,,,,,66.6," ,I,0423, ",,,,,,,,,,,,,2529.8," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1974,,,,,143,I,83,I,,,,,,,,,,,,,100.7," ,I,0221, ",,,,,,,,,,,,,1537.8," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1975,,,,,187,I,119,I,,,,,,,,,,,,,123.6," ,I,0122, ",,,,,,,,,,,,,2597.4," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1976,,,,,172,I,122,I,,,,,,,,,,,,,134.2," ,I,0405, ",,,,,,,,,,,,,2788.6," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1977,,,,,128,I,85,I,,,,,,,,,,,,,125.0," ,I,1224, ",,,,,,,,,,,,,2053.0," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
EC000000006,"PICHILINGUE, EC",-1.1,-79.467,73.0,1978,,,,,141,I,83,I,,,,,,,,,,,,,77.1," ,I,1227, ",,,,,,,,,,,,,1650.1," ,I",,,,,,,EC000000006,Ecuador,PICHILINGUE
