STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1913,,,,,,,,,0.0,E,2.0,E,0.0,E,291.0,E,145.0,E,0.0,"E,1230,+",,,44.0,"E,0713,+",0.0,"E,1227",,,,,,,,,,,21.2,E,29.4,E,12.9,E,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1914,,,,,,,,,0.0,E,5.0,E,,,,,,,0.0,"E,1225,+",,,,,0.0,"E,1225",0.0,"E,0129",,,,,,,,,,,,,13.1,E,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1921,,,,,2.0,E,1.0,E,,,,,,,,,,,,,4.0," ,E,1208, ",,,,,,,,,,,,,5.0," ,E",,,,,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1924,,,,,0.0,E,0.0,E,,,,,,,,,,,,,0.0," ,E,1231,+",,,,,,,,,,,,,0.0," ,E",,,,,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1925,,,,,3.0,E,1.0,E,,,,,0.0,E,270.0,E,149.0,E,,,3.0," ,E,1107, ",47.0,"E,0629, ",,,,,,,,,,,5.0," ,E",,,30.2,E,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1930,,,,,1.0,E,1.0,E,,,,,,,,,,,,,28.0," ,E,1228, ",,,,,,,,,,,,,28.0," ,E",,,,,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1931,,,,,1.0,E,1.0,E,,,,,,,,,,,,,3.0," ,E,0506, ",,,,,,,,,,,,,3.0," ,E",,,,,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1932,,,,,0.0,E,0.0,E,,,,,,,,,,,,,0.0," ,E,1231,+",,,,,,,,,,,,,0.0," ,E",,,,,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1934,,,,,2.0,E,2.0,E,,,,,,,,,,,,,7.0," ,E,0416, ",,,,,,,,,,,,,10.0," ,E",,,,,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1935,,,,,1.0,E,0.0,E,,,,,,,,,,,,,1.0," ,E,0329, ",,,,,,,,,,,,,1.0," ,E",,,,,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1936,1692.0,,1692.0,E,3.0,E,2.0,E,0.0,E,1.0,E,0.0,E,314.0,E,165.0,E,0.0,"E,0126, ",10.0," ,E,1218, ",45.0,"E,0606,+",,,0.0,"E,0126",,,,,,,20.0," ,E",21.6,E,30.6,E,12.6,E,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1937,,,,,2.0,E,1.0,E,,,,,,,,,,,,,3.0," ,E,0217, ",,,,,,,,,,,,,4.0," ,E",,,,,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1945,,,,,5.0,E,4.0,E,,,,,,,,,,,,,23.0," ,E,0511, ",,,,,,,,,,,,,42.0," ,E",,,,,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1946,,,,,2.0,E,1.0,E,,,,,,,,,,,,,3.0," ,E,0509, ",,,,,,,,,,,,,4.0," ,E",,,,,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1947,,,,,1.0,E,0.0,E,,,,,0.0,E,302.0,E,163.0,E,,,2.0," ,E,0118, ",44.0,"E,0829, ",,,,,,,,,,,2.0," ,E",,,30.6,E,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1948,,,,,2.0,E,1.0,E,,,,,,,,,,,,,21.0," ,E,0203, ",,,,,,,,,,,,,23.0," ,E",,,,,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1957,1830.8,,1830.8,E,12.0,E,1.0,E,0.0,E,0.0,E,0.0,E,287.0,E,160.0,E,1.0,"E,1211,+",7.0," ,E,1018, ",48.0,"E,0531, ",,,,,,,,,,,18.7," ,E",21.8,E,29.4,E,14.2,E,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1958,1776.7,,1776.7,S,3.0,S,2.0,S,0.0,S,1.0,S,0.0,S,320.0,S,158.0,S,0.0,"S,1230, ",7.9," ,S,1230, ",43.9,"S,0414, ",0.0,"S,1230",,,,,540.4,4.0,540.4,S,13.3," ,S",21.9,S,29.7,S,14.1,S,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1961,1597.8,,1597.8,S,5.0,S,2.0,S,0.0,S,0.0,S,0.0,S,286.0,S,142.0,S,1.1,"S,1225,+",4.1," ,S,0130, ",47.8,"S,0531,+",,,,,,,,,,,8.7," ,S",21.1,S,29.0,S,13.3,S,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1963,,,,,6.0,S,1.0,S,,,,,0.0,S,318.0,S,164.0,S,,,7.9," ,S,0211, ",43.9,"S,0618,+",,,,,,,,,,,10.0," ,S",,,30.0,S,,,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1964,1627.5,,1627.5,S,0.0,S,0.0,S,0.0,S,3.0,S,0.0,S,299.0,S,167.0,S,0.0,"S,1207,+",0.0," ,S,1231,+",43.9,"S,0611,+",0.0,"S,1207",0.0,"S,0127",,,509.8,8.0,509.8,S,0.0," ,S",21.4,S,29.3,S,13.4,S,EG000062417,Egypt,SIWA
EG000062417,"SIWA, EG",29.2,25.3167,-15.0,1965,1687.6,,1687.6,S,4.0,S,0.0,S,0.0,S,0.0,S,0.0,S,300.0,S,158.0,S,1.1,"S,0219,+",1.0," ,S,0411,+",47.2,"S,0609, ",,,,,,,534.4,4.0,534.4,S,3.3," ,S",21.3,S,29.2,S,13.4,S,EG000062417,Egypt,SIWA
