STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,1963,2502.7,,2502.7,S,1.0,S,0.0,S,0.0,S,0.0,S,0.0,S,350.0,S,213.0,S,1.1,"S,0129, ",2.0," ,S,0504, ",48.9,"S,0606, ",,,,,,,,,,,2.0," ,S",24.7,S,33.7,S,15.8,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,1964,,,,,1.0,S,1.0,S,0.0,S,1.0,S,,,,,,,-1.1,"S,0106, ",3.0," ,S,1117, ",,,,,-1.1,"S,0106",,,359.6,6.0,359.6, ,3.0," ,S",,,,,15.1,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,1991,,,,,2.0,S,2.0,S,,,,,,,,,,,,,30.0," ,S,0630, ",,,,,,,,,,,,,33.0," ,S",,,,,,,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,1992,,,,,0.0,S,0.0,S,,,,,,,,,,,,,0.0," ,S,1231,+",,,,,,,,,,,,,0.0," ,S",,,,,,,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,1993,,,,,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S,319.0,S,212.0,S,0.6,"S,0115, ",0.0," ,S,1231,+",47.0,"S,0606, ",,,,,,,,,,,0.0," ,S",25.2,S,33.5,S,17.0,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,1994,,,,,3.0,S,3.0,S,0.0,S,0.0,S,,,,,,,1.0,"S,0210,+",39.9," ,S,0513, ",,,,,,,,,,,,,72.9," ,S",,,,,16.3,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,1995,,,,,0.0,S,0.0,S,,,,,0.0,S,323.0,S,185.0,S,,,0.0," ,S,1231,+",49.4,"S,0702, ",,,,,,,,,,,0.0," ,S",,,33.2,S,,,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,1996,,,,,2.0,S,2.0,S,,,,,,,,,,,,,30.0," ,S,1230,+",,,,,,,,,,,,,60.0," ,S",,,,,,,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,1997,,,,,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S,316.0,S,176.0,S,1.4,"S,1221, ",0.0," ,S,1231,+",47.8,"S,0815, ",,,,,,,,,,,0.0," ,S",24.0,S,32.6,S,15.4,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2001,,,,,,,,,0.0,S,0.0,S,0.0,S,341.0,S,191.0,S,3.0,"S,0128,+",,,48.2,"S,0527, ",,,,,,,,,,,,,25.1,S,33.5,S,16.7,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2002,,,,,,,,,0.0,S,0.0,S,0.0,S,315.0,S,201.0,S,1.2,"S,0109, ",,,50.0,"S,0731, ",,,,,,,,,,,,,25.5,S,33.8,S,17.3,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2003,,,,,0.0,S,0.0,S,,,,,0.0,S,338.0,S,209.0,S,,,0.0," ,S,1231,+",48.5,"S,0529, ",,,,,,,,,,,0.0," ,S",,,33.4,S,,,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2004,,,,,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S,331.0,S,214.0,S,0.8,"S,0215, ",0.0," ,S,1231,+",49.6,"S,0510, ",,,,,,,,,,,0.0," ,S",25.1,S,33.4,S,16.7,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2005,,,,,,,,,0.0,S,0.0,S,0.0,S,322.0,S,205.0,S,2.0,"S,1228, ",,,45.9,"S,0728, ",,,,,,,,,,,,,25.2,S,33.1,S,17.3,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2006,2465.8,,2465.8,S,,,,,0.0,S,0.0,S,0.0,S,328.0,S,197.0,S,2.8,"S,0113, ",,,46.6,"S,0606, ",,,,,,,,,,,,,24.9,S,32.8,S,17.1,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2007,,,,,,,,,0.0,S,0.0,S,0.0,S,331.0,S,206.0,S,2.4,"S,0106, ",,,47.2,"S,0509, ",,,,,,,,,,,,,25.1,S,33.1,S,17.1,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2009,,,,,,,,,,,,,0.0,S,340.0,S,202.0,S,,,,,46.2,"S,0713, ",,,,,,,,,,,,,,,33.2,S,,,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2010,,,,,,,,,,,,,0.0,S,341.0,S,230.0,S,,,,,48.6,"S,0620, ",,,,,,,,,,,,,,,35.1,S,,,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2011,,,,,,,,,0.0,S,0.0,S,0.0,S,341.0,S,183.0,S,3.4,"S,1226, ",,,45.1,"S,0726, ",,,,,,,,,,,,,24.7,S,32.4,S,16.9,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2012,2672.2,,2672.2,S,,,,,0.0,S,0.0,S,0.0,S,318.0,S,216.0,S,0.4,"S,0116, ",,,45.0,"S,0715,+",,,,,,,355.1,1.0,355.1,S,,,25.2,S,33.1,S,17.4,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.9,9.0,199.9,S,,,,,,,,,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2017,,,,,,,,,0.0,S,0.0,S,,,,,,,1.6,"S,0110, ",,,,,,,,,,,,,,,,,,,,,17.5,S,EGM00062435,Egypt,KHARGA
EGM00062435,"KHARGA, EG",25.45,30.533,73.0,2022,,,,,,,,,0.0,S,1.0,S,,,,,,,-0.1,"S,0123, ",,,,,,,-0.1,"S,0123",,,,,,,,,,,,,16.8,S,EGM00062435,Egypt,KHARGA
