STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15.0,1971,3269.9,,3269.9,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,77.0,G,19.2,"G,0305, ",,,36.5,"G,0411, ",,,,,,,,,,,,,27.3,G,31.4,G,23.2,G,ES000078650,El Salvador,ACAJUTLA
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15.0,1972,3522.0,,3522.0,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,183.0,G,20.0,"G,1106, ",,,36.8,"G,0204, ",,,,,,,0.0,0.0,0.0,G,,,27.9,G,32.2,G,23.7,G,ES000078650,El Salvador,ACAJUTLA
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15.0,1973,3375.8,,3375.8,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,150.0,G,18.5,"G,1224,+",,,36.6,"G,0203, ",,,,,,,0.0,0.0,0.0,G,,,27.6,G,31.9,G,23.3,G,ES000078650,El Salvador,ACAJUTLA
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15.0,1979,3375.8,,3375.8,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,213.0,G,18.9,"G,0712, ",,,38.4,"G,0312, ",,,,,,,,,,,,,27.6,G,32.3,G,22.9,G,ES000078650,El Salvador,ACAJUTLA
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15.0,1980,3499.0,,3499.0,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,214.0,G,16.9,"G,1230, ",,,38.6,"G,0419, ",,,,,,,0.0,0.0,0.0,G,,,27.9,G,32.6,G,23.2,G,ES000078650,El Salvador,ACAJUTLA
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15.0,1981,3245.1,,3245.1,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,196.0,G,16.1,"G,0211, ",,,39.4,"G,0213, ",,,,,,,0.0,0.0,0.0,G,,,27.2,G,32.4,G,22.1,G,ES000078650,El Salvador,ACAJUTLA
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15.0,1982,3293.6,,3293.6,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,247.0,G,16.6,"G,0803, ",,,38.0,"G,1216, ",,,,,,,0.0,0.0,0.0,G,,,27.4,G,32.6,G,22.1,G,ES000078650,El Salvador,ACAJUTLA
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15.0,1983,3471.3,,3471.3,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,260.0,G,15.7,"G,1113, ",,,38.5,"G,0104, ",,,,,,,0.0,0.0,0.0,G,,,27.9,G,32.9,G,22.9,G,ES000078650,El Salvador,ACAJUTLA
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15.0,1984,3362.0,,3362.0,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,165.0,G,17.8,"G,1124, ",,,38.2,"G,1207, ",,,,,,,0.0,0.0,0.0,G,,,27.5,G,32.1,G,22.9,G,ES000078650,El Salvador,ACAJUTLA
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15.0,1985,3300.3,,3300.3,I,,,,,0.0,I,0.0,I,0.0,I,363.0,I,143.0,I,17.2,"I,0129, ",,,39.5,"I,0215, ",,,,,,,0.0,0.0,0.0,I,,,27.4,I,32.0,I,22.9,I,ES000078650,El Salvador,ACAJUTLA
