STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
ER000063021,"ASMARA, ER",15.283,38.917,2325.0,1943,,,,,61,Q,30,Q,,,,,,,,,,,,,51.2," ,Q,0506, ",,,,,,,,,,,,,553.5," ,Q",,,,,,,ER000063021,Eritrea,ASMARA
ER000063021,"ASMARA, ER",15.283,38.917,2325.0,1944,103.4,,103.4,Q,71,Q,46,Q,0.0,Q,0.0,Q,0.0,Q,309.0,Q,0.0,Q,3.4,"Q,1202,+",52.9," ,Q,0716, ",29.0,"Q,0614,+",,,,,,,680.9,9.0,680.9,Q,622.1," ,Q",17.1,Q,23.9,Q,10.3,Q,ER000063021,Eritrea,ASMARA
ER000063021,"ASMARA, ER",15.283,38.917,2325.0,1945,100.4,,100.4,Q,64,Q,43,Q,0.0,Q,0.0,Q,0.0,Q,325.0,Q,0.0,Q,2.5,"Q,1117, ",27.2," ,Q,0511, ",31.0,"Q,0408, ",,,,,,,572.2,2.0,572.2,Q,378.6," ,Q",16.8,Q,24.0,Q,9.6,Q,ER000063021,Eritrea,ASMARA
ER000063021,"ASMARA, ER",15.283,38.917,2325.0,1946,37.4,,37.4,Q,69,Q,43,Q,0.0,Q,0.0,Q,0.0,Q,310.0,Q,0.0,Q,2.0,"Q,0301, ",40.6," ,Q,0731, ",28.0,"Q,0528,+",,,,,,,690.1,1.0,690.1,Q,529.8," ,Q",16.5,Q,23.8,Q,9.2,Q,ER000063021,Eritrea,ASMARA
ER000063021,"ASMARA, ER",15.283,38.917,2325.0,1947,98.4,,98.4,Q,50,Q,35,Q,0.0,Q,0.0,Q,0.0,Q,344.0,Q,0.0,Q,3.3,"Q,1227,+",38.5," ,Q,0825, ",28.9,"Q,0626,+",,,,,,,685.5,5.0,685.5,Q,384.4," ,Q",16.8,Q,24.1,Q,9.5,Q,ER000063021,Eritrea,ASMARA
ER000063021,"ASMARA, ER",15.283,38.917,2325.0,1948,96.5,,96.5,Q,58,Q,36,Q,0.0,Q,0.0,Q,0.0,Q,330.0,Q,0.0,Q,2.8,"Q,0224, ",31.2," ,Q,0902, ",30.0,"Q,0410,+",,,,,,,663.5,5.0,663.5,Q,371.3," ,Q",16.7,Q,23.9,Q,9.6,Q,ER000063021,Eritrea,ASMARA
ER000063021,"ASMARA, ER",15.283,38.917,2325.0,1949,99.0,,99.0,Q,50,Q,30,Q,0.0,Q,0.0,Q,0.0,Q,334.0,Q,0.0,Q,2.8,"Q,0213,+",56.5," ,Q,0725, ",28.9,"Q,0430,+",,,,,,,622.9,9.0,622.9,Q,426.9," ,Q",16.9,Q,24.1,Q,9.8,Q,ER000063021,Eritrea,ASMARA
ER000063021,"ASMARA, ER",15.283,38.917,2325.0,1950,73.2,,73.2,Q,59,Q,39,Q,0.0,Q,0.0,Q,0.0,Q,330.0,Q,0.0,Q,2.8,"Q,1215,+",37.7," ,Q,0705, ",29.4,"Q,0306, ",,,,,,,627.9,9.0,627.9,Q,446.5," ,Q",16.6,Q,23.8,Q,9.4,Q,ER000063021,Eritrea,ASMARA
ER000063021,"ASMARA, ER",15.283,38.917,2325.0,1951,49.6,,49.6,Q,70,Q,43,Q,0.0,Q,0.0,Q,0.0,Q,332.0,Q,0.0,Q,2.2,"Q,0125, ",65.1," ,Q,0807, ",28.3,"Q,0701, ",,,,,,,741.9,9.0,741.9,Q,640.6," ,Q",16.8,Q,23.7,Q,9.9,Q,ER000063021,Eritrea,ASMARA
ER000063021,"ASMARA, ER",15.283,38.917,2325.0,1952,97.1,,97.1,Q,78,Q,46,Q,0.0,Q,0.0,Q,0.0,Q,348.0,Q,0.0,Q,2.8,"Q,0216,+",39.6," ,Q,0509, ",29.4,"Q,0428, ",,,,,,,541.5,5.0,541.5,Q,490.5," ,Q",16.9,Q,24.2,Q,9.7,Q,ER000063021,Eritrea,ASMARA
