STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1901,145.8,,145.8,G,,,,,13.0,G,166.0,G,95.0,G,77.0,G,0.0,G,-24.9,"G,1226, ",,,32.0,"G,0728, ",-0.5,"G,1012",-2.4,"G,0508",-2.4,"G,0508",,,,,,,5.2,G,9.4,G,1.0,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1902,9.5,,9.5,G,,,,,14.0,G,173.0,G,86.0,G,21.0,G,0.0,G,-26.0,"G,1222, ",,,28.5,"G,0531, ",-1.9,"G,0921",-0.2,"G,0512",-3.9,"G,0430",5092.3,3.0,5092.3,G,,,3.1,G,6.9,G,-0.6,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1903,36.9,,36.9,G,,,,,1.0,G,135.0,G,49.0,G,50.0,G,0.0,G,-18.7,"G,0216, ",,,28.7,"G,0610, ",-2.8,"G,1006",0.0,"G,0418",-7.2,"G,0405",4616.4,4.0,4616.4,G,,,6.1,G,9.6,G,2.6,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1904,5.6,,5.6,G,,,,,7.0,G,161.0,G,81.0,G,18.0,G,0.0,G,-24.5,"G,1231, ",,,27.2,"G,0716, ",-1.0,"G,1010",-0.1,"G,0522",-3.4,"G,0416",5106.7,7.0,5106.7,G,,,4.0,G,7.7,G,0.4,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1905,68.1,,68.1,G,,,,,5.0,G,144.0,G,57.0,G,58.0,G,2.0,G,-24.3,"G,0101, ",,,34.0,"G,0618, ",-0.8,"G,1018",-0.8,"G,0425",-2.5,"G,0413",4958.4,4.0,4958.4,G,,,5.3,G,8.9,G,1.7,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1906,97.2,,97.2,G,,,,,1.0,G,154.0,G,77.0,G,66.0,G,0.0,G,-19.2,"G,0101, ",,,30.5,"G,0518, ",-0.5,"G,0925",-0.9,"G,0413",-5.8,"G,0406",4529.4,4.0,4529.4,G,,,6.0,G,9.8,G,2.1,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1907,43.5,,43.5,G,,,,,24.0,G,167.0,G,94.0,G,35.0,G,0.0,G,-31.3,"G,0121, ",,,31.1,"G,0701, ",0.0,"G,0922",-0.8,"G,0502",-2.3,"G,0417",5143.8,8.0,5143.8,G,,,3.8,G,7.7,G,0.0,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1908,59.4,,59.4,G,,,,,10.0,G,183.0,G,78.0,G,46.0,G,1.0,G,-27.9,"G,0102, ",,,32.6,"G,0714, ",-1.6,"G,1017",-1.0,"G,0513",-3.5,"G,0505",5209.8,8.0,5209.8,G,,,4.4,G,8.4,G,0.5,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1909,17.4,,17.4,G,,,,,7.0,G,173.0,G,90.0,G,48.0,G,0.0,G,-25.3,"G,0211, ",,,28.5,"G,0624, ",-1.2,"G,1003",-1.0,"G,0524",-2.6,"G,0509",5375.6,6.0,5375.6,G,,,4.4,G,8.3,G,0.5,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1910,53.7,,53.7,G,,,,,2.0,G,157.0,G,53.0,G,49.0,G,0.0,G,-19.9,"G,0107, ",,,32.0,"G,0615, ",-0.4,"G,0918",-1.2,"G,0412",-2.2,"G,0406",4325.6,6.0,4325.6,G,,,6.1,G,9.9,G,2.3,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1911,46.9,,46.9,G,,,,,9.0,G,169.0,G,83.0,G,49.0,G,0.0,G,-26.0,"G,0207, ",,,31.0,"G,0626, ",-1.5,"G,1006",-0.5,"G,0521",-2.2,"G,0517",5068.4,4.0,5068.4,G,,,4.6,G,8.8,G,0.3,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1912,90.1,,90.1,G,,,,,19.0,G,176.0,G,82.0,G,57.0,G,0.0,G,-25.3,"G,0204, ",,,31.4,"G,0809, ",-2.5,"G,0929",-3.7,"G,0509",-3.7,"G,0509",5212.6,6.0,5212.6,G,,,4.1,G,7.8,G,0.4,G,EN000026242,Estonia,TARTU-TORAVERE
EN000026242,"TARTU TORAVERE, EN",58.2639,26.4614,70.0,1913,59.0,,59.0,G,,,,,7.0,G,160.0,G,67.0,G,67.0,G,0.0,G,-21.6,"G,0122, ",,,29.1,"G,0710, ",-0.9,"G,0924",-1.1,"G,0515",-2.8,"G,0506",4841.1,1.0,4841.1,G,,,5.6,G,9.7,G,1.6,G,EN000026242,Estonia,TARTU-TORAVERE
