STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1953,,,,,23.0,Q,18.0,Q,,,,,,,,,,,,,30.0," ,Q,0811, ",,,,,,,,,,,,,175.7," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1956,2426.1,,2426.1,Q,80.0,Q,44.0,Q,0.0,Q,0.0,Q,0.0,Q,366.0,Q,190.0,Q,9.3,"Q,1125, ",44.0," ,Q,0116, ",38.5,"Q,1005, ",,,,,,,0.0,0.0,0.0,Q,491.4," ,Q",25.0,Q,32.5,Q,17.5,Q,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1957,2580.2,,2580.2,Q,85.0,Q,48.0,Q,0.0,Q,0.0,Q,0.0,Q,365.0,Q,250.0,Q,10.7,"Q,1220, ",57.0," ,Q,0808, ",38.8,"Q,0604, ",,,,,,,0.0,0.0,0.0,Q,572.7," ,Q",25.4,Q,33.1,Q,17.7,Q,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,6.0,0.6,Q,,,,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1960,1950.4,,1950.4,Q,84.0,Q,50.0,Q,0.0,Q,0.0,Q,0.0,Q,364.0,Q,231.0,Q,5.8,"Q,1229, ",50.6," ,Q,0803, ",38.5,"Q,0610, ",,,,,,,,,,,561.0," ,Q",23.7,Q,32.9,Q,14.4,Q,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,2.0,6.2,Q,,,,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1965,,,,,53.0,Q,38.0,Q,,,,,,,,,,,,,59.0," ,Q,0423, ",,,,,,,,,,,,,548.5," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1966,,,,,53.0,Q,40.0,Q,,,,,,,,,,,,,92.0," ,Q,0801, ",,,,,,,,,,,,,705.3," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1967,,,,,78.0,Q,51.0,Q,,,,,,,,,,,,,73.7," ,Q,0822, ",,,,,,,,,,,,,665.6," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1968,,,,,96.0,Q,61.0,Q,,,,,,,,,,,,,92.4," ,Q,0225, ",,,,,,,,,,,,,861.0," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1970,,,,,75.0,Q,44.0,Q,,,,,0.0,Q,364.0,Q,233.0,Q,,,73.6," ,Q,0820, ",39.9,"Q,0517, ",,,,,,,,,,,593.8," ,Q",,,33.5,Q,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1971,,,,,78.0,Q,44.0,Q,,,,,,,,,,,,,49.1," ,Q,0811, ",,,,,,,,,,,,,586.4," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1972,,,,,59.0,Q,41.0,Q,,,,,,,,,,,,,47.3," ,Q,0208, ",,,,,,,,,,,,,489.4," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1973,,,,,50.0,Q,34.0,Q,,,,,,,,,,,,,28.5," ,Q,0418, ",,,,,,,,,,,,,320.0," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1974,,,,,70.0,Q,45.0,Q,,,,,,,,,,,,,41.5," ,Q,0708, ",,,,,,,,,,,,,419.4," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1975,,,,,77.0,Q,50.0,Q,,,,,0.0,Q,342.0,Q,191.0,Q,,,58.6," ,Q,0710, ",38.4,"Q,0327, ",,,,,,,,,,,704.9," ,Q",,,32.8,Q,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1976,,,,,69.0,Q,53.0,Q,,,,,0.0,Q,350.0,Q,240.0,Q,,,30.6," ,Q,0717, ",38.7,"Q,0404, ",,,,,,,,,,,529.8," ,Q",,,33.3,Q,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1978,,,,,71.0,Q,46.0,Q,,,,,,,,,,,,,45.5," ,Q,0222, ",,,,,,,,,,,,,522.4," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1979,,,,,96.0,Q,63.0,Q,,,,,,,,,,,,,65.3," ,Q,0331, ",,,,,,,,,,,,,863.0," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1980,,,,,77.0,Q,51.0,Q,,,,,0.0,Q,354.0,Q,282.0,Q,,,77.8," ,Q,0125, ",39.5,"Q,0616, ",,,,,,,,,,,635.7," ,Q",,,34.3,Q,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1981,,,,,59.0,Q,36.0,Q,,,,,,,,,,,,,34.7," ,Q,0402, ",,,,,,,,,,,,,348.3," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1982,,,,,89.0,Q,50.0,Q,,,,,,,,,,,,,96.0," ,Q,0331, ",,,,,,,,,,,,,898.4," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1983,,,,,78.0,Q,55.0,Q,,,,,,,,,,,,,43.2," ,Q,0520, ",,,,,,,,,,,,,612.6," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1984,,,,,,,,,,,,,0.0,Q,366.0,Q,297.0,Q,,,,,40.2,"Q,0505, ",,,,,,,,,,,,,,,34.3,Q,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1985,,,,,76.0,Q,50.0,Q,,,,,,,,,,,,,58.7," ,Q,0508, ",,,,,,,,,,,,,595.7," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1986,,,,,75.0,Q,43.0,Q,,,,,,,,,,,,,18.6," ,Q,0318, ",,,,,,,,,,,,,357.6," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
ET000063453,"METEHARA, ET",8.87,39.9,930.0,1987,,,,,63.0,Q,37.0,Q,,,,,,,,,,,,,51.0," ,Q,0411, ",,,,,,,,,,,,,414.6," ,Q",,,,,,,ET000063453,Ethiopia,METEHARA
