STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
FJM00091650,"ROTUMA, FJ",-12.4825,177.0692,22.0,1980,,,,,221,f,143,f,,,,,,,,,,,,,118.3," ,f,0930, ",,,,,,,,,,,,,3050.7," ,f",,,,,,,FJM00091650,Fiji,Rotuma
FJM00091650,"ROTUMA, FJ",-12.4825,177.0692,22.0,1981,,,,,221,f,148,f,,,,,,,,,,,,,113.5," ,f,0301, ",,,,,,,,,,,,,2913.3," ,f",,,,,,,FJM00091650,Fiji,Rotuma
FJM00091650,"ROTUMA, FJ",-12.4825,177.0692,22.0,1982,,,,,236,f,170,f,,,,,,,,,,,,,304.4," ,f,0807, ",,,,,,,,,,,,,4006.3," ,f",,,,,,,FJM00091650,Fiji,Rotuma
FJM00091650,"ROTUMA, FJ",-12.4825,177.0692,22.0,1983,,,,,204,f,139,f,,,,,,,,,,,,,184.3," ,f,0122, ",,,,,,,,,,,,,2633.6," ,f",,,,,,,FJM00091650,Fiji,Rotuma
FJM00091650,"ROTUMA, FJ",-12.4825,177.0692,22.0,1984,,,,,241,f,183,f,,,,,,,,,,,,,115.9," ,f,0315, ",,,,,,,,,,,,,3689.0," ,f",,,,,,,FJM00091650,Fiji,Rotuma
FJM00091650,"ROTUMA, FJ",-12.4825,177.0692,22.0,1985,,,,,244,f,164,f,,,,,,,,,,,,,111.1," ,f,0105, ",,,,,,,,,,,,,3361.4," ,f",,,,,,,FJM00091650,Fiji,Rotuma
FJM00091650,"ROTUMA, FJ",-12.4825,177.0692,22.0,1986,,,,,237,f,174,f,,,,,,,,,,,,,180.0," ,f,0528, ",,,,,,,,,,,,,3473.1," ,f",,,,,,,FJM00091650,Fiji,Rotuma
FJM00091650,"ROTUMA, FJ",-12.4825,177.0692,22.0,1987,,,,,203,f,127,f,,,,,,,,,,,,,170.8," ,f,0406, ",,,,,,,,,,,,,2449.8," ,f",,,,,,,FJM00091650,Fiji,Rotuma
FJM00091650,"ROTUMA, FJ",-12.4825,177.0692,22.0,1988,,,,,262,f,203,f,,,,,,,,,,,,,117.3," ,f,0117, ",,,,,,,,,,,,,3977.4," ,f",,,,,,,FJM00091650,Fiji,Rotuma
FJM00091650,"ROTUMA, FJ",-12.4825,177.0692,22.0,1989,,,,,206,f,165,f,,,,,,,,,,,,,109.5," ,f,0112, ",,,,,,,,,,,,,3020.0," ,f",,,,,,,FJM00091650,Fiji,Rotuma
FJM00091650,"ROTUMA, FJ",-12.4825,177.0692,22.0,1990,,,,,225,f,157,f,,,,,,,,,,,,,206.5," ,f,1010, ",,,,,,,,,,,,,3092.1," ,f",,,,,,,FJM00091650,Fiji,Rotuma
