STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1951,9.7,,9.7,E,157.0,E,61.0,E,27,E,202,E,102,E,46,E,0,E,-31.0,"E,0215,+",16.6," ,E,1121, ",28.6,"E,0809, ",-3.0,"E,0923",-2.8,"E,0613",-2.8,"E,0613",,,,,453.8," ,E",2.5,E,7.3,E,-2.4,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1952,7.1,,7.1,E,190.0,E,90.0,E,22,E,231,E,126,E,23,E,0,E,-29.1,"E,0318, ",30.8," ,E,0622, ",30.4,"E,0710, ",-0.4,"E,0905",-2.7,"E,0522",-2.7,"E,0522",5471.6,6.0,5471.6,E,685.6," ,E",2.2,E,6.6,E,-2.2,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1953,17.9,,17.9,E,162.0,E,68.0,E,26,E,205,E,77,E,50,E,0,E,-36.6,"E,0206, ",34.5," ,E,0822, ",29.3,"E,0625, ",-3.1,"E,0907",-3.6,"E,0530",-3.6,"E,0530",5805.7,7.0,5805.7,E,635.0," ,E",3.6,E,8.5,E,-1.3,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1954,18.3,,18.3,E,180.0,E,88.0,E,28,E,209,E,90,E,40,E,0,E,-31.6,"E,0218, ",21.3," ,E,0622, ",28.4,"E,0710, ",-0.4,"E,0908",-0.6,"E,0608",-2.2,"E,0602",5498.1,1.0,5498.1,E,711.7," ,E",3.2,E,7.6,E,-1.2,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1955,18.6,,18.6,E,168.0,E,75.0,E,46,E,217,E,126,E,49,E,0,E,-34.6,"E,1213, ",25.5," ,E,0520, ",28.7,"E,0712, ",-2.6,"E,0924",-0.9,"E,0613",-3.0,"E,0610",5874.4,4.0,5874.4,E,543.3," ,E",1.1,E,5.9,E,-3.7,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1956,9.3,,9.3,E,158.0,E,71.0,E,40,E,211,E,128,E,27,E,0,E,-37.7,"E,0211, ",22.6," ,E,0630, ",30.1,"E,0609, ",-2.7,"E,0904",-2.1,"E,0522",-5.6,"E,0512",6326.6,6.0,6326.6,E,529.4," ,E",0.8,E,5.4,E,-3.9,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1957,37.2,,37.2,E,197.0,E,94.0,E,20,E,190,E,91,E,31,E,0,E,-30.3,"E,0321, ",26.8," ,E,0801, ",29.6,"E,0716, ",-1.2,"E,0922",-1.3,"E,0605",-4.9,"E,0528",6027.2,2.0,6027.2,E,740.1," ,E",3.0,E,7.1,E,-1.1,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1958,17.2,,17.2,E,,,,,48,E,195,E,112,E,23,E,0,E,-35.3,"E,0110, ",,,27.9,"E,0526, ",-0.3,"E,0914",-0.9,"E,0607",-5.0,"E,0508",6128.0,0.0,6128.0,E,,,0.8,E,5.1,E,-3.6,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1959,18.5,,18.5,E,167.0,E,63.0,E,19,E,198,E,87,E,56,E,0,E,-32.5,"E,0119, ",33.6," ,E,0805, ",30.4,"E,0725, ",-0.7,"E,0909",0.0,"E,0525",-3.9,"E,0523",5599.8,8.0,5599.8,E,596.6," ,E",3.3,E,7.8,E,-1.2,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1960,26.3,,26.3,E,163.0,E,73.0,E,33,E,202,E,111,E,42,E,0,E,-30.1,"E,0301, ",43.8," ,E,0723, ",29.0,"E,0727, ",-2.3,"E,0930",-2.5,"E,0523",-2.5,"E,0523",5857.5,5.0,5857.5,E,637.8," ,E",2.5,E,6.9,E,-1.9,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1961,15.9,,15.9,E,183.0,E,79.0,E,19,E,173,E,79,E,34,E,0,E,-30.1,"E,1227, ",36.4," ,E,0819, ",27.9,"E,0605, ",-3.2,"E,0906",-2.5,"E,0502",-2.5,"E,0502",5335.8,8.0,5335.8,E,724.8," ,E",4.1,E,8.3,E,0.0,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1962,0.0,,0.0,E,201.0,E,89.0,E,41,E,183,E,101,E,7,E,0,E,-32.2,"E,0303, ",18.9," ,E,1026, ",24.4,"E,0620, ",-3.3,"E,0916",-1.8,"E,0606",-2.9,"E,0605",5686.7,7.0,5686.7,E,653.2," ,E",2.0,E,6.1,E,-2.2,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1963,15.2,,15.2,E,163.0,E,62.0,E,54,E,184,E,119,E,37,E,0,E,-32.7,"E,0319, ",20.9," ,E,0907, ",30.2,"E,0802, ",-0.1,"E,0920",-0.2,"E,0510",-3.5,"E,0423",6156.8,8.0,6156.8,E,535.7," ,E",2.1,E,6.8,E,-2.7,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1964,6.8,,6.8,E,174.0,E,73.0,E,33,E,168,E,97,E,29,E,0,E,-30.6,"E,0219, ",22.5," ,E,1213, ",28.6,"E,0615, ",-4.5,"E,0927",-1.9,"E,0522",-6.6,"E,0427",5710.7,7.0,5710.7,E,548.1," ,E",2.5,E,6.9,E,-1.9,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
FI000002401,"JYVASKYLA LENTOASEMA, FI",62.4019,25.6783,139.0,1965,0.7,,0.7,E,191.0,E,73.0,E,26,E,198,E,114,E,23,E,0,E,-28.9,"E,0301, ",19.6," ,E,0804, ",26.1,"E,0721, ",0.0,"E,0914",-1.8,"E,0531",-4.0,"E,0530",5711.2,2.0,5711.2,E,586.3," ,E",2.1,E,6.2,E,-2.1,E,FI000002401,Finland,JYVASKYLA LENTOASEMA
