STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
FR000007130,"RENNES ST JACQUES, FR",48.0689,-1.7339,36.0,1945,79.3,,79.3,E,131,E,79,E,0,E,50,E,4,E,110,E,1,E,-12.6,"E,0113, ",27.3," ,E,0714, ",32.2,"E,0713, ",0.0,"E,1006",-0.9,"E,0503",-3.7,"E,0130",,,,,614.9," ,E",11.8,E,16.6,E,7.0,E,FR000007130,France,RENNES-ST JACQUES
FR000007130,"RENNES ST JACQUES, FR",48.0689,-1.7339,36.0,1946,50.3,,50.3,E,157,E,87,E,0,E,49,E,5,E,59,E,0,E,-9.6,"E,0118, ",26.4," ,E,0824, ",32.0,"E,0713, ",-0.8,"E,1105",0.0,"E,0411",-2.6,"E,0305",2663.4,4.0,2663.4,E,708.5," ,E",10.7,E,15.1,E,6.3,E,FR000007130,France,RENNES-ST JACQUES
FR000007130,"RENNES ST JACQUES, FR",48.0689,-1.7339,36.0,1947,214.0,,214.0,E,126,E,57,E,0,E,59,E,11,E,110,E,7,E,-12.1,"E,0128, ",36.4," ,E,0715, ",35.2,"E,0727, ",-1.5,"E,1020",-0.8,"E,0325",-5.1,"E,0308",2810.7,7.0,2810.7,E,526.2," ,E",11.7,E,16.3,E,7.1,E,FR000007130,France,RENNES-ST JACQUES
FR000007130,"RENNES ST JACQUES, FR",48.0689,-1.7339,36.0,1948,54.5,,54.5,E,130,E,71,E,0,E,46,E,4,E,63,E,2,E,-11.2,"E,0222, ",26.0," ,E,0729, ",34.9,"E,0728, ",-0.2,"E,1006",-1.2,"E,0306",-3.8,"E,0225",2341.1,1.0,2341.1,E,616.0," ,E",11.3,E,16.1,E,6.6,E,FR000007130,France,RENNES-ST JACQUES
FR000007130,"RENNES ST JACQUES, FR",48.0689,-1.7339,36.0,1949,181.3,,181.3,E,108,E,59,E,0,E,47,E,0,E,129,E,5,E,-7.1,"E,0206, ",31.4," ,E,1016, ",38.4,"E,0712, ",-1.2,"E,1028",-2.1,"E,0320",-2.2,"E,0306",2717.8,8.0,2717.8,E,521.1," ,E",12.2,E,17.2,E,7.1,E,FR000007130,France,RENNES-ST JACQUES
FR000007130,"RENNES ST JACQUES, FR",48.0689,-1.7339,36.0,1950,72.7,,72.7,E,155,E,84,E,0,E,46,E,3,E,90,E,0,E,-8.2,"E,1230,+",29.8," ,E,1110, ",32.0,"E,0629, ",-0.6,"E,1026",-1.2,"E,0414",-5.2,"E,0302",2312.8,8.0,2312.8,E,674.8," ,E",11.3,E,15.6,E,7.0,E,FR000007130,France,RENNES-ST JACQUES
FR000007130,"RENNES ST JACQUES, FR",48.0689,-1.7339,36.0,1951,51.4,,51.4,E,184,E,105,E,0,E,30,E,0,E,68,E,0,E,-6.0,"E,0130, ",34.5," ,E,0204, ",29.5,"E,0728, ",-0.1,"E,1024",-0.1,"E,0416",-3.0,"E,0306",2827.1,1.0,2827.1,E,1017.8," ,E",11.1,E,15.2,E,6.9,E,FR000007130,France,RENNES-ST JACQUES
FR000007130,"RENNES ST JACQUES, FR",48.0689,-1.7339,36.0,1952,85.4,,85.4,E,157,E,75,E,0,E,54,E,1,E,94,E,3,E,-4.8,"E,1208, ",45.3," ,E,0926, ",36.3,"E,0701, ",-2.0,"E,1012",-1.8,"E,0404",-2.8,"E,0229",2540.3,3.0,2540.3,E,718.8," ,E",11.1,E,15.6,E,6.7,E,FR000007130,France,RENNES-ST JACQUES
FR000007130,"RENNES ST JACQUES, FR",48.0689,-1.7339,36.0,1953,61.8,,61.8,E,106,E,52,E,0,E,54,E,1,E,92,E,1,E,-6.4,"E,0115, ",37.1," ,E,0701, ",32.3,"E,0812, ",-0.2,"E,1010",0.0,"E,0407",-2.6,"E,0317",2840.4,4.0,2840.4,E,472.4," ,E",11.2,E,15.9,E,6.5,E,FR000007130,France,RENNES-ST JACQUES
FR000007130,"RENNES ST JACQUES, FR",48.0689,-1.7339,36.0,1954,22.7,,22.7,E,149,E,66,E,0,E,40,E,6,E,48,E,0,E,-10.5,"E,0206, ",26.0," ,E,1122, ",29.7,"E,0803, ",-0.7,"E,1110",0.0,"E,0420",-3.2,"E,0208",2671.5,5.0,2671.5,E,566.7," ,E",10.9,E,15.1,E,6.7,E,FR000007130,France,RENNES-ST JACQUES
