STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
FRM00061998,"PORT AUX FRANCAIS ILES KERGU, FR",-49.35,70.25,30.0,1980,,,,,135,S,63,S,,,,,,,,,,,,,51.1," ,S,1109, ",,,,,,,,,,,,,679.8," ,S",,,,,,,FRM00061998,France,PORT-AUX-FRANCAIS (ILES KERGU
FRM00061998,"PORT AUX FRANCAIS ILES KERGU, FR",-49.35,70.25,30.0,1995,,,,,170,S,79,S,,,,,,,,,,,,,55.1," ,S,0430, ",,,,,,,,,,,,,897.5," ,S",,,,,,,FRM00061998,France,PORT-AUX-FRANCAIS (ILES KERGU
FRM00061998,"PORT AUX FRANCAIS ILES KERGU, FR",-49.35,70.25,30.0,1998,,,,,194,S,77,S,,,,,,,,,,,,,38.1," ,S,0407, ",,,,,,,,,,,,,842.8," ,S",,,,,,,FRM00061998,France,PORT-AUX-FRANCAIS (ILES KERGU
FRM00061998,"PORT AUX FRANCAIS ILES KERGU, FR",-49.35,70.25,30.0,2000,,,,,223,S,42,S,,,,,3.0,S,0.0,S,0.0,S,,,27.9," ,S,0510, ",19.5,"S,0108, ",,,,,,,,,,,522.7," ,S",,,8.4,S,,,FRM00061998,France,PORT-AUX-FRANCAIS (ILES KERGU
FRM00061998,"PORT AUX FRANCAIS ILES KERGU, FR",-49.35,70.25,30.0,2001,,,,,203,S,60,S,,,,,,,,,,,,,50.0," ,S,0606, ",,,,,,,,,,,,,706.8," ,S",,,,,,,FRM00061998,France,PORT-AUX-FRANCAIS (ILES KERGU
FRM00061998,"PORT AUX FRANCAIS ILES KERGU, FR",-49.35,70.25,30.0,2007,,,,,151,S,60,S,,,,,,,,,,,,,27.9," ,S,1129, ",,,,,,,,,,,,,519.6," ,S",,,,,,,FRM00061998,France,PORT-AUX-FRANCAIS (ILES KERGU
FRM00061998,"PORT AUX FRANCAIS ILES KERGU, FR",-49.35,70.25,30.0,2008,,,,,146,S,62,S,,,,,,,,,,,,,55.9," ,S,0424,+",,,,,,,,,,,,,800.7," ,S",,,,,,,FRM00061998,France,PORT-AUX-FRANCAIS (ILES KERGU
FRM00061998,"PORT AUX FRANCAIS ILES KERGU, FR",-49.35,70.25,30.0,2009,,,,,137,S,50,S,,,,,,,,,,,,,26.9," ,S,0413, ",,,,,,,,,,,,,472.9," ,S",,,,,,,FRM00061998,France,PORT-AUX-FRANCAIS (ILES KERGU
FRM00061998,"PORT AUX FRANCAIS ILES KERGU, FR",-49.35,70.25,30.0,2010,,,,,135,S,64,S,,,,,,,,,,,,,32.0," ,S,1225, ",,,,,,,,,,,,,675.1," ,S",,,,,,,FRM00061998,France,PORT-AUX-FRANCAIS (ILES KERGU
FRM00061998,"PORT AUX FRANCAIS ILES KERGU, FR",-49.35,70.25,30.0,2012,,,,,199,S,94,S,,,,,,,,,,,,,31.0," ,S,0128, ",,,,,,,,,,,,,896.2," ,S",,,,,,,FRM00061998,France,PORT-AUX-FRANCAIS (ILES KERGU
