STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
FG000081405,"ROCHAMBEAU, FG",4.833,-52.367,9.0,1950,2879.9,,2879.9,G,226,I,170,I,0.0,G,0.0,G,0.0,G,365.0,G,77.0,G,19.4,"G,1128,+",112.0," ,I,0124, ",34.2,"G,1101, ",,,,,,,,,,,3251.0," ,I",26.2,G,30.5,G,22.0,G,FG000081405,French Guiana [France],ROCHAMBEAU
FG000081405,"ROCHAMBEAU, FG",4.833,-52.367,9.0,1951,2997.2,,2997.2,G,219,I,181,I,0.0,G,0.0,G,0.0,G,365.0,G,110.0,G,19.4,"G,1107, ",105.0," ,I,0211, ",34.6,"G,1101,+",,,,,,,0.0,0.0,0.0,G,3658.0," ,I",26.5,G,30.9,G,22.2,G,FG000081405,French Guiana [France],ROCHAMBEAU
FG000081405,"ROCHAMBEAU, FG",4.833,-52.367,9.0,1952,3018.3,,3018.3,G,232,I,181,I,0.0,G,0.0,G,0.0,G,366.0,G,59.0,G,20.0,"G,1001,+",90.0," ,I,0202, ",34.2,"G,0910, ",,,,,,,0.0,0.0,0.0,G,3040.0," ,I",26.6,G,30.7,G,22.4,G,FG000081405,French Guiana [France],ROCHAMBEAU
FG000081405,"ROCHAMBEAU, FG",4.833,-52.367,9.0,1953,2934.2,,2934.2,G,241,I,192,I,0.0,G,0.0,G,0.0,G,365.0,G,75.0,G,18.8,"G,1224,+",143.0," ,I,0311, ",34.2,"G,1005, ",,,,,,,0.0,0.0,0.0,G,4586.0," ,I",26.4,G,30.7,G,22.0,G,FG000081405,French Guiana [France],ROCHAMBEAU
FG000081405,"ROCHAMBEAU, FG",4.833,-52.367,9.0,1954,2861.1,,2861.1,G,261,I,199,I,0.0,G,0.0,G,0.0,G,365.0,G,25.0,G,18.9,"G,0626, ",128.0," ,I,0111, ",33.0,"G,1018, ",,,,,,,0.0,0.0,0.0,G,4215.0," ,I",26.2,G,30.3,G,22.0,G,FG000081405,French Guiana [France],ROCHAMBEAU
FG000081405,"ROCHAMBEAU, FG",4.833,-52.367,9.0,1955,2784.9,,2784.9,G,223,I,188,I,0.0,G,0.0,G,0.0,G,365.0,G,18.0,G,19.1,"G,1025, ",168.0," ,I,0306, ",33.0,"G,1010, ",,,,,,,0.0,0.0,0.0,G,4251.0," ,I",26.0,G,29.9,G,22.0,G,FG000081405,French Guiana [France],ROCHAMBEAU
FG000081405,"ROCHAMBEAU, FG",4.833,-52.367,9.0,1956,2738.0,,2738.0,G,257,I,210,I,0.0,G,0.0,G,0.0,G,366.0,G,3.0,G,19.2,"G,0727, ",137.0," ,I,0317, ",33.0,"G,1105, ",,,,,,,0.0,0.0,0.0,G,4935.0," ,I",25.8,G,29.6,G,22.0,G,FG000081405,French Guiana [France],ROCHAMBEAU
FG000081405,"ROCHAMBEAU, FG",4.833,-52.367,9.0,1957,2834.1,,2834.1,G,219,I,166,I,0.0,G,0.0,G,0.0,G,365.0,G,56.0,G,19.6,"G,0909, ",182.0," ,I,0227, ",33.8,"G,1110, ",,,,,,,0.0,0.0,0.0,G,3245.0," ,I",26.1,G,30.0,G,22.2,G,FG000081405,French Guiana [France],ROCHAMBEAU
FG000081405,"ROCHAMBEAU, FG",4.833,-52.367,9.0,1958,2914.0,,2914.0,G,230,I,171,I,0.0,G,0.0,G,0.0,G,365.0,G,6.0,G,17.2,"G,1109, ",98.0," ,I,0421, ",32.9,"G,0909, ",,,,,,,0.0,0.0,0.0,G,2868.0," ,I",26.3,G,30.4,G,22.2,G,FG000081405,French Guiana [France],ROCHAMBEAU
FG000081405,"ROCHAMBEAU, FG",4.833,-52.367,9.0,1959,2776.3,,2776.3,G,238,I,181,I,0.0,G,0.0,G,0.0,G,365.0,G,3.0,G,19.3,"G,0805, ",123.0," ,I,0606, ",32.4,"G,1010, ",,,,,,,0.0,0.0,0.0,G,3888.0," ,I",25.9,G,29.6,G,22.3,G,FG000081405,French Guiana [France],ROCHAMBEAU
FG000081405,"ROCHAMBEAU, FG",4.833,-52.367,9.0,1960,2743.4,,2743.4,G,232,I,194,I,0.0,G,0.0,G,0.0,G,366.0,G,3.0,G,19.0,"G,0310, ",135.0," ,I,0709, ",32.7,"G,1011,+",,,,,,,0.0,0.0,0.0,G,3868.0," ,I",25.8,G,29.5,G,22.1,G,FG000081405,French Guiana [France],ROCHAMBEAU
