STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,1991,,,,,186,I,113,I,,,,,,,,,,,,,149.1," ,I,0222, ",,,,,,,,,,,,,1955.2," ,I",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,1992,,,,,259,I,180,I,,,,,,,,,,,,,190.0," ,I,0517, ",,,,,,,,,,,,,3199.9," ,I",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,1995,,,,,186,I,103,I,,,,,,,,,,,,,117.1," ,I,0615, ",,,,,,,,,,,,,1250.4," ,I",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2003,,,,,161,I,82,I,,,,,,,,,,,,,46.0," ,I,0228, ",,,,,,,,,,,,,729.8," ,I",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2007,,,,,174,S,91,S,,,,,,,,,,,,,63.0," ,S,0717, ",,,,,,,,,,,,,997.4," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2008,,,,,192,S,92,S,,,,,,,,,,,,,55.1," ,S,0418, ",,,,,,,,,,,,,1019.1," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2009,,,,,192,S,106,S,,,,,,,,,,,,,101.1," ,S,1011, ",,,,,,,,,,,,,1339.2," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2011,,,,,230,S,126,S,,,,,,,,,,,,,113.0," ,S,1122, ",,,,,,,,,,,,,1431.7," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2012,,,,,193,S,106,S,,,,,,,,,,,,,69.1," ,S,0912,+",,,,,,,,,,,,,1357.1," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2013,,,,,181,S,96,S,,,,,,,,,,,,,159.0," ,S,0607, ",,,,,,,,,,,,,1470.7," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2014,,,,,214,S,84,S,,,,,,,,,,,,,39.9," ,S,1214, ",,,,,,,,,,,,,820.3," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2015,,,,,229,S,89,S,,,,,,,,,,,,,56.9," ,S,0223, ",,,,,,,,,,,,,1125.4," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2016,,,,,224,S,120,S,,,,,,,,,,,,,67.1," ,S,0117, ",,,,,,,,,,,,,1630.8," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2017,,,,,235,S,131,S,,,,,,,,,,,,,156.0," ,S,0318, ",,,,,,,,,,,,,2028.2," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2018,,,,,208,S,83,S,,,,,,,,,,,,,46.0," ,S,0319, ",,,,,,,,,,,,,868.3," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2019,,,,,175,S,80,S,,,,,,,,,,,,,55.1," ,S,0717, ",,,,,,,,,,,,,757.1," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2020,,,,,210,S,94,S,,,,,,,,,,,,,84.1," ,S,0613, ",,,,,,,,,,,,,899.4," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2022,,,,,180,S,66,S,,,,,,,,,,,,,40.9," ,S,0503, ",,,,,,,,,,,,,606.8," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2023,,,,,208,S,107,S,,,,,,,,,,,,,25.9," ,S,0810,+",,,,,,,,,,,,,988.2," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
FP000091925,"HIVA OA, FP",-9.8,-139.033,53.0,2024,,,,,183,S,76,S,,,,,,,,,,,,,104.9," ,S,0420, ",,,,,,,,,,,,,968.7," ,S",,,,,,,FP000091925,French Polynesia,HIVA-OA
