STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
GM000010393,"LINDENBERG, GM",52.2094,14.1203,98.0,1907,38.0,,38.0,E,152.0,E,65.0,E,3.0,E,122.0,E,36.0,E,60.0,E,0.0,E,-20.2,"E,0123, ",51.2," ,E,0711, ",30.8,"E,0512, ",-2.5,"E,1103",-1.7,"E,0428",-3.0,"E,0420",3882.9,9.0,3882.9,E,597.6," ,E",7.8,E,11.9,E,3.7,E,GM000010393,Germany,LINDENBERG
GM000010393,"LINDENBERG, GM",52.2094,14.1203,98.0,1908,112.0,,112.0,E,126.0,E,49.0,E,0.0,E,120.0,E,29.0,E,76.0,E,2.0,E,-17.5,"E,1229,+",33.7," ,E,0823, ",33.5,"E,0712, ",-2.6,"E,1019",-0.1,"E,0422",-3.3,"E,0328",3716.3,3.0,3716.3,E,399.0," ,E",8.0,E,12.1,E,3.8,E,GM000010393,Germany,LINDENBERG
GM000010393,"LINDENBERG, GM",52.2094,14.1203,98.0,1909,,,,,135.0,E,59.0,E,,,,,40.0,E,66.0,E,0.0,E,,,19.8," ,E,0918, ",31.0,"E,0602, ",,,,,,,,,,,451.8," ,E",,,11.9,E,,,GM000010393,Germany,LINDENBERG
GM000010393,"LINDENBERG, GM",52.2094,14.1203,98.0,1910,79.5,,79.5,E,141.0,E,76.0,E,0.0,E,101.0,E,12.0,E,72.0,E,0.0,E,-6.6,"E,0130, ",75.5," ,E,0801, ",32.0,"E,0605, ",-0.4,"E,1027",-0.5,"E,0424",-3.5,"E,0411",3395.4,4.0,3395.4,E,652.6," ,E",8.9,E,13.0,E,4.8,E,GM000010393,Germany,LINDENBERG
GM000010393,"LINDENBERG, GM",52.2094,14.1203,98.0,1911,173.8,,173.8,E,124.0,E,44.0,E,0.0,E,101.0,E,21.0,E,96.0,E,4.0,E,-12.4,"E,0214, ",19.5," ,E,0625, ",34.9,"E,0723, ",-1.1,"E,1016",-0.3,"E,0521",-2.8,"E,0414",3658.8,8.0,3658.8,E,344.2," ,E",9.3,E,13.6,E,4.9,E,GM000010393,Germany,LINDENBERG
GM000010393,"LINDENBERG, GM",52.2094,14.1203,98.0,1912,72.3,,72.3,E,160.0,E,72.0,E,2.0,E,105.0,E,23.0,E,54.0,E,0.0,E,-20.5,"E,0204, ",39.8," ,E,0807, ",31.8,"E,0728, ",-2.5,"E,1004",-0.6,"E,0505",-2.3,"E,0501",3602.4,4.0,3602.4,E,513.2," ,E",7.9,E,11.9,E,3.9,E,GM000010393,Germany,LINDENBERG
GM000010393,"LINDENBERG, GM",52.2094,14.1203,98.0,1913,62.8,,62.8,E,131.0,E,56.0,E,0.0,E,87.0,E,16.0,E,59.0,E,0.0,E,-14.0,"E,0130, ",28.3," ,E,0817, ",30.9,"E,0602, ",-1.1,"E,1014",-3.1,"E,0416",-3.1,"E,0416",3703.6,6.0,3703.6,E,477.8," ,E",9.1,E,13.2,E,4.9,E,GM000010393,Germany,LINDENBERG
GM000010393,"LINDENBERG, GM",52.2094,14.1203,98.0,1914,145.3,,145.3,E,135.0,E,68.0,E,0.0,E,79.0,E,24.0,E,85.0,E,0.0,E,-13.8,"E,0114, ",31.7," ,E,0729, ",32.0,"E,0722, ",-0.5,"E,1115",0.0,"E,0330",-3.2,"E,0212",3426.6,6.0,3426.6,E,560.6," ,E",9.2,E,13.1,E,5.3,E,GM000010393,Germany,LINDENBERG
GM000010393,"LINDENBERG, GM",52.2094,14.1203,98.0,1915,98.5,,98.5,E,140.0,E,70.0,E,0.0,E,102.0,E,26.0,E,80.0,E,2.0,E,-14.7,"E,1222, ",52.5," ,E,0905, ",34.1,"E,0610, ",-1.0,"E,1026",-0.9,"E,0404",-2.5,"E,0401",3534.9,9.0,3534.9,E,668.7," ,E",8.3,E,12.2,E,4.5,E,GM000010393,Germany,LINDENBERG
GM000010393,"LINDENBERG, GM",52.2094,14.1203,98.0,1916,31.7,,31.7,E,155.0,E,72.0,E,0.0,E,76.0,E,10.0,E,56.0,E,0.0,E,-10.3,"E,0221, ",22.4," ,E,0629, ",29.3,"E,0505, ",-1.5,"E,1004",-0.2,"E,0416",-2.2,"E,0326",3620.9,9.0,3620.9,E,610.6," ,E",9.0,E,12.8,E,5.1,E,GM000010393,Germany,LINDENBERG
