STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1935,,,,,,,,,,,,,20,S,101,S,9,S,,,,,32.8,"S,0626, ",,,,,,,,,,,,,,,14.3,S,,,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1939,,,,,,,,,,,,,12,S,88,S,0,S,,,,,31.1,"S,0730,+",,,,,,,,,,,,,,,13.6,S,,,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1949,178.4,,178.4,X,92.0,X,39.0,X,0.0,X,85.0,X,11,X,123,X,7,X,-10.0,"X,0205,+",30.2," ,X,0809, ",35.0,"X,0713, ",0.0,"X,1028",-0.6,"X,0511",-3.9,"X,0322",,,,,388.3," ,X",10.6,X,15.4,X,5.7,X,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1950,166.3,,166.3,X,143.0,X,79.0,X,0.0,X,86.0,X,27,X,111,X,10,X,-11.7,"X,1230, ",46.0," ,X,0526, ",34.4,"X,0630, ",-0.6,"X,1027",-0.6,"X,0417",-2.2,"X,0305",2902.5,5.0,2902.5,X,724.7," ,X",10.0,X,14.5,X,5.6,X,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1951,98.0,,98.0,E,145.0,E,72.0,E,0.0,E,72.0,E,5,E,93,E,2,E,-6.7,"E,0306, ",18.5," ,E,0508, ",32.4,"E,0731, ",-0.4,"E,1010",0.0,"X,0501",-2.2,"X,0416",3284.7,7.0,3284.7,E,574.3," ,E",10.0,E,14.3,E,5.7,E,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1952,148.9,,148.9,E,157.0,E,90.0,E,0.0,E,93.0,E,12,E,100,E,8,E,-12.0,"E,0215, ",29.8," ,E,0702, ",37.1,"E,0702, ",-1.5,"E,1012",-0.2,"E,0429",-2.4,"E,0405",3090.1,1.0,3090.1,E,769.9," ,E",9.5,E,13.8,E,5.3,E,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1953,136.6,,136.6,E,108.0,E,46.0,E,0.0,E,86.0,E,9,E,107,E,2,E,-15.5,"E,0208, ",28.9," ,E,1029, ",32.4,"E,0902, ",-0.7,"E,1009",-2.6,"E,0511",-2.6,"E,0511",3367.6,6.0,3367.6,E,396.9," ,E",10.3,E,14.9,E,5.6,E,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1954,66.8,,66.8,E,158.0,E,83.0,E,0.0,E,70.0,E,23,E,61,E,0,E,-15.7,"E,0201, ",18.2," ,E,0902, ",32.1,"E,0620, ",-0.8,"E,1027",-1.9,"E,0412",-3.7,"E,0328",3269.6,6.0,3269.6,E,654.7," ,E",9.2,E,13.4,E,5.1,E,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1955,93.0,,93.0,E,146.0,E,71.0,E,0.0,E,116.0,E,20,E,91,E,1,E,-15.7,"E,0216, ",30.3," ,E,0609, ",32.6,"E,0718, ",-2.9,"E,1019",-1.5,"E,0512",-2.3,"E,0423",3481.3,3.0,3481.3,E,616.5," ,E",8.9,E,13.2,E,4.6,E,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1956,41.0,,41.0,E,164.0,E,82.0,E,4.0,E,99.0,E,39,E,62,E,0,E,-19.6,"E,0201, ",31.1," ,E,0609, ",29.1,"E,0727,+",-0.7,"E,1008",-2.0,"E,0421",-3.9,"E,0408",3629.6,6.0,3629.6,E,747.5," ,E",8.2,E,12.3,E,4.1,E,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1957,120.3,,120.3,E,150.0,E,84.0,E,0.0,E,86.0,E,11,E,75,E,7,E,-14.4,"E,0122, ",32.4," ,E,0324, ",37.6,"E,0706, ",-0.4,"E,1002",-1.1,"E,0509",-3.2,"E,0415",3286.5,5.0,3286.5,E,710.5," ,E",9.6,E,14.2,E,5.0,E,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1958,76.7,,76.7,E,159.0,E,90.0,E,0.0,E,77.0,E,10,E,81,E,0,E,-12.7,"E,0315, ",35.0," ,E,0818, ",30.2,"E,0811, ",-2.8,"E,1022",-0.1,"E,0425",-3.8,"E,0418",3503.7,7.0,3503.7,E,796.5," ,E",9.4,E,13.7,E,5.1,E,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1959,189.3,,189.3,E,102.0,E,53.0,E,0.0,E,87.0,E,7,E,119,E,3,E,-10.4,"E,0116, ",53.6," ,E,0622, ",35.1,"E,0710, ",-1.5,"E,1008",-3.1,"E,0422",-3.1,"E,0422",3048.4,4.0,3048.4,E,474.4," ,E",10.5,E,15.6,E,5.4,E,GMW00035032,Germany,RHEIN MAIN
GMW00035032,"RHEIN MAIN, GM",50.03333,8.58333,112.2,1960,59.1,,59.1,E,172.0,E,88.0,E,1.0,E,71.0,E,10,E,87,E,0,E,-18.6,"E,0114, ",39.4," ,E,0827, ",30.4,"E,0623, ",-0.1,"E,0927",-2.8,"E,0503",-2.8,"E,0503",3073.7,7.0,3073.7,E,741.9," ,E",9.7,E,14.3,E,5.2,E,GMW00035032,Germany,RHEIN MAIN
