STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1959,746.9,,746.9,G,,,,,0.0,G,0.0,G,0.0,G,178.0,G,13.0,G,2.0,"G,0128,+",,,37.2,"G,0813, ",,,,,,,962.2,2.0,962.2,G,,,17.4,G,21.5,G,13.3,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1960,969.8,,969.8,G,,,,,0.0,G,0.0,G,0.0,G,223.0,G,35.0,G,2.6,"G,0204, ",,,40.0,"G,0704, ",,,,,,,923.6,6.0,923.6,G,,,18.9,G,23.3,G,14.4,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1961,790.0,,790.0,G,,,,,0.0,G,0.0,G,0.0,G,208.0,G,21.0,G,2.0,"G,0121, ",,,36.2,"G,0908, ",,,,,,,818.1,1.0,818.1,G,,,18.0,G,22.5,G,13.4,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1962,867.8,,867.8,G,,,,,0.0,G,0.0,G,0.0,G,207.0,G,27.0,G,2.0,"G,0217, ",,,40.0,"G,0713, ",,,,,,,881.8,8.0,881.8,G,,,18.3,G,22.9,G,13.7,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1963,860.1,,860.1,G,,,,,0.0,G,0.0,G,0.0,G,217.0,G,21.0,G,1.0,"G,0308, ",,,40.0,"G,0617, ",,,,,,,879.2,2.0,879.2,G,,,18.3,G,22.7,G,13.8,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1964,742.9,,742.9,G,,,,,0.0,G,0.0,G,0.0,G,204.0,G,9.0,G,1.4,"G,0118, ",,,36.2,"G,0816, ",,,,,,,990.7,7.0,990.7,G,,,17.5,G,21.8,G,13.1,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1965,777.4,,777.4,G,,,,,0.0,G,0.0,G,0.0,G,196.0,G,26.0,G,1.2,"G,0208, ",,,39.2,"G,0706, ",,,,,,,1009.6,6.0,1009.6,G,,,17.6,G,22.3,G,12.9,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1966,861.7,,861.7,G,,,,,0.0,G,0.0,G,0.0,G,215.0,G,28.0,G,1.2,"G,0110, ",,,41.4,"G,0828, ",,,,,,,922.4,4.0,922.4,G,,,18.3,G,23.0,G,13.6,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1967,747.4,,747.4,G,,,,,0.0,G,0.0,G,0.0,G,201.0,G,11.0,G,1.0,"G,0118, ",,,38.6,"G,0812, ",,,,,,,1009.1,1.0,1009.1,G,,,17.4,G,22.1,G,12.9,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1968,840.0,,840.0,G,,,,,0.0,G,0.0,G,0.0,G,207.0,G,23.0,G,1.8,"G,0314, ",,,38.6,"G,0810, ",,,,,,,943.6,6.0,943.6,G,,,17.8,G,22.5,G,13.1,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1969,745.0,,745.0,G,,,,,0.0,G,0.0,G,0.0,G,177.0,G,25.0,G,1.0,"G,0129, ",,,39.2,"G,0613, ",,,,,,,1146.0,0.0,1146.0,G,,,17.3,G,21.8,G,12.8,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1970,753.1,,753.1,G,,,,,0.0,G,0.0,G,0.0,G,196.0,G,24.0,G,3.0,"G,0303, ",,,37.6,"G,0810, ",,,,,,,930.1,1.0,930.1,G,,,17.6,G,22.4,G,12.9,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1971,726.5,,726.5,G,,,,,0.0,G,0.0,G,0.0,G,187.0,G,14.0,G,1.0,"G,0314, ",,,38.4,"G,0828, ",,,,,,,1083.5,5.0,1083.5,G,,,17.2,G,21.9,G,12.6,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1972,854.3,,854.3,G,,,,,0.0,G,0.0,G,0.0,G,179.0,G,22.0,G,1.4,"G,0314, ",,,39.4,"G,0703, ",,,,,,,1165.1,1.0,1165.1,G,,,17.4,G,21.9,G,13.1,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1973,868.1,,868.1,G,,,,,0.0,G,0.0,G,0.0,G,188.0,G,26.0,G,1.8,"G,0303, ",,,44.5,"G,0720, ",,,,,,,1176.6,6.0,1176.6,G,,,17.7,G,22.4,G,13.0,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1974,796.9,,796.9,G,,,,,0.0,G,0.0,G,0.0,G,188.0,G,18.0,G,1.8,"G,0124, ",,,38.5,"G,0628, ",,,,,,,1113.9,9.0,1113.9,G,,,17.4,G,21.9,G,12.8,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1975,843.5,,843.5,G,,,,,0.0,G,0.0,G,0.0,G,191.0,G,14.0,G,2.0,"G,0211,+",,,35.5,"G,0524, ",,,,,,,1080.1,1.0,1080.1,G,,,17.6,G,21.9,G,13.3,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1976,715.7,,715.7,G,,,,,0.0,G,0.0,G,0.0,G,197.0,G,6.0,G,2.0,"G,0226, ",,,37.0,"G,0708, ",,,,,,,1111.5,5.0,1111.5,G,,,17.4,G,21.5,G,13.3,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1978,835.3,,835.3,G,,,,,0.0,G,0.0,G,0.0,G,191.0,G,26.0,G,3.2,"G,0111, ",,,39.6,"G,0616, ",,,,,,,960.2,2.0,960.2,G,,,18.0,G,22.1,G,13.9,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1979,916.1,,916.1,G,71.0,S,45.0,S,0.0,G,0.0,G,0.0,G,204.0,G,30.0,G,2.2,"G,0104,+",53.1," ,S,0226, ",39.4,"G,0618, ",,,,,,,906.4,4.0,906.4,G,673.3," ,S",18.4,G,22.6,G,14.2,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1980,903.7,,903.7,G,,,,,0.0,G,0.0,G,0.0,G,202.0,G,31.0,G,1.4,"G,0106, ",,,39.0,"G,0712, ",,,,,,,1064.2,2.0,1064.2,G,,,18.0,G,22.4,G,13.6,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1981,948.6,,948.6,G,,,,,0.0,G,0.0,G,0.0,G,219.0,G,23.0,G,1.4,"G,0129, ",,,39.2,"G,0701,+",,,,,,,902.8,8.0,902.8,G,,,18.4,G,22.7,G,14.1,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1982,933.3,,933.3,G,,,,,0.0,G,0.0,G,0.0,G,188.0,G,24.0,G,1.6,"G,1231, ",,,40.5,"G,0626, ",,,,,,,998.9,9.0,998.9,G,,,17.9,G,22.0,G,13.9,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1983,770.7,,770.7,G,,,,,0.0,G,0.0,G,0.0,G,189.0,G,10.0,G,1.6,"G,0225,+",,,37.0,"G,0725, ",,,,,,,1036.5,5.0,1036.5,G,,,17.6,G,21.3,G,13.9,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1984,874.4,,874.4,G,,,,,0.0,G,0.0,G,0.0,G,191.0,G,18.0,G,4.8,"G,0118, ",,,37.0,"G,0703, ",,,,,,,999.5,5.0,999.5,G,,,18.0,G,21.8,G,14.3,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1985,896.6,,896.6,G,,,,,0.0,G,0.0,G,0.0,G,191.0,G,20.0,G,3.2,"G,0225,+",,,38.0,"G,0801, ",,,,,,,898.4,4.0,898.4,G,,,18.3,G,22.3,G,14.4,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1986,872.2,,872.2,G,,,,,0.0,G,0.0,G,0.0,G,176.0,G,12.0,G,4.2,"G,0119, ",,,37.0,"G,0725, ",,,,,,,845.4,4.0,845.4,G,,,18.1,G,21.6,G,14.6,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1987,885.2,,885.2,G,,,,,0.0,G,0.0,G,0.0,G,180.0,G,26.0,G,1.0,"G,0309,+",,,40.8,"G,0727, ",,,,,,,1152.2,2.0,1152.2,G,,,17.8,G,21.3,G,14.3,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1988,1032.6,,1032.6,G,,,,,0.0,G,0.0,G,0.0,G,185.0,G,35.0,G,4.2,"G,1217,+",,,38.4,"G,0709, ",,,,,,,959.4,4.0,959.4,G,,,18.2,G,21.9,G,14.6,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1989,811.3,,811.3,G,,,,,0.0,G,0.0,G,0.0,G,187.0,G,9.0,G,3.6,"G,0213, ",,,36.8,"G,0910, ",,,,,,,1077.3,3.0,1077.3,G,,,17.8,G,21.3,G,14.3,G,GR000167460,Greece,SOUDA AIRPORT
GR000167460,"SOUDA AIRPORT, GR",35.4831,24.1167,146.0,1990,937.0,,937.0,G,,,,,0.0,G,0.0,G,0.0,G,190.0,G,19.0,G,4.0,"G,0117, ",,,35.8,"G,0526, ",,,,,,,991.4,4.0,991.4,G,,,18.3,G,21.9,G,14.8,G,GR000167460,Greece,SOUDA AIRPORT
