STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
GL000004360,"TASIILAQ, GL",65.5997,-37.6331,50.0,1895,,,,,,,,,20.0, ,266.0,E,,,,,,,-25.7,"E,0213, ",,,,,0.0,"E,0817",0.0,"E,0725",-5.7,"E,0511",,,,,,,,,,,-5.9,E,GL000004360,Greenland [Denmark],TASIILAQ
GL000004360,"TASIILAQ, GL",65.5997,-37.6331,50.0,1896,,,,,,,,,39.0, ,278.0,E,,,,,,,-28.9,"E,0118, ",,,,,-0.7,"E,0806",-0.4,"E,0729",-3.6,"E,0614",,,,,,,,,,,-6.2,E,GL000004360,Greenland [Denmark],TASIILAQ
GL000004360,"TASIILAQ, GL",65.5997,-37.6331,50.0,1897,,,,,,,,,22.0,E,279.0,E,,,,,,,-26.2,"E,0220, ",,,,,-0.1,"E,0802",-0.1,"E,0714",-2.5,"E,0702",,,,,,,,,,,-6.0,E,GL000004360,Greenland [Denmark],TASIILAQ
GL000004360,"TASIILAQ, GL",65.5997,-37.6331,50.0,1898,,,,,135.0,E,74.0,E,17.0,E,252.0,E,127.0,E,0.0,E,0.0,E,-22.1,"E,0214,+",73.0," ,E,1007, ",20.7,"E,0712, ",-1.3,"E,0804",-0.5,"E,0719",-2.9,"E,0530",,,,,1010.8," ,E",-1.1,E,3.0,E,-5.2,E,GL000004360,Greenland [Denmark],TASIILAQ
GL000004360,"TASIILAQ, GL",65.5997,-37.6331,50.0,1899,0.0,,0.0,E,103.0,E,57.0,E,36.0,E,259.0,E,166.0,E,2.0,E,0.0,E,-30.7,"E,0210, ",41.2," ,E,1205, ",25.2,"E,0802, ",0.0,"E,0805",-0.1,"E,0730",-6.1,"E,0521",,,,,554.8," ,E",-2.9,E,1.3,E,-7.0,E,GL000004360,Greenland [Denmark],TASIILAQ
GL000004360,"TASIILAQ, GL",65.5997,-37.6331,50.0,1900,,,,,120.0,E,77.0,E,11.0,E,256.0,E,110.0,E,0.0,E,0.0,E,-22.8,"E,0217, ",56.8," ,E,1126, ",17.1,"E,0731, ",-1.4,"E,0818",-0.1,"E,0730",-3.0,"E,0611",6972.1,1.0,6972.1,E,903.3," ,E",-0.7,E,3.5,E,-5.0,E,GL000004360,Greenland [Denmark],TASIILAQ
GL000004360,"TASIILAQ, GL",65.5997,-37.6331,50.0,1901,,,,,133.0,E,91.0,E,11.0,E,246.0,E,101.0,E,0.0,E,0.0,E,-21.3,"E,0312, ",83.5," ,E,0501, ",17.0,"E,0722, ",-1.3,"E,0807",-0.1,"E,0714",-3.1,"E,0606",,,,,1297.8," ,E",-0.6,E,3.5,E,-4.7,E,GL000004360,Greenland [Denmark],TASIILAQ
GL000004360,"TASIILAQ, GL",65.5997,-37.6331,50.0,1902,,,,,128.0,E,92.0,E,58.0,E,240.0,E,125.0,E,3.0,E,0.0,E,-27.4,"E,0324, ",100.0," ,E,1006, ",24.8,"E,0722, ",-0.4,"E,0818",-1.7,"E,0717",-2.7,"E,0713",,,,,1445.9," ,E",-2.0,E,2.1,E,-6.2,E,GL000004360,Greenland [Denmark],TASIILAQ
GL000004360,"TASIILAQ, GL",65.5997,-37.6331,50.0,1903,,,,,105.0,E,61.0,E,19.0,E,274.0,E,139.0,E,0.0,E,0.0,E,-27.9,"E,0224, ",125.5," ,E,0518, ",19.2,"E,0611, ",0.0,"E,0815",-1.0,"E,0719",-2.4,"E,0710",,,,,826.5," ,E",-1.7,E,2.8,E,-6.1,E,GL000004360,Greenland [Denmark],TASIILAQ
GL000004360,"TASIILAQ, GL",65.5997,-37.6331,50.0,1904,,,,,141.0,E,65.0,E,40.0,E,247.0,E,131.0,E,0.0,E,0.0,E,-25.1,"E,0322, ",34.4," ,E,0606, ",15.8,"E,0802, ",-1.5,"E,0814",-0.5,"E,0730",-3.8,"E,0622",,,,,666.2," ,E",-2.1,E,2.3,E,-6.5,E,GL000004360,Greenland [Denmark],TASIILAQ
