STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
GP000078897,"LE RAIZET GUADELOUPE, GP",16.27,-61.6,11.0,1951,2496.8,,2496.8,G,225,I,153,I,0.0,G,0.0,G,0.0,G,365.0,G,1.0,G,13.1,"G,0221, ",64.0," ,I,1205, ",32.2,"G,0814, ",,,,,,,,,,,2158.0," ,I",25.2,G,29.5,G,20.9,G,GP000078897,Guadeloupe [France],"LE RAIZET, GUADELOUPE"
GP000078897,"LE RAIZET GUADELOUPE, GP",16.27,-61.6,11.0,1952,2592.8,,2592.8,G,245,I,155,I,0.0,G,0.0,G,0.0,G,366.0,G,2.0,G,14.8,"G,0308, ",127.0," ,I,1118, ",32.6,"G,0607, ",,,,,,,0.0,0.0,0.0,G,2184.0," ,I",25.4,G,29.7,G,21.1,G,GP000078897,Guadeloupe [France],"LE RAIZET, GUADELOUPE"
GP000078897,"LE RAIZET GUADELOUPE, GP",16.27,-61.6,11.0,1953,2612.5,,2612.5,G,220,I,147,I,0.0,G,0.0,G,0.0,G,365.0,G,2.0,G,15.1,"G,0127, ",118.0," ,I,0907, ",32.4,"G,0821, ",,,,,,,0.0,0.0,0.0,G,2026.0," ,I",25.5,G,29.7,G,21.2,G,GP000078897,Guadeloupe [France],"LE RAIZET, GUADELOUPE"
GP000078897,"LE RAIZET GUADELOUPE, GP",16.27,-61.6,11.0,1954,2508.8,,2508.8,G,233,I,130,I,0.0,G,0.0,G,0.0,G,365.0,G,2.0,G,14.4,"G,0130, ",84.0," ,I,1006, ",32.2,"G,0725,+",,,,,,,0.0,0.0,0.0,G,1677.0," ,I",25.2,G,29.4,G,20.9,G,GP000078897,Guadeloupe [France],"LE RAIZET, GUADELOUPE"
GP000078897,"LE RAIZET GUADELOUPE, GP",16.27,-61.6,11.0,1955,2558.1,,2558.1,G,204,I,124,I,0.0,G,0.0,G,0.0,G,365.0,G,2.0,G,15.0,"G,0321, ",89.0," ,I,0728, ",32.3,"G,0804, ",,,,,,,0.0,0.0,0.0,G,1811.0," ,I",25.3,G,29.6,G,21.0,G,GP000078897,Guadeloupe [France],"LE RAIZET, GUADELOUPE"
GP000078897,"LE RAIZET GUADELOUPE, GP",16.27,-61.6,11.0,1956,2541.1,,2541.1,G,233,I,141,I,0.0,G,0.0,G,0.0,G,366.0,G,0.0,G,15.2,"G,0109, ",100.0," ,I,0811, ",31.4,"G,0921,+",,,,,,,0.0,0.0,0.0,G,2259.0," ,I",25.3,G,29.3,G,21.3,G,GP000078897,Guadeloupe [France],"LE RAIZET, GUADELOUPE"
GP000078897,"LE RAIZET GUADELOUPE, GP",16.27,-61.6,11.0,1957,2561.5,,2561.5,G,224,I,138,I,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,15.0,"G,0315, ",107.0," ,I,1212, ",32.0,"G,1016,+",,,,,,,0.0,0.0,0.0,G,1774.0," ,I",25.4,G,29.5,G,21.2,G,GP000078897,Guadeloupe [France],"LE RAIZET, GUADELOUPE"
GP000078897,"LE RAIZET GUADELOUPE, GP",16.27,-61.6,11.0,1958,2721.0,,2721.0,G,212,I,145,I,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,13.0,"G,0204, ",126.0," ,I,0505, ",32.0,"G,0924,+",,,,,,,0.0,0.0,0.0,G,2076.0," ,I",25.8,G,29.9,G,21.7,G,GP000078897,Guadeloupe [France],"LE RAIZET, GUADELOUPE"
GP000078897,"LE RAIZET GUADELOUPE, GP",16.27,-61.6,11.0,1959,2596.8,,2596.8,G,217,I,125,I,0.0,G,0.0,G,0.0,G,365.0,G,1.0,G,15.4,"G,0106, ",52.0," ,I,0719,+",32.2,"G,0702, ",,,,,,,0.0,0.0,0.0,G,1467.0," ,I",25.4,G,29.6,G,21.3,G,GP000078897,Guadeloupe [France],"LE RAIZET, GUADELOUPE"
GP000078897,"LE RAIZET GUADELOUPE, GP",16.27,-61.6,11.0,1960,2515.7,,2515.7,G,201,I,118,I,0.0,G,0.0,G,0.0,G,366.0,G,1.0,G,15.8,"G,0405, ",62.0," ,I,1005, ",32.3,"G,0613, ",,,,,,,0.0,0.0,0.0,G,1651.0," ,I",25.2,G,29.7,G,20.7,G,GP000078897,Guadeloupe [France],"LE RAIZET, GUADELOUPE"
