STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1948,3165.5,,3165.5,Z,256.0,Z,148.0,Z,0.0,Z,0.0,Z,0.0,Z,366.0,Z,2.0,Z,20.6,"Z,1204, ",81.3," ,Z,1028, ",32.2,"Z,0804,+",,,,,,,0.0,0.0,0.0,Z,2194.8," ,Z",27.0,Z,29.5,Z,24.4,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1949,3078.2,,3078.2,Z,263.0,Z,142.0,Z,0.0,Z,0.0,Z,0.0,Z,365.0,Z,2.0,Z,21.1,"Z,0831,+",82.0," ,Z,0908, ",32.2,"Z,0906,+",,,,,,,0.0,0.0,0.0,Z,1798.4," ,Z",26.8,Z,29.7,Z,23.8,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1950,3017.9,,3017.9,Z,260.0,Z,151.0,Z,0.0,Z,0.0,Z,0.0,Z,365.0,Z,2.0,Z,21.1,"Z,1106,+",235.7," ,Z,0907, ",32.2,"Z,0824,+",,,,,,,0.0,0.0,0.0,Z,2332.8," ,Z",26.6,Z,29.6,Z,23.5,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1951,3196.6,,3196.6,Z,252.0,Z,141.0,Z,0.0,Z,0.0,Z,0.0,Z,364.0,Z,9.0,Z,21.1,"Z,0523, ",159.3," ,Z,1004, ",33.3,"Z,1003, ",,,,,,,0.0,0.0,0.0,Z,2129.4," ,Z",27.1,Z,30.1,Z,24.1,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1952,3133.4,,3133.4,Z,253.0,Z,153.0,Z,0.0,Z,0.0,Z,0.0,Z,366.0,Z,2.0,Z,21.7,"Z,1009,+",86.1," ,Z,0908, ",32.8,"Z,0917, ",,,,,,,0.0,0.0,0.0,Z,2119.2," ,Z",26.9,Z,29.8,Z,24.0,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1953,3167.3,,3167.3,Z,227.0,Z,119.0,Z,0.0,Z,0.0,Z,0.0,Z,365.0,Z,5.0,Z,21.1,"Z,1015,+",393.2," ,Z,1015, ",33.3,"Z,0723, ",,,,,,,0.0,0.0,0.0,Z,2569.1," ,Z",27.0,Z,29.9,Z,24.1,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1954,3189.2,,3189.2,Z,242.0,Z,140.0,Z,0.0,Z,0.0,Z,0.0,Z,365.0,Z,4.0,Z,21.7,"Z,1008, ",119.1," ,Z,0109, ",32.2,"Z,0729,+",,,,,,,0.0,0.0,0.0,Z,2010.8," ,Z",27.1,Z,29.9,Z,24.2,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1955,3113.4,,3113.4,Z,252.0,Z,148.0,Z,0.0,Z,0.0,Z,0.0,Z,364.0,Z,2.0,Z,22.2,"Z,0912,+",67.3," ,Z,0928, ",32.2,"Z,1020,+",,,,,,,0.0,0.0,0.0,Z,2065.2," ,Z",26.9,Z,29.3,Z,24.5,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1956,3094.0,,3094.0,Z,261.0,Z,156.0,Z,0.0,Z,0.0,Z,0.0,Z,366.0,Z,2.0,Z,21.1,"Z,0125, ",88.4," ,Z,1112, ",32.2,"Z,1022,+",,,,,,,0.0,0.0,0.0,Z,2082.7," ,Z",26.8,Z,29.3,Z,24.3,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1957,3214.5,,3214.5,Z,226.0,Z,129.0,Z,0.0,X,0.0,Z,0.0,X,365.0,X,3.0,X,22.2,"Z,0217,+",101.1," ,Z,1115, ",32.8,"X,0731, ",,,,,,,0.0,0.0,0.0,X,1822.4," ,Z",27.1,Z,29.6,X,24.6,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1958,3108.8,,3108.8,X,224.0,Z,133.0,Z,0.0,Z,0.0,X,0.0,Z,365.0,Z,0.0,Z,21.1,"X,0614, ",88.4," ,Z,0114, ",31.7,"Z,0711, ",,,,,,,0.0,0.0,0.0,Z,2059.7," ,Z",26.9,X,29.3,Z,24.4,X,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1959,3121.3,,3121.3,Z,247.0,Z,114.0,Z,0.0,Z,0.0,Z,0.0,Z,365.0,Z,1.0,Z,21.7,"Z,0212,+",77.2," ,Z,0825, ",32.2,"Z,0619, ",,,,,,,0.0,0.0,0.0,Z,1566.3," ,Z",26.9,Z,29.3,Z,24.5,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",13.48333,144.8,77.4,1960,3166.2,,3166.2,Z,254.0,Z,139.0,Z,0.0,X,0.0,Z,0.0,X,366.0,X,0.0,X,21.7,"Z,0821,+",45.7," ,Z,1213, ",31.1,"X,1106,+",,,,,,,0.0,0.0,0.0,X,1771.9," ,Z",27.0,Z,29.4,X,24.6,Z,GQW00041406,Guam [United States],GUAM INTERNATIONAL AIRPORT
