STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
HU000012942,"PECS POGANY, HU",46.0056,18.2328,203.0,1901,294.4,,294.4,E,129,E,71,E,0,E,95,E,27,E,131,E,2,E,-16.8,"E,0110, ",37.0," ,E,1209, ",33.8,"E,0801, ",-1.0,"E,1102",-2.8,"E,0330",-2.8,"E,0330",,,,,740.2," ,E",10.9,E,15.1,E,6.7,E,HU000012942,Hungary,PECS POGANY
HU000012942,"PECS POGANY, HU",46.0056,18.2328,203.0,1902,237.6,,237.6,E,142,E,85,E,0,E,76,E,19,E,96,E,1,E,-13.6,"E,1216,+",27.2," ,E,0913, ",32.5,"E,0803, ",-1.4,"E,1114",0.0,"E,0401",-5.1,"E,0315",2783.6,6.0,2783.6,E,715.5," ,E",10.5,E,14.5,E,6.4,E,HU000012942,Hungary,PECS POGANY
HU000012942,"PECS POGANY, HU",46.0056,18.2328,203.0,1903,202.7,,202.7,E,126,E,71,E,0,E,54,E,15,E,119,E,1,E,-16.0,"E,0121, ",40.0," ,E,0710, ",33.2,"E,0720, ",-0.8,"E,1109",-0.9,"E,0421",-6.0,"E,0218",3080.5,5.0,3080.5,E,733.0," ,E",11.3,E,15.4,E,7.1,E,HU000012942,Hungary,PECS POGANY
HU000012942,"PECS POGANY, HU",46.0056,18.2328,203.0,1904,324.5,,324.5,E,133,E,75,E,0,E,79,E,22,E,118,E,9,E,-9.7,"E,1229, ",44.1," ,E,0915, ",33.7,"E,0726, ",-0.1,"E,1112",-1.5,"E,0322",-4.6,"E,0227",2722.0,0.0,2722.0,E,705.5," ,E",11.3,E,15.3,E,7.3,E,HU000012942,Hungary,PECS POGANY
HU000012942,"PECS POGANY, HU",46.0056,18.2328,203.0,1905,408.6,,408.6,E,135,E,74,E,0,E,83,E,21,E,137,E,10,E,-16.0,"E,0104, ",30.9," ,E,1025, ",34.9,"E,0805, ",0.0,"E,1020",-3.0,"E,0409",-3.0,"E,0409",3091.2,2.0,3091.2,E,752.9," ,E",11.1,E,15.3,E,6.9,E,HU000012942,Hungary,PECS POGANY
HU000012942,"PECS POGANY, HU",46.0056,18.2328,203.0,1906,260.1,,260.1,E,136,E,84,E,0,E,88,E,15,E,107,E,0,E,-13.0,"E,1231, ",41.6," ,E,0606, ",31.6,"E,0629, ",-2.6,"E,1112",-1.0,"E,0405",-2.5,"E,0314",2921.5,5.0,2921.5,E,931.6," ,E",10.9,E,15.0,E,6.8,E,HU000012942,Hungary,PECS POGANY
HU000012942,"PECS POGANY, HU",46.0056,18.2328,203.0,1907,304.8,,304.8,E,104,E,54,E,0,E,92,E,21,E,142,E,3,E,-16.6,"E,0123, ",26.7," ,E,0616, ",32.8,"E,0810, ",0.0,"E,1104",0.0,"E,0331",-4.5,"E,0314",3213.2,2.0,3213.2,E,516.0," ,E",11.0,E,15.2,E,6.7,E,HU000012942,Hungary,PECS POGANY
HU000012942,"PECS POGANY, HU",46.0056,18.2328,203.0,1908,288.2,,288.2,E,106,E,67,E,0,E,108,E,24,E,115,E,1,E,-10.0,"E,0104, ",38.0," ,E,0224, ",34.0,"E,0620, ",-0.6,"E,1020",0.0,"E,0328",-3.0,"E,0316",2749.3,3.0,2749.3,E,625.9," ,E",10.3,E,14.5,E,6.1,E,HU000012942,Hungary,PECS POGANY
HU000012942,"PECS POGANY, HU",46.0056,18.2328,203.0,1909,214.6,,214.6,E,132,E,78,E,0,E,85,E,28,E,123,E,1,E,-14.2,"E,0124, ",46.5," ,E,0608, ",32.8,"E,0726, ",0.0,"E,1027",-1.1,"E,0407",-2.8,"E,0307",3370.5,5.0,3370.5,E,770.8," ,E",10.7,E,14.8,E,6.6,E,HU000012942,Hungary,PECS POGANY
HU000012942,"PECS POGANY, HU",46.0056,18.2328,203.0,1910,194.8,,194.8,E,125,E,80,E,0,E,49,E,1,E,115,E,0,E,-5.0,"E,1224, ",46.5," ,E,1102, ",31.4,"E,0723, ",-1.8,"E,1121",-1.0,"E,0412",-3.0,"E,0213",2605.1,1.0,2605.1,E,834.8," ,E",11.6,E,15.5,E,7.7,E,HU000012942,Hungary,PECS POGANY
