STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
IC000004063,"AKUREYRI, IC",65.68,-18.0794,27.0,1949,0.9,,0.9,G,,,,,1.0,G,185.0,G,66.0,G,7.0,G,0.0,G,-18.1,"G,1221, ",,,23.5,"G,0707, ",-0.5,"G,0930",-0.6,"G,0530",-2.2,"G,0526",,,,,,,3.4,G,6.7,G,0.1,G,IC000004063,Iceland,AKUREYRI
IC000004063,"AKUREYRI, IC",65.68,-18.0794,27.0,1950,0.0,,0.0,G,,,,,0.0,G,176.0,G,45.0,G,0.0,G,0.0,G,-17.0,"G,1213, ",,,20.8,"G,0716, ",-0.9,"G,0925",-1.2,"G,0520",-2.2,"G,0518",5196.9,9.0,5196.9,G,,,3.6,G,7.0,G,0.3,G,IC000004063,Iceland,AKUREYRI
IC000004063,"AKUREYRI, IC",65.68,-18.0794,27.0,1951,0.0,,0.0,G,,,,,0.0,G,179.0,G,66.0,G,0.0,G,0.0,G,-17.4,"G,0104, ",,,19.0,"G,0525, ",-0.9,"G,0907",-0.5,"G,0612",-2.5,"G,0508",5637.5,5.0,5637.5,G,,,3.1,G,6.8,G,-0.5,G,IC000004063,Iceland,AKUREYRI
IC000004063,"AKUREYRI, IC",65.68,-18.0794,27.0,1952,0.2,,0.2,G,,,,,0.0,G,175.0,G,45.0,G,1.0,G,0.0,G,-17.2,"G,0128, ",,,22.6,"G,0723, ",-0.5,"G,0828",-1.5,"G,0603",-2.5,"G,0530",5474.6,6.0,5474.6,G,,,3.5,G,6.8,G,0.1,G,IC000004063,Iceland,AKUREYRI
IC000004063,"AKUREYRI, IC",65.68,-18.0794,27.0,1953,0.0,,0.0,G,,,,,0.0,G,150.0,G,44.0,G,1.0,G,0.0,G,-13.0,"G,0130, ",,,22.0,"G,0624, ",-0.5,"G,0912",-0.2,"G,0602",-3.0,"G,0502",5112.4,4.0,5112.4,G,,,4.8,G,8.3,G,1.4,G,IC000004063,Iceland,AKUREYRI
IC000004063,"AKUREYRI, IC",65.68,-18.0794,27.0,1954,0.0,,0.0,G,,,,,0.0,G,159.0,G,39.0,G,0.0,G,0.0,G,-16.0,"G,1209, ",,,20.5,"G,0819, ",-3.0,"G,0918",-0.6,"G,0509",-2.4,"G,0508",4804.9,9.0,4804.9,G,,,4.0,G,7.2,G,0.8,G,IC000004063,Iceland,AKUREYRI
IC000004063,"AKUREYRI, IC",65.68,-18.0794,27.0,1955,1.9,,1.9,G,,,,,5.0,G,168.0,G,74.0,G,7.0,G,0.0,G,-20.3,"G,0113, ",,,24.4,"G,0725, ",-2.8,"G,1001",-0.8,"G,0520",-4.4,"G,0518",5619.8,8.0,5619.8,G,,,3.5,G,7.0,G,-0.1,G,IC000004063,Iceland,AKUREYRI
IC000004063,"AKUREYRI, IC",65.68,-18.0794,27.0,1956,0.0,,0.0,G,,,,,2.0,G,129.0,G,36.0,G,0.0,G,0.0,G,-18.0,"G,0125,+",,,20.0,"G,0527,+",-2.2,"G,0828",0.0,"G,0603",-2.5,"G,0516",5195.3,3.0,5195.3,G,,,4.5,G,7.8,G,1.3,G,IC000004063,Iceland,AKUREYRI
IC000004063,"AKUREYRI, IC",65.68,-18.0794,27.0,1957,1.0,,1.0,G,,,,,0.0,G,169.0,G,49.0,G,1.0,G,0.0,G,-14.5,"G,0315, ",,,24.3,"G,0803, ",-2.5,"G,0917",-0.8,"G,0609",-4.2,"G,0505",5082.4,4.0,5082.4,G,,,3.9,G,7.3,G,0.5,G,IC000004063,Iceland,AKUREYRI
IC000004063,"AKUREYRI, IC",65.68,-18.0794,27.0,1958,0.0,,0.0,G,,,,,1.0,G,166.0,G,56.0,G,2.0,G,0.0,G,-18.2,"G,0125, ",,,21.7,"G,0905, ",-0.4,"G,1007",-1.1,"G,0528",-3.1,"G,0524",5612.3,3.0,5612.3,G,,,3.4,G,6.5,G,0.3,G,IC000004063,Iceland,AKUREYRI
