STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1901,,,,,109,I,77,I,,,,,,,,,,,,,227.1," ,I,0822, ",,,,,,,,,,,,,1833.2," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1902,,,,,108,I,75,I,,,,,,,,,,,,,41.9," ,I,0722, ",,,,,,,,,,,,,1025.4," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1903,,,,,119,I,81,I,,,,,,,,,,,,,124.2," ,I,0814, ",,,,,,,,,,,,,1367.1," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1904,,,,,132,I,88,I,,,,,,,,,,,,,79.5," ,I,0817, ",,,,,,,,,,,,,1574.3," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1905,,,,,137,I,94,I,,,,,,,,,,,,,87.9," ,I,0913, ",,,,,,,,,,,,,1297.8," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1906,,,,,141,I,102,I,,,,,,,,,,,,,168.4," ,I,0803, ",,,,,,,,,,,,,2583.3," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1907,,,,,109,I,73,I,,,,,,,,,,,,,67.1," ,I,0827, ",,,,,,,,,,,,,1225.6," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1908,,,,,108,I,73,I,,,,,,,,,,,,,72.4," ,I,0706, ",,,,,,,,,,,,,1377.6," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1909,,,,,125,I,99,I,,,,,,,,,,,,,69.9," ,I,0711, ",,,,,,,,,,,,,1566.4," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1910,,,,,128,I,96,I,,,,,,,,,,,,,73.7," ,I,0824, ",,,,,,,,,,,,,2037.6," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1911,,,,,125,I,99,I,,,,,,,,,,,,,65.0," ,I,0104, ",,,,,,,,,,,,,1569.0," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1912,,,,,136,I,88,I,,,,,,,,,,,,,93.0," ,I,0908, ",,,,,,,,,,,,,1490.6," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1913,,,,,130,I,81,I,,,,,,,,,,,,,122.9," ,I,0807, ",,,,,,,,,,,,,1349.2," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1914,,,,,144,I,107,I,,,,,,,,,,,,,102.9," ,I,0907, ",,,,,,,,,,,,,2009.9," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1915,,,,,125,I,86,I,,,,,,,,,,,,,81.5," ,I,0817, ",,,,,,,,,,,,,1534.6," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1916,,,,,121,I,92,I,,,,,,,,,,,,,89.9," ,I,0618, ",,,,,,,,,,,,,1462.8," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1917,,,,,170,I,122,I,,,,,,,,,,,,,92.7," ,I,0704, ",,,,,,,,,,,,,2204.7," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1918,,,,,108,I,81,I,,,,,,,,,,,,,114.8," ,I,0818, ",,,,,,,,,,,,,1527.8," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1919,,,,,142,I,101,I,,,,,,,,,,,,,108.0," ,I,0719, ",,,,,,,,,,,,,1806.2," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1920,,,,,117,I,89,I,,,,,,,,,,,,,138.4," ,I,0706, ",,,,,,,,,,,,,1615.7," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1921,,,,,118,I,79,I,,,,,,,,,,,,,79.5," ,I,0723, ",,,,,,,,,,,,,1464.4," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1922,,,,,134,I,106,I,,,,,,,,,,,,,167.1," ,I,0720, ",,,,,,,,,,,,,2055.3," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1923,,,,,128,I,91,I,,,,,,,,,,,,,76.5," ,I,1204, ",,,,,,,,,,,,,1590.9," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1924,,,,,130,I,100,I,,,,,,,,,,,,,101.6," ,I,0930,+",,,,,,,,,,,,,1843.1," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1925,,,,,119,I,87,I,,,,,,,,,,,,,84.8," ,I,0802, ",,,,,,,,,,,,,1424.1," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1926,,,,,146,I,92,I,,,,,,,,,,,,,110.7," ,I,0724, ",,,,,,,,,,,,,1476.8," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1927,,,,,128,I,97,I,,,,,,,,,,,,,156.2," ,I,0717, ",,,,,,,,,,,,,2052.7," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1928,,,,,129,I,94,I,,,,,,,,,,,,,66.0," ,I,0902, ",,,,,,,,,,,,,1352.9," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1929,,,,,127,I,86,I,,,,,,,,,,,,,95.3," ,I,0818, ",,,,,,,,,,,,,1403.8," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1930,,,,,110,I,85,I,,,,,,,,,,,,,81.3," ,I,0727, ",,,,,,,,,,,,,1168.3," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1931,,,,,152,I,88,I,,,,,,,,,,,,,40.1," ,I,0929,+",,,,,,,,,,,,,993.4," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1932,,,,,119,I,76,I,,,,,,,,,,,,,132.1," ,I,0822, ",,,,,,,,,,,,,1550.8," ,I",,,,,,,IN007101600,India,SHIMLA
IN007101600,"SHIMLA, IN",31.1,77.167,2202.0,1933,,,,,164,I,114,I,,,,,,,,,,,,,66.5," ,I,0709, ",,,,,,,,,,,,,1592.0," ,I",,,,,,,IN007101600,India,SHIMLA
