STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2003,,,,,,,,,0.0,I,0.0,I,0.0,I,326.0,I,128.0,I,18.0,"I,0520,+",,,35.6,"I,0309, ",,,,,,,,,,,,,26.6,I,31.7,I,21.6,I,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2005,,,,,,,,,,,,,0.0,S,340.0,S,170.0,S,,,,,35.2,"S,0430, ",,,,,,,,,,,,,,,32.0,S,,,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2006,,,,,,,,,0.0,S,0.0,S,0.0,S,344.0,S,121.0,S,17.0,"S,0131, ",,,35.1,"S,0306, ",,,,,,,,,,,,,26.6,S,31.5,S,21.7,S,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2007,,,,,,,,,,,,,0.0,S,347.0,S,128.0,S,,,,,35.3,"S,0211, ",,,,,,,,,,,,,,,31.7,S,,,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2010,2793.0,,2793.0,S,,,,,0.0,S,0.0,S,0.0,S,352.0,S,172.0,S,18.6,"S,1229, ",,,34.9,"S,0318, ",,,,,,,,,,,,,26.7,S,31.9,S,21.5,S,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2011,,,,,,,,,0.0,S,0.0,S,0.0,S,353.0,S,154.0,S,16.0,"S,0210, ",,,34.1,"S,1125,+",,,,,,,0.0,0.0,0.0,S,,,26.5,S,31.6,S,21.5,S,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2012,,,,,,,,,0.0,S,0.0,S,0.0,S,356.0,S,168.0,S,17.8,"S,0103, ",,,35.2,"S,0509, ",,,,,,,,,,,,,26.7,S,31.8,S,21.6,S,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2013,,,,,,,,,0.0, ,0.0,S,,,,,,,18.8,"S,0725, ",,,,,,,,,,,,,,,,,,,,,21.4,S,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2014,,,,,,,,,0.0,S,0.0,S,,,,,,,17.8,"S,0709, ",,,,,,,,,,,,,,,,,,,,,22.1,S,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2015,,,,,,,,,0.0,S,0.0,S,0.0,S,346.0,S,218.0,S,16.5,"S,0221, ",,,35.6,"S,0220, ",,,,,,,,,,,,,27.3,S,32.4,S,22.2,S,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2016,,,,,,,,,0.0,S,0.0,S,0.0,S,340.0,S,189.0,S,19.8,"S,0704, ",,,37.1,"S,0126, ",,,,,,,,,,,,,27.2,S,32.2,S,22.1,S,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2017,,,,,,,,,0.0,S,0.0,S,,,,,,,18.6,"S,0204, ",,,,,,,,,,,,,,,,,,,,,21.6,S,ID000096073,Indonesia,SIBOLGA/PINANGSORI
ID000096073,"SIBOLGA PINANGSORI, ID",1.55,98.883,3.0,2023,,,,,,,,,0.0,S,0.0,S,,,,,,,19.8,"S,0211, ",,,,,,,,,,,,,,,,,,,,,22.6,S,ID000096073,Indonesia,SIBOLGA/PINANGSORI
