STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
IR000040848,"SHIRAZ, IR",29.533,52.533,1481.0,1951,1300.7,,1300.7,G,,,,,0.0,G,40.0,G,0.0,G,229.0,G,137.0,G,-4.0,"G,0127, ",,,41.0,"G,0810,+",-1.0,"G,1125",-1.0,"G,0225",-3.0,"G,0208",,,,,,,17.9,G,25.8,G,9.9,G,IR000040848,Iran,SHIRAZ
IR000040848,"SHIRAZ, IR",29.533,52.533,1481.0,1952,1151.6,,1151.6,G,,,,,0.0,G,37.0,G,0.0,G,233.0,G,117.0,G,-3.0,"G,0217,+",,,39.0,"G,0711,+",-1.0,"G,1116",0.0,"G,0309",-3.0,"G,0217",1324.0,0.0,1324.0,G,,,17.8,G,25.7,G,9.9,G,IR000040848,Iran,SHIRAZ
IR000040848,"SHIRAZ, IR",29.533,52.533,1481.0,1953,1227.7,,1227.7,G,,,,,0.0,G,35.0,G,0.0,G,230.0,G,115.0,G,-5.0,"G,1223, ",,,41.0,"G,0628, ",0.0,"G,1122",-1.0,"G,0326",,,1317.0,0.0,1317.0,G,,,18.0,G,25.6,G,10.3,G,IR000040848,Iran,SHIRAZ
IR000040848,"SHIRAZ, IR",29.533,52.533,1481.0,1954,1195.5,,1195.5,G,,,,,0.0,G,23.0,G,0.0,G,218.0,G,118.0,G,-2.0,"G,0203,+",,,39.0,"G,0724,+",0.0,"G,1210",0.0,"G,0304",,,1356.1,1.0,1356.1,G,,,17.8,G,25.1,G,10.5,G,IR000040848,Iran,SHIRAZ
IR000040848,"SHIRAZ, IR",29.533,52.533,1481.0,1955,1211.2,,1211.2,G,,,,,0.0,G,30.0,G,0.0,G,236.0,G,107.0,G,-3.0,"G,0131, ",,,40.0,"G,0727,+",-1.0,"G,1206",-1.0,"G,0224",-3.0,"G,0131",1355.1,1.0,1355.1,G,,,17.9,G,25.4,G,10.3,G,IR000040848,Iran,SHIRAZ
IR000040848,"SHIRAZ, IR",29.533,52.533,1481.0,1956,1110.4,,1110.4,G,,,,,0.0,G,44.0,G,0.0,G,215.0,G,122.0,G,-5.0,"G,0118, ",,,41.0,"G,0713, ",0.0,"G,1128",-2.0,"G,0402",-3.0,"G,0203",1544.1,1.0,1544.1,G,,,17.0,G,24.7,G,9.3,G,IR000040848,Iran,SHIRAZ
IR000040848,"SHIRAZ, IR",29.533,52.533,1481.0,1957,957.5,,957.5,G,,,,,0.0,G,43.0,G,0.0,G,194.0,G,99.0,G,-8.0,"G,0206, ",,,39.0,"G,0721, ",0.0,"G,1125",0.0,"G,0310",-3.0,"G,0212",1736.1,1.0,1736.1,G,,,16.1,G,23.4,G,8.9,G,IR000040848,Iran,SHIRAZ
IR000040848,"SHIRAZ, IR",29.533,52.533,1481.0,1958,1161.6,,1161.6,G,,,,,0.0,G,47.0,G,0.0,G,232.0,G,112.0,G,-5.0,"G,1124, ",,,39.0,"G,0816,+",0.0,"G,1119",0.0,"G,0219",-3.0,"G,0210",1418.9,9.0,1418.9,G,,,17.5,G,25.4,G,9.6,G,IR000040848,Iran,SHIRAZ
IR000040848,"SHIRAZ, IR",29.533,52.533,1481.0,1959,1258.3,,1258.3,G,,,,,0.0,G,72.0,G,0.0,G,233.0,G,123.0,G,-8.0,"G,1216,+",,,40.0,"G,0824,+",0.0,"G,1127",-1.0,"G,0310",-4.0,"G,0309",1623.5,5.0,1623.5,G,,,17.3,G,25.4,G,9.1,G,IR000040848,Iran,SHIRAZ
IR000040848,"SHIRAZ, IR",29.533,52.533,1481.0,1960,1143.8,,1143.8,G,,,,,0.0,G,56.0,G,0.0,G,220.0,G,122.0,G,-4.0,"G,1229, ",,,41.0,"G,0709,+",-1.0,"G,1121",0.0,"G,0322",-3.0,"G,0130",1539.5,5.0,1539.5,G,,,17.3,G,25.7,G,8.9,G,IR000040848,Iran,SHIRAZ
