STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1885,,,,,228.0,E,81.0,E,,,,,,,,,,,,,24.4," ,E,0812, ",,,,,,,,,,,,,624.7," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1886,,,,,253.0,E,116.0,E,,,,,,,,,,,,,23.9," ,E,0929, ",,,,,,,,,,,,,888.2," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1887,,,,,233.0,E,99.0,E,,,,,,,,,,,,,23.1," ,E,0831, ",,,,,,,,,,,,,803.1," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1888,,,,,231.0,E,108.0,E,,,,,,,,,,,,,25.9," ,E,0727, ",,,,,,,,,,,,,817.9," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1889,,,,,232.0,E,105.0,E,,,,,,,,,,,,,25.9," ,E,0816, ",,,,,,,,,,,,,872.6," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1890,,,,,237.0,E,121.0,E,,,,,,,,,,,,,21.6," ,E,0930,+",,,,,,,,,,,,,855.6," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1891,,,,,211.0,E,91.0,E,,,,,,,,,,,,,22.6," ,E,0825, ",,,,,,,,,,,,,670.1," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1892,,,,,235.0,E,92.0,E,,,,,,,,,,,,,36.6," ,E,0610, ",,,,,,,,,,,,,843.6," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1893,,,,,226.0,E,99.0,E,,,,,,,,,,,,,71.4," ,E,0709, ",,,,,,,,,,,,,828.3," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1894,,,,,217.0,E,106.0,E,,,,,,,,,,,,,15.5," ,E,0704, ",,,,,,,,,,,,,674.8," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1895,,,,,208.0,E,91.0,E,,,,,,,,,,,,,30.5," ,E,0803, ",,,,,,,,,,,,,804.2," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1896,,,,,232.0,E,134.0,E,,,,,,,,,,,,,37.1," ,E,0725, ",,,,,,,,,,,,,973.6," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1897,,,,,225.0,E,112.0,E,,,,,,,,,,,,,43.7," ,E,0615, ",,,,,,,,,,,,,833.4," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1898,,,,,246.0,E,119.0,E,,,,,,,,,,,,,25.7," ,E,1204, ",,,,,,,,,,,,,862.0," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1899,,,,,231.0,E,103.0,E,,,,,,,,,,,,,16.0," ,E,0418, ",,,,,,,,,,,,,733.3," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1900,,,,,239.0,E,68.0,E,,,,,,,,,,,,,29.7," ,E,1106, ",,,,,,,,,,,,,521.3," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1901,,,,,238.0,E,107.0,E,,,,,,,,,,,,,35.1," ,E,1119, ",,,,,,,,,,,,,852.0," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1902,,,,,261.0,E,105.0,E,,,,,,,,,,,,,23.9," ,E,0902, ",,,,,,,,,,,,,782.9," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1903,,,,,272.0,E,132.0,E,,,,,,,,,,,,,51.8," ,E,0109, ",,,,,,,,,,,,,1045.5," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1904,,,,,252.0,E,115.0,E,,,,,,,,,,,,,36.8," ,E,0803, ",,,,,,,,,,,,,811.8," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1905,,,,,252.0,E,107.0,E,,,,,,,,,,,,,30.5," ,E,1126, ",,,,,,,,,,,,,823.5," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1906,,,,,255.0,E,120.0,E,,,,,,,,,,,,,21.6," ,E,0128, ",,,,,,,,,,,,,877.6," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1907,,,,,256.0,E,122.0,E,,,,,,,,,,,,,27.4," ,E,0316, ",,,,,,,,,,,,,925.7," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1908,,,,,251.0,E,110.0,E,,,,,,,,,,,,,38.6," ,E,0826, ",,,,,,,,,,,,,862.3," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1909,,,,,237.0,E,106.0,E,,,,,,,,,,,,,32.3," ,E,0204, ",,,,,,,,,,,,,825.7," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1910,,,,,229.0,E,99.0,E,,,,,,,,,,,,,25.4," ,E,0825, ",,,,,,,,,,,,,792.0," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1911,,,,,198.0,E,80.0,E,,,,,,,,,,,,,19.1," ,E,1210, ",,,,,,,,,,,,,558.7," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1912,,,,,229.0,E,103.0,E,,,,,,,,,,,,,47.8," ,E,0728, ",,,,,,,,,,,,,810.9," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1913,,,,,235.0,E,96.0,E,,,,,,,,,,,,,18.3," ,E,1203, ",,,,,,,,,,,,,740.3," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1914,,,,,223.0,E,120.0,E,,,,,,,,,,,,,26.0," ,E,1129, ",,,,,,,,,,,,,960.2," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1915,,,,,213.0,E,97.0,E,,,,,,,,,,,,,28.3," ,E,1108, ",,,,,,,,,,,,,797.1," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1916,,,,,234.0,E,111.0,E,,,,,,,,,,,,,22.4," ,E,0216, ",,,,,,,,,,,,,971.3," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1917,,,,,224.0,E,112.0,E,,,,,,,,,,,,,34.2," ,E,1105, ",,,,,,,,,,,,,991.5," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1918,,,,,231.0,E,109.0,E,,,,,,,,,,,,,28.0," ,E,0805, ",,,,,,,,,,,,,812.4," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1919,,,,,219.0,E,100.0,E,,,,,,,,,,,,,27.2," ,E,0101, ",,,,,,,,,,,,,750.8," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1920,,,,,225.0,E,107.0,E,,,,,,,,,,,,,45.9," ,E,0817, ",,,,,,,,,,,,,780.9," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1921,,,,,230.0,E,101.0,E,,,,,,,,,,,,,20.0," ,E,1105, ",,,,,,,,,,,,,732.0," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1922,,,,,236.0,E,112.0,E,,,,,,,,,,,,,16.9," ,E,0217, ",,,,,,,,,,,,,771.1," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1923,,,,,279.0,E,152.0,E,,,,,,,,,,,,,27.5," ,E,0820, ",,,,,,,,,,,,,1090.9," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1924,,,,,254.0,E,129.0,E,,,,,,,,,,,,,35.6," ,E,0908, ",,,,,,,,,,,,,1012.7," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1925,,,,,240.0,E,123.0,E,,,,,,,,,,,,,23.4," ,E,0727, ",,,,,,,,,,,,,905.2," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1926,,,,,205.0,E,120.0,E,,,,,,,,,,,,,41.5," ,E,1118, ",,,,,,,,,,,,,1006.4," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1927,,,,,234.0,E,127.0,E,,,,,,,,,,,,,20.5," ,E,0721, ",,,,,,,,,,,,,971.3," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1928,,,,,231.0,E,140.0,E,,,,,,,,,,,,,33.6," ,E,0819, ",,,,,,,,,,,,,1197.7," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
EI000003980,"MALIN HEAD, EI",55.3717,-7.34,21.0,1929,,,,,216.0,E,120.0,E,,,,,,,,,,,,,35.1," ,E,0830, ",,,,,,,,,,,,,922.9," ,E",,,,,,,EI000003980,Ireland,MALIN HEAD
